,FA_20231113_2H_yeast_1.5.ser#1,FA_20231113_2H_yeast_1.5.ser#2,FA_20231113_2H_yeast_1.5.ser#3,FA_20231113_2H_yeast_1.5.ser#4,FA_20231113_2H_yeast_1.5.ser#5,FA_20231113_2H_yeast_1.5.ser#6,FA_20231113_2H_yeast_1.5.ser#7,FA_20231113_2H_yeast_1.5.ser#8,FA_20231113_2H_yeast_1.5.ser#9,FA_20231113_2H_yeast_1.5.ser#10,FA_20231113_2H_yeast_1.5.ser#11,FA_20231113_2H_yeast_1.5.ser#12,FA_20231113_2H_yeast_1.5.ser#13,FA_20231113_2H_yeast_1.5.ser#14,FA_20231113_2H_yeast_1.5.ser#15,FA_20231113_2H_yeast_1.5.ser#16,FA_20231113_2H_yeast_1.5.ser#17,FA_20231113_2H_yeast_1.5.ser#18,FA_20231113_2H_yeast_1.5.ser#19,FA_20231113_2H_yeast_1.5.ser#20,FA_20231113_2H_yeast_1.5.ser#21,FA_20231113_2H_yeast_1.5.ser#22,FA_20231113_2H_yeast_1.5.ser#23,FA_20231113_2H_yeast_1.5.ser#24,FA_20231113_2H_yeast_1.5.ser#25,FA_20231113_2H_yeast_1.5.ser#26,FA_20231113_2H_yeast_1.5.ser#27,FA_20231113_2H_yeast_1.5.ser#28,FA_20231113_2H_yeast_1.5.ser#29,FA_20231113_2H_yeast_1.5.ser#30,FA_20231113_2H_yeast_1.5.ser#31,FA_20231113_2H_yeast_1.5.ser#32,FA_20231113_2H_yeast_1.5.ser#33,FA_20231113_2H_yeast_1.5.ser#34,FA_20231113_2H_yeast_1.5.ser#35,FA_20231113_2H_yeast_1.5.ser#36,FA_20231113_2H_yeast_1.5.ser#37,FA_20231113_2H_yeast_1.5.ser#38,FA_20231113_2H_yeast_1.5.ser#39,FA_20231113_2H_yeast_1.5.ser#40,FA_20231113_2H_yeast_1.5.ser#41,FA_20231113_2H_yeast_1.5.ser#42,FA_20231113_2H_yeast_1.5.ser#43,FA_20231113_2H_yeast_1.5.ser#44,FA_20231113_2H_yeast_1.5.ser#45,FA_20231113_2H_yeast_1.5.ser#46,FA_20231113_2H_yeast_1.5.ser#47,FA_20231113_2H_yeast_1.5.ser#48,FA_20231113_2H_yeast_1.5.ser#49,FA_20231113_2H_yeast_1.5.ser#50,FA_20231113_2H_yeast_1.5.ser#51,FA_20231113_2H_yeast_1.5.ser#52,FA_20231113_2H_yeast_1.5.ser#53,FA_20231113_2H_yeast_1.5.ser#54,FA_20231113_2H_yeast_1.5.ser#55,FA_20231113_2H_yeast_1.5.ser#56,FA_20231113_2H_yeast_1.5.ser#57,FA_20231113_2H_yeast_1.5.ser#58,FA_20231113_2H_yeast_1.5.ser#59,FA_20231113_2H_yeast_1.5.ser#60,FA_20231113_2H_yeast_1.5.ser#61,FA_20231113_2H_yeast_1.5.ser#62,FA_20231113_2H_yeast_1.5.ser#63,FA_20231113_2H_yeast_1.5.ser#64,FA_20231113_2H_yeast_1.5.ser#65,FA_20231113_2H_yeast_1.5.ser#66,FA_20231113_2H_yeast_1.5.ser#67,FA_20231113_2H_yeast_1.5.ser#68,FA_20231113_2H_yeast_1.5.ser#69,FA_20231113_2H_yeast_1.5.ser#70,FA_20231113_2H_yeast_1.5.ser#71,FA_20231113_2H_yeast_1.5.ser#72,FA_20231113_2H_yeast_1.5.ser#73,FA_20231113_2H_yeast_1.5.ser#74,FA_20231113_2H_yeast_1.5.ser#75,FA_20231113_2H_yeast_1.5.ser#76,FA_20231113_2H_yeast_1.5.ser#77,FA_20231113_2H_yeast_1.5.ser#78,FA_20231113_2H_yeast_1.5.ser#79,FA_20231113_2H_yeast_1.5.ser#80,FA_20231113_2H_yeast_1.5.ser#81,FA_20231113_2H_yeast_1.5.ser#82,FA_20231113_2H_yeast_1.5.ser#83,FA_20231113_2H_yeast_1.5.ser#84,FA_20231113_2H_yeast_1.5.ser#85,FA_20231113_2H_yeast_1.5.ser#86,FA_20231113_2H_yeast_1.5.ser#87,FA_20231113_2H_yeast_1.5.ser#88,FA_20231113_2H_yeast_1.5.ser#89,FA_20231113_2H_yeast_1.5.ser#90,FA_20231113_2H_yeast_1.5.ser#91,FA_20231113_2H_yeast_1.5.ser#92,FA_20231113_2H_yeast_1.5.ser#93,FA_20231113_2H_yeast_1.5.ser#94,FA_20231113_2H_yeast_1.5.ser#95,FA_20231113_2H_yeast_1.5.ser#96,FA_20231113_2H_yeast_1.5.ser#97,FA_20231113_2H_yeast_1.5.ser#98,FA_20231113_2H_yeast_1.5.ser#99,FA_20231113_2H_yeast_1.5.ser#100,FA_20231113_2H_yeast_1.5.ser#101,FA_20231113_2H_yeast_1.5.ser#102,FA_20231113_2H_yeast_1.5.ser#103,FA_20231113_2H_yeast_1.5.ser#104,FA_20231113_2H_yeast_1.5.ser#105,FA_20231113_2H_yeast_1.5.ser#106,FA_20231113_2H_yeast_1.5.ser#107,FA_20231113_2H_yeast_1.5.ser#108,FA_20231113_2H_yeast_1.5.ser#109,FA_20231113_2H_yeast_1.5.ser#110,FA_20231113_2H_yeast_1.5.ser#111,FA_20231113_2H_yeast_1.5.ser#112,FA_20231113_2H_yeast_1.5.ser#113,FA_20231113_2H_yeast_1.5.ser#114,FA_20231113_2H_yeast_1.5.ser#115,FA_20231113_2H_yeast_1.5.ser#116,FA_20231113_2H_yeast_1.5.ser#117,FA_20231113_2H_yeast_1.5.ser#118,FA_20231113_2H_yeast_1.5.ser#119,FA_20231113_2H_yeast_1.5.ser#120,FA_20231113_2H_yeast_1.5.ser#121,FA_20231113_2H_yeast_1.5.ser#122,FA_20231113_2H_yeast_1.5.ser#123,FA_20231113_2H_yeast_1.5.ser#124,FA_20231113_2H_yeast_1.5.ser#125,FA_20231113_2H_yeast_1.5.ser#126,FA_20231113_2H_yeast_1.5.ser#127,FA_20231113_2H_yeast_1.5.ser#128,FA_20231113_2H_yeast_1.5.ser#129,FA_20231113_2H_yeast_1.5.ser#130
-0.875245,-276.213,-273.504,280.575,-77.8546,-163.863,218.141,121.075,-87.2697,13.0526,242.321,52.1514,-155.643,-19.0959,262.674,122.026,67.2032,-244.749,-99.7223,-197.603,64.0564,194.299,9.51770,-150.538,85.0795,-108.382,249.557,101.208,-132.010,254.650,-94.8003,-13.9998,-60.3510,37.5726,-282.923,100.715,-112.294,-120.761,-12.4277,16.6592,34.6960,-85.3545,-12.7509,84.6182,-189.771,-257.337,221.522,54.4618,292.844,18.7384,-77.5732,257.577,87.8006,-176.388,-185.612,171.740,195.946,414.227,-87.1104,-97.9851,-71.4630,-100.235,-20.7621,74.0919,237.074,3.74756,-14.3227,244.638,144.087,-161.593,15.8501,-240.645,270.460,79.5944,24.0590,-137.477,271.669,193.453,38.2544,-128.695,124.468,103.038,-15.2510,52.6848,-110.409,-97.1760,-227.954,15.8074,-63.8246,-154.221,245.605,-190.806,237.625,-230.704,-237.886,-180.897,23.8139,-102.672,-117.887,-192.167,128.804,18.7410,18.1489,-247.155,63.7258,-32.0435,-53.1835,156.965,189.897,-39.5465,23.8699,-117.501,-33.8817,34.4113,-363.399,82.5635,162.079,177.580,-132.086,107.639,20.3801,77.3124,51.0864,4.06213,-216.526,-299.440,-231.474,-55.1303,-41.2617,-201.016,-182.366
-0.871173,-299.285,-282.784,268.279,-80.8531,-186.122,216.855,130.304,-108.640,9.50800,239.105,40.9587,-178.691,-17.5545,260.275,141.000,76.6009,-254.540,-116.376,-173.792,63.6651,163.983,16.5396,-134.158,120.712,-123.028,275.751,101.413,-162.418,261.332,-92.4389,-16.9974,-64.5828,15.1633,-271.330,104.638,-91.6817,-100.481,-1.90942,27.8434,36.4915,-137.666,-14.2947,93.5733,-218.151,-252.262,207.210,73.7279,243.697,20.9380,-77.8883,213.276,76.8495,-203.651,-187.951,146.832,175.087,412.723,-66.1889,-90.2478,-61.0461,-85.9869,-84.0899,74.9837,245.330,-5.48303,-48.9147,246.245,123.661,-166.260,62.8383,-226.635,287.036,56.1559,23.6911,-164.778,262.475,179.028,36.6894,-128.894,113.961,120.471,-5.23499,56.2994,-99.3700,-114.314,-249.118,34.9552,-37.9661,-153.996,216.407,-173.021,250.862,-229.972,-236.726,-188.262,33.8055,-91.9515,-93.3408,-195.038,119.261,24.7184,-13.9331,-261.644,59.9639,-37.3597,-35.7837,164.435,181.108,-42.5073,39.0197,-130.437,-5.75220,47.6192,-381.580,104.123,146.377,172.814,-139.069,93.5074,30.2003,74.3387,41.1182,7.63245,-181.477,-290.988,-224.990,-69.4033,-58.4040,-240.815,-173.176
-0.867100,-310.976,-292.065,249.990,-83.8517,-208.381,215.568,139.533,-130.011,5.96338,235.890,29.7661,-193.633,-16.0130,257.875,159.975,85.9985,-264.330,-133.030,-149.981,63.2738,133.667,23.5615,-117.778,145.789,-137.675,301.945,101.619,-205.638,275.523,-97.7458,-19.9950,-61.1494,-7.24591,-259.738,108.561,-71.0692,-80.2016,8.60883,26.1710,25.1733,-189.977,-23.8231,102.528,-237.199,-247.187,192.899,92.9940,194.551,23.1376,-78.2033,159.721,65.8984,-230.915,-190.291,121.923,163.659,395.446,-45.2675,-82.5105,-50.6293,-71.7384,-147.418,75.8755,253.587,-14.7136,-83.5067,247.851,103.236,-170.927,100.621,-212.625,295.213,46.4135,23.3232,-192.078,253.281,164.604,35.1244,-129.094,103.454,137.905,4.78101,59.9141,-88.3307,-121.185,-270.282,43.8356,-12.1077,-153.772,176.924,-155.236,264.099,-219.101,-235.566,-195.628,43.7972,-81.2313,-68.7941,-197.909,109.719,35.8223,-46.0151,-276.132,56.2020,-42.6761,-18.3839,171.904,172.318,-45.4680,54.1695,-143.372,27.5266,60.8271,-399.762,115.428,130.675,168.048,-146.052,79.3760,40.0204,71.3651,31.1500,11.2028,-146.429,-282.536,-218.507,-83.6763,-75.5463,-280.614,-158.852
-0.863028,-312.283,-288.509,234.322,-75.5200,-230.641,214.282,154.376,-151.681,2.41876,232.675,18.5734,-201.483,-14.4715,259.229,178.488,95.3961,-274.121,-152.772,-126.170,62.8826,102.961,30.5834,-101.399,163.609,-139.746,331.066,101.824,-241.651,285.490,-106.887,-22.9926,-51.0090,-29.6552,-248.145,128.373,-50.4567,-59.9221,4.17139,13.2493,-1.38940,-232.654,-40.3380,111.484,-247.498,-241.530,159.661,112.260,145.404,25.3372,-78.5184,110.408,54.9473,-242.867,-192.630,97.0152,160.481,360.225,-24.3460,-74.7732,-39.6300,-57.4899,-196.858,76.7673,244.303,-9.78583,-117.231,248.864,67.4626,-175.593,122.678,-185.490,296.041,41.2935,22.9553,-218.770,244.087,150.180,18.4407,-129.293,75.5702,154.690,17.4196,62.8898,-77.2915,-118.431,-287.202,47.1544,8.91180,-153.548,142.155,-137.451,277.003,-203.163,-234.406,-202.354,53.7889,-70.5112,-44.2474,-211.303,100.176,44.6833,-80.4143,-290.621,52.4401,-58.1237,-0.984009,179.373,147.045,-48.4287,69.3193,-156.308,60.8054,73.3871,-417.291,121.180,114.973,163.283,-153.036,65.2447,49.8406,78.4632,21.1819,25.1891,-110.765,-291.643,-212.645,-114.807,-92.6886,-305.128,-136.505
-0.858955,-302.210,-284.953,218.655,-67.1884,-252.900,212.996,159.239,-173.350,-1.12579,229.459,7.38074,-201.227,-12.9301,253.076,197.002,104.794,-283.912,-165.775,-102.359,62.4913,72.2545,37.6052,-85.0187,166.652,-141.818,353.802,102.030,-277.664,295.457,-128.808,-25.9902,-33.2035,-52.0644,-236.553,148.185,-29.8442,-39.6425,-0.266113,-12.5289,-35.8203,-262.043,-64.8373,120.439,-248.464,-235.873,126.424,131.526,96.2574,27.5367,-78.8334,61.0945,43.9962,-254.820,-194.969,72.1070,166.734,315.540,-3.42456,-67.0359,-28.6308,-43.2415,-236.910,77.6590,235.018,-4.85803,-150.955,249.876,31.6894,-180.260,126.325,-149.606,288.471,44.3911,22.5874,-245.462,234.893,135.756,1.75714,-129.492,47.6864,171.474,24.8130,65.8654,-66.2522,-105.411,-293.674,40.2059,20.2532,-153.323,107.387,-119.666,289.907,-187.224,-233.246,-209.079,63.7806,-59.7910,-19.7007,-224.698,90.6329,53.5444,-109.517,-305.110,48.6782,-73.5714,16.4158,186.842,121.771,-51.3894,84.4691,-169.244,88.9349,85.9472,-434.819,116.677,99.2709,158.517,-160.019,51.1133,59.6608,85.5613,11.2137,39.1754,-75.1008,-300.750,-206.783,-145.938,-109.831,-319.451,-114.158
-0.854883,-275.279,-269.363,202.863,-51.3034,-255.345,220.050,146.846,-179.176,-7.51093,234.757,2.25714,-187.250,-35.6817,234.101,210.983,114.698,-278.112,-159.616,-81.7072,59.5446,52.0887,34.1247,-61.2978,152.410,-144.937,361.039,103.041,-303.200,308.475,-163.271,-11.3937,-11.3257,-70.4889,-233.198,179.665,-18.9459,-17.4572,-9.76923,-42.5659,-71.7264,-275.736,-88.2554,132.402,-238.250,-246.620,93.7778,127.261,69.9006,37.4702,-70.2191,12.1666,31.6038,-249.739,-210.901,58.8320,173.135,273.616,18.1675,-53.2469,-22.0967,-9.05066,-269.627,89.8506,217.284,-2.67346,-177.305,248.858,-5.52264,-179.065,118.561,-107.069,271.365,48.0452,29.7438,-271.141,217.959,121.775,-27.1631,-128.416,21.6127,185.446,25.6496,53.6633,-61.0040,-91.3209,-289.970,22.2947,25.6467,-136.997,86.7610,-100.040,306.367,-178.360,-216.532,-208.450,53.5082,-42.9430,-9.11005,-233.762,81.3017,62.1918,-122.731,-311.082,46.8228,-88.1747,27.5123,205.613,92.0675,-60.8274,81.2050,-187.565,111.325,90.6243,-447.999,102.668,83.9949,159.379,-161.789,28.0447,45.3988,104.200,-6.37683,61.8418,-34.4082,-310.990,-212.587,-180.124,-112.724,-329.900,-100.797
-0.850810,-241.520,-253.772,187.071,-35.4184,-257.790,227.104,134.453,-185.002,-13.8961,240.056,-2.86639,-173.274,-58.4334,207.620,217.587,124.602,-272.312,-142.225,-61.0551,56.5980,31.9229,30.6441,-37.5768,131.836,-148.056,357.635,104.052,-315.923,321.493,-197.733,3.20276,10.5520,-88.9133,-229.842,211.145,-8.04773,4.72815,-19.2723,-72.6028,-107.633,-270.826,-111.674,144.365,-228.037,-257.367,61.1318,122.996,43.5439,47.4035,-61.6048,-36.7612,19.2114,-244.659,-226.833,54.8633,179.535,231.691,39.7596,-39.4580,-15.5627,25.1402,-286.696,102.042,199.549,-0.488892,-189.772,238.329,-42.7346,-177.870,101.592,-55.7821,254.258,51.6993,36.9002,-287.086,201.026,107.794,-56.0834,-127.340,-4.46094,189.033,15.9956,31.2363,-55.7559,-77.2311,-281.043,4.38361,21.3622,-120.670,66.1354,-80.4138,317.493,-169.496,-199.817,-207.820,43.2359,-26.0950,1.48059,-242.826,71.9705,70.8393,-125.351,-317.054,44.9673,-102.778,38.6088,224.384,62.3640,-70.2653,77.9409,-205.887,123.417,84.9348,-450.741,88.6584,68.7191,160.242,-163.559,4.97607,31.1368,122.839,-23.9674,84.5081,6.28430,-312.167,-228.344,-214.310,-115.618,-330.159,-87.4354
-0.846737,-210.891,-225.345,171.279,-28.5030,-242.119,234.158,121.436,-190.829,-20.2812,245.354,-7.98993,-158.790,-80.3616,169.880,217.739,134.506,-266.512,-112.059,-61.4623,41.3856,12.1474,27.1636,-13.8558,113.900,-151.175,347.046,105.063,-321.706,334.510,-232.196,17.7993,32.4297,-107.338,-226.487,242.625,2.85052,26.9135,-28.7754,-106.979,-134.851,-255.949,-126.608,156.328,-217.240,-267.532,37.9488,118.731,35.9667,57.3369,-34.5555,-90.3162,6.81897,-224.267,-251.260,59.0380,177.095,193.907,66.5251,-25.6691,-9.02869,59.3311,-285.965,113.659,181.814,-6.79932,-190.092,219.479,-64.5990,-176.674,88.6501,-4.85980,237.152,55.8669,44.0566,-294.516,184.092,103.262,-85.0037,-126.263,-30.5346,180.071,1.42413,-2.48083,-50.5077,-57.3664,-274.401,-13.5275,5.78659,-104.977,45.5099,-60.7876,319.837,-160.632,-183.103,-212.947,32.9635,-9.24701,12.0712,-251.891,52.4780,79.4868,-121.572,-323.027,43.1119,-106.195,49.7053,243.155,32.6604,-79.7033,74.6768,-226.693,125.532,72.9822,-447.503,74.0084,73.8998,161.104,-153.936,-18.0926,16.8748,150.920,-41.5579,101.966,46.3611,-296.729,-238.502,-238.381,-118.511,-315.132,-74.0740
-0.842665,-180.262,-196.918,155.487,-27.2527,-226.448,241.213,108.419,-196.655,-26.6663,250.652,-13.1135,-144.307,-102.290,132.141,210.514,144.410,-260.712,-75.1542,-61.8695,26.1732,-7.62799,23.6830,9.86517,95.9645,-154.295,336.458,106.074,-314.676,347.528,-266.658,32.3957,54.3074,-125.762,-223.132,274.104,13.7487,49.0988,-38.2785,-133.641,-148.956,-227.785,-128.235,168.290,-206.443,-277.696,14.7657,114.466,28.3894,67.2702,-7.50635,-134.617,-5.57349,-203.876,-275.688,72.5190,174.654,165.588,84.0934,-11.8801,-2.49466,93.5219,-275.846,125.276,164.080,-13.1097,-176.529,191.120,-86.4634,-175.479,75.7083,37.3130,220.046,60.0346,51.2130,-292.212,167.159,98.7311,-113.924,-125.187,-56.6082,160.724,-13.1474,-36.1979,-45.2595,-47.7682,-267.759,-31.4387,-9.78897,-89.2842,24.8843,-41.1613,311.511,-151.769,-166.388,-207.840,22.6912,7.60095,22.6619,-260.955,32.9854,88.1342,-107.200,-328.999,41.2565,-99.4801,60.8019,261.926,2.95676,-89.1412,71.4127,-242.529,117.349,50.6630,-433.827,59.3584,79.0806,161.967,-133.994,-41.1613,2.61279,179.001,-59.1484,119.425,86.4380,-266.186,-248.660,-262.453,-121.405,-300.106,-60.7126
-0.838592,-150.344,-151.109,147.936,-33.9099,-208.512,238.735,95.4025,-180.957,-21.4968,251.944,-2.75647,-133.877,-111.042,96.1207,196.836,137.817,-250.093,-36.2841,-76.7549,5.33905,-12.5688,0.494141,20.5056,67.6056,-151.388,332.388,108.159,-297.236,344.277,-292.494,53.4193,72.6719,-128.248,-217.829,290.358,20.7612,66.9049,-35.5598,-137.001,-151.258,-186.831,-122.210,172.962,-203.424,-284.949,-11.3744,95.2981,26.6808,68.5887,20.6950,-164.458,-6.43524,-181.188,-296.339,93.7555,170.053,148.310,81.5426,-9.90857,-8.77386,115.066,-256.534,135.361,145.249,-19.4201,-144.746,155.430,-94.7068,-167.365,56.8213,68.5488,212.038,67.2839,69.4255,-281.190,147.748,112.116,-132.072,-132.129,-70.0114,135.103,-18.1025,-63.3114,-30.5740,-53.9977,-260.137,-38.6546,-27.9857,-72.1130,23.9736,-25.8679,300.852,-142.271,-152.163,-185.464,25.5630,21.7750,34.7910,-254.015,6.50684,83.9656,-80.1385,-321.700,38.7475,-90.8658,49.7814,280.698,-15.4140,-91.1139,60.1057,-249.665,99.8334,13.6579,-414.606,40.4358,104.292,162.829,-111.472,-64.2299,-24.4930,202.676,-64.1227,120.825,119.742,-224.691,-259.440,-273.881,-110.506,-273.403,-62.9691
-0.834520,-120.426,-105.299,140.385,-53.7856,-190.577,236.257,82.3859,-165.260,-16.3273,253.235,7.60065,-123.447,-106.618,60.1009,183.158,131.223,-239.474,2.58612,-91.6404,-15.4951,-11.2635,-22.6947,31.1461,39.2466,-148.482,328.318,110.243,-279.796,341.026,-305.549,74.4429,83.3712,-130.733,-212.526,306.611,27.7737,84.7109,-32.8410,-127.504,-140.447,-137.904,-108.201,177.633,-200.404,-282.883,-37.5146,76.1300,24.9722,69.9073,48.8964,-185.045,-7.29706,-158.500,-307.929,114.992,165.451,140.497,78.9918,-7.93701,-15.0531,136.611,-237.222,136.253,126.418,-25.7305,-112.963,119.739,-102.950,-159.251,37.9343,85.2020,212.429,74.5332,87.6381,-270.168,128.338,125.500,-150.220,-139.071,-83.4145,109.481,-23.0575,-90.4249,-15.8885,-70.4937,-252.515,-35.6031,-46.1824,-65.0782,23.0628,-10.5745,290.192,-132.774,-137.937,-163.088,28.4349,35.9490,46.9201,-247.074,-19.9717,79.7971,-47.7806,-314.400,36.2384,-82.2516,38.7609,299.469,-33.7848,-93.0865,48.7988,-251.830,72.0189,-33.7138,-390.166,21.5132,129.503,163.692,-88.9505,-87.2985,-51.5988,216.279,-69.0969,122.225,143.194,-183.196,-270.221,-285.309,-99.6070,-246.700,-65.2255
-0.830447,-104.165,-59.8901,144.822,-79.7983,-183.511,233.779,69.3691,-149.563,-11.1578,253.981,17.9577,-113.523,-90.6656,24.0811,169.019,110.736,-228.855,41.8774,-106.526,-36.3293,-18.9370,-45.8835,28.9729,10.8876,-124.617,324.249,125.215,-261.554,337.306,-306.942,95.4664,89.7589,-117.605,-207.223,306.976,34.7863,102.517,-14.6841,-106.276,-120.457,-93.1300,-81.8824,182.304,-196.801,-275.770,-63.6548,56.9620,23.2635,71.2258,77.0978,-196.956,-8.15887,-135.812,-311.023,136.228,160.850,141.557,75.8661,-24.2634,-21.3323,139.477,-207.934,131.974,107.586,-23.5459,-76.4951,73.9446,-101.985,-151.137,37.4579,85.2675,220.694,81.7825,105.851,-248.805,108.928,148.334,-153.250,-146.013,-96.8175,83.2106,-17.5219,-105.609,-1.20294,-96.6145,-244.894,-26.9901,-64.3791,-69.2357,22.1521,4.71899,273.530,-123.277,-140.302,-140.072,31.3068,50.1230,59.0492,-240.134,-56.6116,75.6286,-17.7399,-307.100,33.7294,-73.0041,27.7404,318.240,-52.1556,-95.0592,38.1268,-244.882,31.6533,-85.6209,-363.117,3.23157,154.714,164.554,-65.7839,-110.367,-78.7046,217.712,-74.0711,113.210,157.410,-140.758,-281.001,-296.738,-88.7080,-219.997,-67.4819
-0.826375,-87.9034,-14.4814,149.259,-115.253,-176.445,231.302,56.3525,-133.866,-5.98840,254.727,28.3148,-103.599,-61.5369,-11.9387,154.880,90.2496,-218.235,81.1688,-121.411,-57.1634,-16.2002,-69.0724,26.7998,-17.4714,-100.751,320.179,140.186,-243.313,333.586,-295.554,116.490,83.3712,-104.476,-201.920,307.340,41.7988,120.323,3.47284,-72.1909,-100.466,-48.3558,-55.5636,186.975,-193.198,-259.339,-89.7950,37.7939,21.5549,72.5444,105.299,-199.613,-9.02063,-113.124,-305.056,157.465,156.248,152.081,72.7405,-40.5897,-27.6115,142.344,-178.646,112.372,88.7555,-21.3614,-48.3562,28.1500,-101.020,-143.023,36.9814,76.5835,237.357,89.0318,124.063,-227.442,89.5176,171.169,-156.280,-152.954,-110.221,56.9400,-11.9863,-110.569,13.4825,-133.002,-237.272,-8.10974,-82.5758,-73.3932,21.2413,20.0125,267.538,-113.779,-142.668,-117.057,34.1786,64.2971,71.1783,-233.193,-93.2516,71.4601,12.3008,-299.801,31.2203,-63.7567,16.7200,337.011,-70.5264,-97.0319,27.4548,-227.991,-13.8615,-137.528,-325.629,-15.0501,179.925,165.417,-42.6174,-133.436,-105.810,209.073,-79.0454,104.194,161.775,-98.3188,-291.781,-308.166,-77.8091,-193.294,-69.7383
-0.822302,-77.1543,35.3065,157.957,-155.369,-180.999,230.625,39.5286,-114.420,11.8189,250.453,36.8797,-98.1400,-22.9175,-47.7044,129.735,62.6898,-209.087,109.194,-120.914,-72.0085,3.29059,-83.4444,20.8977,-44.3130,-70.9753,311.735,157.741,-229.360,313.725,-273.733,126.869,64.3580,-86.2958,-194.446,293.378,54.7208,150.801,25.2883,-29.7294,-83.5287,-2.27344,-22.6015,172.301,-185.743,-234.075,-106.300,16.5792,14.7846,66.1536,130.260,-188.461,1.82837,-107.493,-289.743,176.544,137.514,165.736,79.7702,-55.5818,-40.8191,129.160,-147.170,74.1458,77.3473,-19.1325,-34.4901,-13.1001,-91.9490,-116.915,49.3660,58.1587,267.822,94.1732,136.389,-195.535,65.5540,194.532,-141.923,-162.095,-128.579,41.5550,5.24200,-111.427,24.8436,-168.681,-215.367,15.8643,-89.1412,-82.0382,41.6392,24.2302,281.025,-102.579,-147.820,-91.8957,59.8750,86.4094,79.5849,-216.236,-134.337,63.7104,33.7209,-286.073,26.7230,-51.4750,-7.11456,337.937,-81.4664,-88.9456,27.2068,-205.171,-58.5584,-184.441,-279.104,-29.8337,205.376,168.579,-38.4221,-159.611,-128.688,189.090,-74.6757,84.8031,157.904,-70.5013,-284.740,-328.550,-62.9550,-168.449,-84.3633
-0.818230,-66.4052,78.6760,166.655,-189.821,-185.552,229.948,22.7047,-94.9735,29.6262,237.438,45.4446,-100.786,15.7019,-83.4702,104.590,35.1301,-199.938,137.219,-120.416,-86.8535,29.0275,-97.8163,14.9956,-71.1547,-41.1992,303.292,175.297,-215.406,286.355,-244.242,137.247,37.6796,-68.1153,-186.972,279.416,67.6428,181.278,47.1037,12.7320,-66.5911,35.8361,10.3605,157.626,-168.955,-208.811,-122.804,-4.63562,8.01434,59.7628,155.221,-177.309,12.6774,-101.862,-265.369,186.318,118.779,179.390,86.7999,-70.5740,-54.0267,115.975,-115.694,26.7261,65.9390,-16.9037,-34.5063,-54.3502,-82.8783,-90.8065,61.7505,39.7339,306.685,99.3146,148.715,-163.628,41.5903,217.896,-127.566,-171.235,-146.937,26.1699,22.4703,-102.061,36.2045,-204.360,-193.461,39.8383,-95.7066,-90.6833,62.0371,28.4479,305.183,-91.3790,-152.973,-66.7346,85.5714,108.522,87.9915,-199.279,-175.423,55.9608,55.1412,-272.344,22.2258,-39.1934,-30.9491,338.863,-92.4064,-80.8594,37.1182,-172.409,-103.255,-220.987,-227.360,-34.3632,230.827,171.742,-34.2268,-185.786,-151.566,169.107,-70.3060,65.4121,144.182,-42.6838,-277.699,-348.934,-48.1008,-143.604,-98.9882
-0.814157,-55.6561,115.761,175.353,-213.886,-190.106,229.271,5.88080,-75.5272,47.4335,208.398,54.0095,-114.578,39.3337,-123.458,79.4451,7.57034,-204.396,142.782,-119.918,-89.4328,51.9016,-112.188,9.09351,-90.3438,-17.7106,294.849,178.623,-201.453,267.433,-202.930,147.626,14.5143,-49.9348,-179.498,265.454,80.5649,207.539,68.9191,55.9970,-49.6536,69.4609,43.3226,142.952,-144.002,-182.964,-120.383,-24.8699,1.24402,53.3721,180.182,-165.579,23.5264,-96.2309,-236.464,182.712,100.044,179.439,93.8297,-85.5661,-85.8718,93.4520,-84.2183,-16.4801,54.5308,-28.8332,-50.3138,-81.3354,-73.8076,-64.6983,74.1351,20.7623,340.474,104.456,151.214,-131.721,17.6266,231.809,-104.138,-180.375,-165.295,10.7849,49.8615,-87.5824,47.5656,-235.547,-171.555,64.4539,-102.272,-89.1918,82.4350,32.6656,323.338,-80.1788,-148.170,-41.5737,111.268,130.634,84.0904,-182.322,-204.230,48.2111,76.5613,-258.616,7.27008,-26.9118,-57.1058,339.789,-103.346,-57.6231,61.6336,-135.298,-140.228,-251.270,-178.225,-33.3384,256.278,174.904,-30.0315,-211.960,-174.445,148.494,-65.9363,40.8131,125.533,-14.8663,-270.658,-369.318,-33.2467,-118.758,-113.613
