2H chemical shift (ppm),FA_20240105_2H_yeast_1.5.ser#1,FA_20240105_2H_yeast_1.5.ser#2,FA_20240105_2H_yeast_1.5.ser#3,FA_20240105_2H_yeast_1.5.ser#4,FA_20240105_2H_yeast_1.5.ser#5,FA_20240105_2H_yeast_1.5.ser#6,FA_20240105_2H_yeast_1.5.ser#7,FA_20240105_2H_yeast_1.5.ser#8,FA_20240105_2H_yeast_1.5.ser#9,FA_20240105_2H_yeast_1.5.ser#10,FA_20240105_2H_yeast_1.5.ser#11,FA_20240105_2H_yeast_1.5.ser#12,FA_20240105_2H_yeast_1.5.ser#13,FA_20240105_2H_yeast_1.5.ser#14,FA_20240105_2H_yeast_1.5.ser#15,FA_20240105_2H_yeast_1.5.ser#16,FA_20240105_2H_yeast_1.5.ser#17,FA_20240105_2H_yeast_1.5.ser#18,FA_20240105_2H_yeast_1.5.ser#19,FA_20240105_2H_yeast_1.5.ser#20,FA_20240105_2H_yeast_1.5.ser#21,FA_20240105_2H_yeast_1.5.ser#22,FA_20240105_2H_yeast_1.5.ser#23,FA_20240105_2H_yeast_1.5.ser#24,FA_20240105_2H_yeast_1.5.ser#25,FA_20240105_2H_yeast_1.5.ser#26,FA_20240105_2H_yeast_1.5.ser#27,FA_20240105_2H_yeast_1.5.ser#28,FA_20240105_2H_yeast_1.5.ser#29,FA_20240105_2H_yeast_1.5.ser#30,FA_20240105_2H_yeast_1.5.ser#31,FA_20240105_2H_yeast_1.5.ser#32,FA_20240105_2H_yeast_1.5.ser#33,FA_20240105_2H_yeast_1.5.ser#34,FA_20240105_2H_yeast_1.5.ser#35,FA_20240105_2H_yeast_1.5.ser#36,FA_20240105_2H_yeast_1.5.ser#37,FA_20240105_2H_yeast_1.5.ser#38,FA_20240105_2H_yeast_1.5.ser#39,FA_20240105_2H_yeast_1.5.ser#40,FA_20240105_2H_yeast_1.5.ser#41,FA_20240105_2H_yeast_1.5.ser#42,FA_20240105_2H_yeast_1.5.ser#43,FA_20240105_2H_yeast_1.5.ser#44,FA_20240105_2H_yeast_1.5.ser#45,FA_20240105_2H_yeast_1.5.ser#46,FA_20240105_2H_yeast_1.5.ser#47,FA_20240105_2H_yeast_1.5.ser#48,FA_20240105_2H_yeast_1.5.ser#49,FA_20240105_2H_yeast_1.5.ser#50,FA_20240105_2H_yeast_1.5.ser#51,FA_20240105_2H_yeast_1.5.ser#52,FA_20240105_2H_yeast_1.5.ser#53,FA_20240105_2H_yeast_1.5.ser#54,FA_20240105_2H_yeast_1.5.ser#55,FA_20240105_2H_yeast_1.5.ser#56,FA_20240105_2H_yeast_1.5.ser#57,FA_20240105_2H_yeast_1.5.ser#58,FA_20240105_2H_yeast_1.5.ser#59,FA_20240105_2H_yeast_1.5.ser#60,FA_20240105_2H_yeast_1.5.ser#61,FA_20240105_2H_yeast_1.5.ser#62,FA_20240105_2H_yeast_1.5.ser#63,FA_20240105_2H_yeast_1.5.ser#64,FA_20240105_2H_yeast_1.5.ser#65,FA_20240105_2H_yeast_1.5.ser#66,FA_20240105_2H_yeast_1.5.ser#67,FA_20240105_2H_yeast_1.5.ser#68,FA_20240105_2H_yeast_1.5.ser#69,FA_20240105_2H_yeast_1.5.ser#70,FA_20240105_2H_yeast_1.5.ser#71,FA_20240105_2H_yeast_1.5.ser#72,FA_20240105_2H_yeast_1.5.ser#73,FA_20240105_2H_yeast_1.5.ser#74,FA_20240105_2H_yeast_1.5.ser#75,FA_20240105_2H_yeast_1.5.ser#76,FA_20240105_2H_yeast_1.5.ser#77,FA_20240105_2H_yeast_1.5.ser#78,FA_20240105_2H_yeast_1.5.ser#79,FA_20240105_2H_yeast_1.5.ser#80,FA_20240105_2H_yeast_1.5.ser#81,FA_20240105_2H_yeast_1.5.ser#82,FA_20240105_2H_yeast_1.5.ser#83,FA_20240105_2H_yeast_1.5.ser#84,FA_20240105_2H_yeast_1.5.ser#85,FA_20240105_2H_yeast_1.5.ser#86,FA_20240105_2H_yeast_1.5.ser#87,FA_20240105_2H_yeast_1.5.ser#88,FA_20240105_2H_yeast_1.5.ser#89,FA_20240105_2H_yeast_1.5.ser#90,FA_20240105_2H_yeast_1.5.ser#91,FA_20240105_2H_yeast_1.5.ser#92,FA_20240105_2H_yeast_1.5.ser#93,FA_20240105_2H_yeast_1.5.ser#94,FA_20240105_2H_yeast_1.5.ser#95,FA_20240105_2H_yeast_1.5.ser#96,FA_20240105_2H_yeast_1.5.ser#97,FA_20240105_2H_yeast_1.5.ser#98,FA_20240105_2H_yeast_1.5.ser#99,FA_20240105_2H_yeast_1.5.ser#100,FA_20240105_2H_yeast_1.5.ser#101,FA_20240105_2H_yeast_1.5.ser#102,FA_20240105_2H_yeast_1.5.ser#103,FA_20240105_2H_yeast_1.5.ser#104,FA_20240105_2H_yeast_1.5.ser#105,FA_20240105_2H_yeast_1.5.ser#106,FA_20240105_2H_yeast_1.5.ser#107,FA_20240105_2H_yeast_1.5.ser#108,FA_20240105_2H_yeast_1.5.ser#109,FA_20240105_2H_yeast_1.5.ser#110,FA_20240105_2H_yeast_1.5.ser#111,FA_20240105_2H_yeast_1.5.ser#112,FA_20240105_2H_yeast_1.5.ser#113,FA_20240105_2H_yeast_1.5.ser#114,FA_20240105_2H_yeast_1.5.ser#115,FA_20240105_2H_yeast_1.5.ser#116,FA_20240105_2H_yeast_1.5.ser#117,FA_20240105_2H_yeast_1.5.ser#118,FA_20240105_2H_yeast_1.5.ser#119,FA_20240105_2H_yeast_1.5.ser#120,FA_20240105_2H_yeast_1.5.ser#121,FA_20240105_2H_yeast_1.5.ser#122,FA_20240105_2H_yeast_1.5.ser#123,FA_20240105_2H_yeast_1.5.ser#124,FA_20240105_2H_yeast_1.5.ser#125,FA_20240105_2H_yeast_1.5.ser#126,FA_20240105_2H_yeast_1.5.ser#127,FA_20240105_2H_yeast_1.5.ser#128,FA_20240105_2H_yeast_1.5.ser#129,FA_20240105_2H_yeast_1.5.ser#130,FA_20240105_2H_yeast_1.5.ser#131,FA_20240105_2H_yeast_1.5.ser#132,FA_20240105_2H_yeast_1.5.ser#133,FA_20240105_2H_yeast_1.5.ser#134,FA_20240105_2H_yeast_1.5.ser#135,FA_20240105_2H_yeast_1.5.ser#136,FA_20240105_2H_yeast_1.5.ser#137,FA_20240105_2H_yeast_1.5.ser#138,FA_20240105_2H_yeast_1.5.ser#139,FA_20240105_2H_yeast_1.5.ser#140,FA_20240105_2H_yeast_1.5.ser#141,FA_20240105_2H_yeast_1.5.ser#142,FA_20240105_2H_yeast_1.5.ser#143,FA_20240105_2H_yeast_1.5.ser#144,FA_20240105_2H_yeast_1.5.ser#145,FA_20240105_2H_yeast_1.5.ser#146,FA_20240105_2H_yeast_1.5.ser#147,FA_20240105_2H_yeast_1.5.ser#148,FA_20240105_2H_yeast_1.5.ser#149,FA_20240105_2H_yeast_1.5.ser#150,FA_20240105_2H_yeast_1.5.ser#151,FA_20240105_2H_yeast_1.5.ser#152,FA_20240105_2H_yeast_1.5.ser#153,FA_20240105_2H_yeast_1.5.ser#154,FA_20240105_2H_yeast_1.5.ser#155,FA_20240105_2H_yeast_1.5.ser#156,FA_20240105_2H_yeast_1.5.ser#157,FA_20240105_2H_yeast_1.5.ser#158,FA_20240105_2H_yeast_1.5.ser#159,FA_20240105_2H_yeast_1.5.ser#160,FA_20240105_2H_yeast_1.5.ser#161,FA_20240105_2H_yeast_1.5.ser#162,FA_20240105_2H_yeast_1.5.ser#163,FA_20240105_2H_yeast_1.5.ser#164,FA_20240105_2H_yeast_1.5.ser#165,FA_20240105_2H_yeast_1.5.ser#166,FA_20240105_2H_yeast_1.5.ser#167,FA_20240105_2H_yeast_1.5.ser#168,FA_20240105_2H_yeast_1.5.ser#169,FA_20240105_2H_yeast_1.5.ser#170,FA_20240105_2H_yeast_1.5.ser#171,FA_20240105_2H_yeast_1.5.ser#172,FA_20240105_2H_yeast_1.5.ser#173,FA_20240105_2H_yeast_1.5.ser#174,FA_20240105_2H_yeast_1.5.ser#175,FA_20240105_2H_yeast_1.5.ser#176,FA_20240105_2H_yeast_1.5.ser#177,FA_20240105_2H_yeast_1.5.ser#178,FA_20240105_2H_yeast_1.5.ser#179,FA_20240105_2H_yeast_1.5.ser#180
-1.67758,-61.0933,-295.881,306.554,84.7066,306.948,523.141,91.2701,298.601,397.802,392.993,-383.818,388.999,265.748,-71.0054,33.1171,457.162,544.657,33.0373,179.231,642.017,293.251,-240.51,306.319,500.994,27.0028,71.3763,404.804,-39.6301,71.5317,444.878,-490.682,-256.378,194.163,347.543,-510.055,-19.4235,76.3248,70.9514,-55.1744,269.974,203.714,-554.7,-49.206,-136.562,518.655,574.547,32.1628,408.663,55.0006,-292.031,-512.444,1029.1,95.8809,-599.945,32.8274,279.436,223.508,290.346,-12.9662,152.306,125.265,88.0211,-4.79625,552.595,-155.408,-241.471,213.661,-292.872,82.9938,-538.224,72.6332,25.0525,109.676,68.5239,39.6291,-162.918,182.005,90.3495,371.793,363.681,96.0138,-4.78086,401.225,-184.479,-388.99,-187.798,-23.9952,-301.949,-36.5781,244.091,-433.248,195.934,495.3,231.528,151.66,-192.953,611.315,-163.698,-165.356,-256.917,318.053,211.839,399.826,-16.9514,30.2299,-78.2708,205.493,262.856,-21.7373,-120.608,121.864,114.677,-10.7625,319.843,101.553,-70.6083,152.83,-459.493,392.515,488.186,-129.93,-112.821,-354.675,-497.61,13.2944,286.653,253.003,-294.822,145.995,-572.389,140.217,-544.636,-78.7773,288.395,131.102,257.059,-24.7592,889.328,343.508,-199.013,-253.471,114.426,-11.7382,-63.3332,51.3073,-80.0271,37.0119,401.382,-172.284,200.645,-675.869,105.787,-200.125,-464.872,40.5204,130.991,-233.91,102.22,80.1075,123.194,-472.371,-90.173,-413.475,173.758,441.248,-9.40872,510.345,954.294,357.773,457.238,-170.15,511.606,509.232,419.19,199.261,342.105,227.854,-164.043,-286.468,145.349
-1.66943,36.2833,-269.648,321.743,70.2027,283.396,497.055,129.325,327.524,284.969,461.526,-393.257,411.065,264.7,77.823,-11.5224,447.386,571.808,-38.9369,84.6022,631.491,251.057,-192.524,308.838,515.859,125.845,159.217,325.07,57.7395,158.614,451.701,-634.466,-169.576,152.241,457.9,-572.427,-39.0052,160.255,-23.0059,-187.576,162.413,236.698,-682.647,-112.854,-102.243,432.362,597.811,-2.99886,480.587,-12.1236,-375.584,-415.169,984.732,193.996,-608.893,73.2828,369.275,221.365,278.636,-64.8453,163.289,140.474,39.3222,23.7844,469.464,-195.055,-317.206,193.717,-367.271,56.5138,-575.805,54.0788,63.5304,269.113,60.2439,153.721,-164,98.9781,87.0316,435.835,446.698,-3.78134,25.8414,439.124,-193.031,-384.141,-217.161,1.14939,-363.719,-143.569,286.431,-463.078,149.916,317.394,154.436,219.163,-223.356,629.441,-101.202,-165.448,-299.537,223.048,109.257,390.795,-46.4314,68.5508,-151.161,96.6476,249.635,-32.1932,-146.148,120.419,91.8356,25.8848,303.811,84.1947,-107.966,88.0106,-445.687,342.742,443.82,-134.252,36.7643,-486.774,-487.581,-52.912,310.755,262.917,-195.171,140.427,-675.837,107.011,-557.022,-33.6367,247.976,172.757,345.039,61.6401,970.452,420.06,-169.024,-184.745,18.1587,4.09778,76.0222,30.61,-112.756,-42.9553,512.903,-139.865,115.713,-556.282,102.952,-214.271,-350.887,-43.8371,-66.5482,-188.521,79.5696,110.856,107.134,-445.713,-92.4185,-372,206.978,471.25,-113.715,450.326,921.858,337.38,414.967,-143.065,501.547,607.1,448.439,199.473,300.948,262.369,-73.577,-295.619,199.825
-1.66129,130.423,-203.888,322.533,77.8054,215.248,478.748,148.799,327.827,198.124,556.53,-442.331,399.797,243.417,189.94,-19.4016,432.332,582.295,-32.3703,14.0924,602.233,187.505,-92.3877,341.118,593.161,200.392,226.267,298.269,161.189,221.803,442.455,-736.404,-121.407,90.7557,483.285,-517.077,-99.1515,269.838,-79.5201,-348.611,23.9235,238.983,-804.215,-180.598,-62.7372,367.452,611.494,-81.2072,534.544,-25.9771,-407.824,-330.031,901.995,251.137,-561.131,96.1707,473.879,177.809,216.651,-97.9771,192.335,169.213,37.8085,71.1855,395.129,-238.832,-372.282,150.436,-452.274,72.1665,-627.879,109.476,49.3702,406.421,45.953,259.397,-126.981,10.6323,59.3715,554.742,505.502,-53.0698,46.5823,446.006,-197.261,-388.454,-188.593,24.4502,-448.208,-225.244,289.677,-483.391,72.3102,179.941,66.8855,300.871,-286.32,646.212,-37.5188,-141.215,-328.199,159.014,51.2272,414.424,-75.2231,82.5304,-261.379,51.9236,257.459,42.2261,-124.072,122.989,82.8492,85.0415,265.536,48.476,-145.45,90.1364,-418.396,306.401,392.039,-93.7989,176.293,-541.433,-503.441,-75.1471,320.65,234.745,-116.633,154.282,-732.061,72.7162,-527.82,9.80681,179.632,193.042,418.025,155.882,1040.9,425.755,-100.018,-208.558,-36.4535,26.2071,209.563,-5.68221,-114.331,-97.3076,535.475,-93.8076,-3.19194,-420.586,122.188,-187.761,-214.386,-91.8199,-262.451,-120.692,27.7191,160.909,55.9376,-414.773,-75.9641,-321.019,230.314,508.96,-177.822,397.813,953.835,227.701,391.091,-175.034,494.503,697.583,487.394,169.366,351.178,306.205,-57.1853,-354.163,281.67
-1.65314,169.33,-141.685,312.279,113.894,152.881,474.717,179.218,280.272,178.315,639.458,-533.477,358.372,201.127,215.075,29.2991,446.784,582.093,19.1248,26.1181,548.688,108.594,15.5132,373.421,726.585,227.8,237.351,344.832,258.705,238.624,420.127,-752.745,-79.0458,31.1497,415.302,-357.56,-185.913,339.481,-139.463,-476.375,-139.755,193.944,-851.405,-237.52,31.6555,291.986,654.774,-187.738,542.129,-9.00271,-394.156,-271.545,806.935,230.624,-493.813,107.106,546.544,61.1803,122.5,-96.5458,248.738,201.996,63.7184,145.733,365.389,-263.954,-430.723,116.47,-497.988,111.545,-665.049,188.553,0.550726,442.498,2.91271,326.047,-69.0075,-66.9925,19.0659,703.136,517.958,-65.6096,57.6352,436.344,-190.222,-400.015,-123.072,-5.78377,-523.694,-280.35,313.623,-510.645,-36.6499,116.017,-27.2045,369.797,-349.786,711.038,1.55318,-110.082,-303.945,165.68,0.0672293,469.158,-93.0659,100.076,-379.542,47.1668,251.372,177.616,-71.1048,135.632,69.6259,134.598,186.731,28.0869,-179.692,131.71,-378.676,270.904,331.897,-35.2393,276.758,-516.65,-497.614,-13.7725,321.416,179.855,-82.9145,191.67,-721.014,6.20952,-441.076,31.0545,97.3678,188,460.234,234.105,1069.34,387.3,-28.4857,-281.124,-37.9978,25.9839,310.102,-34.1547,-81.153,-89.7272,468.637,-21.4652,-144.399,-294.262,158.618,-108.518,-122.89,-104.42,-407.331,-76.6489,-74.2534,212.664,-10.0263,-353.483,-13.2281,-256.768,237.993,520.818,-192.289,334.141,1042.06,152.377,415.624,-246.473,476.122,692.684,525.597,134.741,483.241,349.354,-113.783,-423.979,377.368
-1.645,132.192,-123.577,309.882,159.516,111.597,457.564,243.48,196.186,192.654,683.408,-621.347,279.919,171.528,143.766,118.139,473.858,587.906,60.274,100.758,489.982,14.0804,114.26,408.698,867.663,215.404,197.848,446.813,303.446,267.745,361.206,-649.658,-11.0868,1.58104,274.8,-145.064,-268.021,349.012,-225.048,-542.067,-332.447,121.518,-787.875,-284.967,168.998,216.302,740.055,-295.418,511.439,-5.65482,-327.009,-241.168,726.153,157.673,-411.288,111.517,543.748,-112.12,42.4805,-39.6487,326.212,194.439,94.1988,229.266,377.634,-268.457,-497.009,95.9442,-429.873,145.108,-669.416,231,-53.5329,370.046,-45.2186,336.15,-4.41028,-132.045,-31.5825,822.971,478.639,-75.8456,55.2348,402.959,-173.969,-412.945,-53.6225,-84.0615,-566.79,-324.155,364.841,-542.823,-113.379,91.2157,-119.728,387.784,-395.726,809.095,-8.00355,-88.6599,-216.845,243.937,-42.7608,499.335,-106.361,148.024,-480.732,46.2383,211.522,281.577,-3.25058,167.272,64.9158,144.066,82.8228,54.0154,-194.086,162.639,-350.386,221.585,274.886,-4.29227,327.135,-448.199,-433.205,69.9725,295.42,118.368,-95.8381,219.777,-683.873,-75.6702,-298.832,22.3705,4.79634,176.701,476.094,286.229,1035.12,353.389,37.3095,-323.574,-3.78879,-18.6577,337.147,-43.657,-47.5462,-26.9537,325.462,53.9372,-284.284,-186.773,189.55,21.9208,-95.284,-108.638,-478.329,-66.4664,-178.364,224.66,-12.4058,-248.6,38.5231,-181.904,240.101,490.631,-194.898,239.995,1134.34,143.465,456.431,-302.766,448.058,545.82,575.689,127.302,611.529,378.616,-221.919,-461.344,448.911
-1.63685,50.6366,-140.09,343.6,191.441,91.8506,387.183,347.543,116.832,193.551,677.38,-659.093,175.402,180.895,32.3452,197.956,478.973,610.161,99.0398,177.765,451.649,-96.529,238.026,471.571,952.554,173.207,146.642,557.714,291.021,377.967,264.17,-477.222,73.232,36.4746,110.942,62.9041,-296.565,311.506,-307.394,-571.972,-526.315,64.4376,-638.729,-311.6,280.656,171.169,849.222,-359.598,463.665,-0.303261,-210.71,-247.909,648.583,116.728,-318.34,108.403,457.702,-271.232,15.3865,50.3401,404.871,135.593,106.698,268.867,420.572,-284.821,-516.498,68.1639,-275.245,116.027,-653.597,228.345,-133.943,242.442,-54.5361,317.849,86.2696,-178.078,-99.9662,885.513,414.773,-80.0121,21.4149,331.963,-141.564,-415.532,-25.5989,-177.436,-591.689,-367.222,395.995,-563.236,-126.524,63.4012,-173.64,343.18,-393.875,872.096,-46.8995,-98.7212,-116.67,329.147,-23.1566,467.474,-101.851,231.962,-542.417,40.5866,169.143,291.499,51.0538,209.776,84.9009,122.795,-22.5907,125.201,-169.993,122.13,-329.069,153.155,215.514,-15.0609,348.734,-385.239,-320.662,126.861,247.869,70.8004,-126.02,206.941,-648.003,-143.867,-155.94,13.6521,-84.8994,173.246,477.657,285.396,950.793,343.265,91.2065,-284.837,27.293,-89.153,273.977,-46.952,-47.2159,57.8124,147.453,90.401,-385.846,-127.025,199.733,150.958,-89.9455,-108.87,-489.916,-55.3887,-236.195,182.833,79.6439,-131.332,54.4384,-97.8112,247.795,388.722,-231.442,121.022,1177.12,126.733,479.969,-296.068,420.099,322.726,637.531,136.511,663.599,393.853,-366.978,-451.375,472.354
-1.62871,-28.8284,-148.091,415.855,193.751,124.831,288.72,468.099,60.3251,188.216,608.431,-630.787,92.2185,217.921,-47.6704,249.904,455.975,641.744,129.515,219.025,434.037,-207.67,397.766,541.596,957.911,98.727,112.965,637.474,294.458,551.402,147.456,-286.82,154.192,139.586,-32.9399,218.565,-252.342,260.462,-344.789,-567.203,-664.976,40.8624,-447.04,-284.52,334.718,145.484,937.351,-349.725,411.419,59.6856,-61.9104,-298.653,532.245,155.733,-241.965,87.5918,317.741,-365.526,44.1996,115.943,423.651,66.9572,78.054,254.391,470.635,-316.468,-462.451,-0.516131,-109.662,-23.0048,-643.35,210.167,-261.241,125.47,-15.9653,306.712,214.912,-173.245,-165.513,888.536,365.322,-38.1277,-38.2919,243.707,-97.1973,-387.958,-42.3189,-274.42,-610.982,-404.669,372.016,-562.256,-128.056,11.2262,-169.258,245.114,-345.243,846.941,-93.8155,-127.557,-60.5988,341.203,90.5066,384.434,-56.3078,320.876,-532.613,40.7495,154.706,233.724,87.535,247.723,121.189,71.0307,-115.895,222.099,-135.26,-13.7627,-265.014,64.5354,167.86,-34.2857,356.495,-348.696,-177.816,143.06,207.946,23.9943,-142.291,165.155,-570.17,-189.158,-61.273,24.859,-143.131,171.496,478.656,226.058,866.903,332.445,123.504,-178.261,20.2662,-139.092,170.751,-55.2408,-93.0277,123.899,-4.80763,51.9497,-434.569,-118.468,198.848,222.929,-83.4177,-92.061,-472.324,-31.6555,-254.962,117.465,192.064,-25.0379,62.5088,-26.5882,238.978,206.742,-277.071,0.259992,1137.31,56.4885,459.282,-223.838,385.285,104.233,656.703,115.313,666.895,414.312,-535.122,-425.462,468.006
-1.62056,-77.6454,-128.304,497.805,149.668,236.734,230.418,565.015,0.238819,170.849,487.606,-539.878,66.0139,284.508,-73.6044,290.707,402.006,665.255,118.802,234.867,394.391,-274.271,536.779,565.186,899.027,2.09564,89.7034,656.278,339.867,695.493,41.4172,-112.889,197.422,267.77,-124.872,318.971,-166.601,224.725,-313.418,-515.525,-706.918,41.3686,-264.228,-206.907,367.238,109.615,969.016,-270.321,374.788,175.733,84.5034,-368.03,354.298,246.667,-220.923,50.8747,179.837,-407.148,95.5038,139.247,362.428,-1.90093,-5.77267,217.294,482.963,-344.128,-353.796,-119.511,46.8089,-220.677,-635.195,194.501,-375.39,66.1929,36.5123,303.393,353.15,-135.128,-206.588,837.849,342.776,50.4876,-94.6949,183.581,-66.9531,-333.727,-82.0974,-351.841,-602.844,-391.563,298.208,-495.611,-160.843,-55.7078,-113.998,127.235,-302.053,746.504,-140.943,-115.501,-52.0223,247.496,258.286,287.081,26.6421,380.008,-456.063,62.6903,162.872,169.713,123.119,279.511,174.377,-24.7876,-157.922,313.95,-123.545,-179.174,-152.268,-35.993,159.668,-24.1571,333.951,-347.98,-50.1032,89.0478,186.994,-27.0873,-142.972,128.336,-428.801,-200.786,-21.2546,47.2163,-184.169,139.179,497.935,118.471,815.106,290.421,141.176,-40.9608,-13.8964,-129.151,69.8678,-79.6878,-162.968,127.492,-117.838,-47.8003,-467.424,-113.482,216.95,205.072,-97.4953,-94.3192,-467.772,-28.9255,-254.053,107.803,257.953,53.1261,57.637,-17.4624,175.412,-14.4271,-269.138,-92.6842,1014.45,-27.9844,400.98,-124.979,316.191,-49.6489,596.622,39.2798,667.12,442.086,-656.909,-411.359,472.461
-1.61242,-85.7324,-91.2373,559.811,66.1452,384.352,242.833,625.512,-89.7647,125.425,360.499,-408.095,69.0599,377.914,-70.5943,350.471,316.6,670.797,66.6667,261.574,294.707,-266.27,598.995,513.318,820.308,-84.0132,81.1454,615.827,363.804,756.756,-35.0273,8.26105,175.994,361.318,-139.352,398.475,-70.5264,225.69,-232.874,-425.695,-646.657,59.6327,-126.994,-143.587,388.936,82.2351,911.007,-174.219,387.141,291.24,196.208,-411.251,127.795,319.328,-266.625,14.4527,97.5499,-426.576,136.273,158.04,275.499,-93.5048,-127.821,157.447,432.039,-360.85,-224.277,-259.299,178.141,-367.658,-598.371,185.018,-397.206,47.4279,87.8171,298.495,464.806,-116.141,-222.408,754.466,336.514,144.535,-130.32,154.963,-61.1811,-272.051,-132.524,-353.034,-549.206,-275.132,202.747,-341.161,-211.172,-112.752,-21.613,0.150756,-282.192,632.609,-184.995,-52.309,-70.7463,113.801,391.533,216.707,101.159,394.904,-369.262,111.391,161.914,114.386,154.898,308.51,219.535,-143.231,-106.279,376.246,-113.192,-283.772,-57.5484,-120.976,186.884,18.3312,273.758,-387.371,-18.2826,-19.572,181.606,-52.9449,-128.77,145.809,-273.972,-203.291,-19.2961,56.7342,-226.935,55.2912,520.54,8.56638,736.357,227.38,164.891,90.1766,-38.6366,-58.7363,-9.87087,-127.756,-246.143,59.5323,-194.856,-148.336,-527.355,-79.5343,264.488,104.733,-151.278,-142.308,-495.807,-69.9774,-242.46,176.458,288.658,74.5648,14.9695,-93.6328,56.3045,-225.658,-201.903,-127.983,858.526,-54.5219,351.112,-34.8037,219.57,-113.182,514.709,-56.1051,656.417,460.017,-651.542,-407.978,499.306
-1.60427,-81.974,-60.8197,585.056,-19.467,496.663,293.16,656.033,-173.318,74.3272,264.848,-269.683,37.2821,454.728,-48.1604,427.239,233.487,664.6,6.73002,299.004,153.107,-180.808,573.122,389.376,769.417,-122.339,120.132,535.615,314.021,752.693,-72.4844,76.256,103.53,405.012,-105.668,476.632,19.4747,277.642,-164.971,-278.405,-533.114,115.275,-47.6093,-150.584,354.957,98.0005,766.785,-138.78,445.35,338.592,255.711,-414.684,-118.907,321.483,-329.465,-26.775,81.6206,-426.713,152.981,199.5,222.259,-212.563,-240.209,92.6027,339.599,-351.157,-103.233,-367.11,215.919,-405.435,-537.758,198.334,-321.991,33.8253,145.452,285.847,496.487,-118.405,-208.1,659.349,338.085,219.586,-144.759,137.982,-71.6121,-219.334,-172.499,-286.247,-469.893,-71.5427,109.229,-163.214,-237.629,-133.934,37.498,-137.129,-242.179,543.838,-211.818,20.6628,-88.9978,36.8943,445.689,190.698,133.32,372.967,-347.118,171.552,123.479,60.2924,162.375,321.249,214.741,-241.443,9.2356,387.03,-87.4006,-290.527,-41.5588,-166.594,234.177,77.0846,223.867,-446.239,-97.2425,-107.097,182.924,-52.6036,-93.1664,245.559,-156.438,-206.816,-36.7948,35.8612,-232.574,-41.8173,503.149,-52.9191,561.791,188.31,198.218,176.049,-19.2672,27.1585,-53.0475,-167.547,-341.745,-40.2197,-220.822,-181.365,-599.934,-9.02321,302.747,-24.2932,-221.501,-198.056,-544.477,-112.606,-215.856,266.726,287.87,37.1544,-68.3091,-221.239,-61.2375,-377,-121.782,-86.3109,731.945,6.96325,341.059,34.1156,140.612,-101.775,475.894,-117.637,635.087,450.978,-557.61,-402.553,548.34
-1.59613,-103.001,-72.1453,581.006,-49.5348,545.952,312.502,660.736,-198.475,57.4564,195.497,-152.322,-35.6803,487.068,-0.0251619,478.319,197.355,652.791,-44.5283,320.055,16.5416,-56.2855,506.585,250.815,753.179,-104.622,215.177,421.119,203.781,700.277,-77.6972,117.777,7.50626,417.239,-92.7371,571.842,90.006,344.251,-144.877,-70.2566,-436.744,196.952,-22.7671,-215.402,248.884,124.788,593.778,-157.185,489.155,319.8,257.625,-396.586,-339.987,254.745,-365.383,-65.9016,101.696,-390.016,156.098,230.637,227.094,-340.768,-285.343,73.9977,250.961,-315.579,-12.8419,-409.059,144.818,-355.979,-502.305,250.847,-223.821,3.33665,201.533,248.799,430.269,-121.392,-178.81,576.649,357.968,290.025,-147.674,124.993,-86.469,-198.432,-186.715,-228.861,-388.285,158.132,40.9374,-46.386,-241.193,-123.612,-4.00692,-232.221,-142.735,478.34,-183.277,104.849,-79.462,4.82389,450.348,180.033,129.281,327.298,-391.313,221.959,64.8075,-7.17788,123.1,267.352,181.865,-314.387,116.799,319.749,-70.1832,-213.771,-116.61,-169.631,253.215,145.661,238.904,-481.843,-226.514,-136.44,188.745,-60.3037,-30.27,409.517,-89.9486,-183.945,-68.1774,-13.4576,-172.131,-86.6454,448.465,-51.8564,335.466,204.713,217.527,198.929,56.0637,78.4529,-69.1271,-155.565,-421.243,-131.194,-214.864,-142.145,-643.272,100.448,276.503,-118.99,-284.609,-223.648,-596.27,-104.784,-165.095,342.877,251.004,-18.69,-199.972,-347.97,-102.568,-408.761,-61.0625,16.4995,639.544,96.2514,355.628,111.949,113.372,-36.0324,470.342,-90.5766,623.887,412.23,-486.283,-365.675,604.684
