2H chemical shift,FA_20240206_2H_yeast_1.3.ser#1,FA_20240206_2H_yeast_1.3.ser#2,FA_20240206_2H_yeast_1.3.ser#3,FA_20240206_2H_yeast_1.3.ser#4,FA_20240206_2H_yeast_1.3.ser#5,FA_20240206_2H_yeast_1.3.ser#6,FA_20240206_2H_yeast_1.3.ser#7,FA_20240206_2H_yeast_1.3.ser#8,FA_20240206_2H_yeast_1.3.ser#9,FA_20240206_2H_yeast_1.3.ser#10,FA_20240206_2H_yeast_1.3.ser#11,FA_20240206_2H_yeast_1.3.ser#12,FA_20240206_2H_yeast_1.3.ser#13,FA_20240206_2H_yeast_1.3.ser#14,FA_20240206_2H_yeast_1.3.ser#15,FA_20240206_2H_yeast_1.3.ser#16,FA_20240206_2H_yeast_1.3.ser#17,FA_20240206_2H_yeast_1.3.ser#18,FA_20240206_2H_yeast_1.3.ser#19,FA_20240206_2H_yeast_1.3.ser#20,FA_20240206_2H_yeast_1.3.ser#21,FA_20240206_2H_yeast_1.3.ser#22,FA_20240206_2H_yeast_1.3.ser#23,FA_20240206_2H_yeast_1.3.ser#24,FA_20240206_2H_yeast_1.3.ser#25,FA_20240206_2H_yeast_1.3.ser#26,FA_20240206_2H_yeast_1.3.ser#27,FA_20240206_2H_yeast_1.3.ser#28,FA_20240206_2H_yeast_1.3.ser#29,FA_20240206_2H_yeast_1.3.ser#30,FA_20240206_2H_yeast_1.3.ser#31,FA_20240206_2H_yeast_1.3.ser#32,FA_20240206_2H_yeast_1.3.ser#33,FA_20240206_2H_yeast_1.3.ser#34,FA_20240206_2H_yeast_1.3.ser#35,FA_20240206_2H_yeast_1.3.ser#36,FA_20240206_2H_yeast_1.3.ser#37,FA_20240206_2H_yeast_1.3.ser#38,FA_20240206_2H_yeast_1.3.ser#39,FA_20240206_2H_yeast_1.3.ser#40,FA_20240206_2H_yeast_1.3.ser#41,FA_20240206_2H_yeast_1.3.ser#42,FA_20240206_2H_yeast_1.3.ser#43,FA_20240206_2H_yeast_1.3.ser#44,FA_20240206_2H_yeast_1.3.ser#45,FA_20240206_2H_yeast_1.3.ser#46,FA_20240206_2H_yeast_1.3.ser#47,FA_20240206_2H_yeast_1.3.ser#48,FA_20240206_2H_yeast_1.3.ser#49,FA_20240206_2H_yeast_1.3.ser#50,FA_20240206_2H_yeast_1.3.ser#51,FA_20240206_2H_yeast_1.3.ser#52,FA_20240206_2H_yeast_1.3.ser#53,FA_20240206_2H_yeast_1.3.ser#54,FA_20240206_2H_yeast_1.3.ser#55,FA_20240206_2H_yeast_1.3.ser#56,FA_20240206_2H_yeast_1.3.ser#57,FA_20240206_2H_yeast_1.3.ser#58,FA_20240206_2H_yeast_1.3.ser#59,FA_20240206_2H_yeast_1.3.ser#60,FA_20240206_2H_yeast_1.3.ser#61,FA_20240206_2H_yeast_1.3.ser#62,FA_20240206_2H_yeast_1.3.ser#63,FA_20240206_2H_yeast_1.3.ser#64,FA_20240206_2H_yeast_1.3.ser#65,FA_20240206_2H_yeast_1.3.ser#66,FA_20240206_2H_yeast_1.3.ser#67,FA_20240206_2H_yeast_1.3.ser#68,FA_20240206_2H_yeast_1.3.ser#69,FA_20240206_2H_yeast_1.3.ser#70,FA_20240206_2H_yeast_1.3.ser#71,FA_20240206_2H_yeast_1.3.ser#72,FA_20240206_2H_yeast_1.3.ser#73,FA_20240206_2H_yeast_1.3.ser#74,FA_20240206_2H_yeast_1.3.ser#75,FA_20240206_2H_yeast_1.3.ser#76,FA_20240206_2H_yeast_1.3.ser#77,FA_20240206_2H_yeast_1.3.ser#78,FA_20240206_2H_yeast_1.3.ser#79,FA_20240206_2H_yeast_1.3.ser#80,FA_20240206_2H_yeast_1.3.ser#81,FA_20240206_2H_yeast_1.3.ser#82,FA_20240206_2H_yeast_1.3.ser#83,FA_20240206_2H_yeast_1.3.ser#84,FA_20240206_2H_yeast_1.3.ser#85,FA_20240206_2H_yeast_1.3.ser#86,FA_20240206_2H_yeast_1.3.ser#87,FA_20240206_2H_yeast_1.3.ser#88,FA_20240206_2H_yeast_1.3.ser#89,FA_20240206_2H_yeast_1.3.ser#90,FA_20240206_2H_yeast_1.3.ser#91,FA_20240206_2H_yeast_1.3.ser#92,FA_20240206_2H_yeast_1.3.ser#93,FA_20240206_2H_yeast_1.3.ser#94,FA_20240206_2H_yeast_1.3.ser#95,FA_20240206_2H_yeast_1.3.ser#96,FA_20240206_2H_yeast_1.3.ser#97,FA_20240206_2H_yeast_1.3.ser#98,FA_20240206_2H_yeast_1.3.ser#99,FA_20240206_2H_yeast_1.3.ser#100,FA_20240206_2H_yeast_1.3.ser#101,FA_20240206_2H_yeast_1.3.ser#102,FA_20240206_2H_yeast_1.3.ser#103,FA_20240206_2H_yeast_1.3.ser#104,FA_20240206_2H_yeast_1.3.ser#105,FA_20240206_2H_yeast_1.3.ser#106,FA_20240206_2H_yeast_1.3.ser#107,FA_20240206_2H_yeast_1.3.ser#108,FA_20240206_2H_yeast_1.3.ser#109,FA_20240206_2H_yeast_1.3.ser#110,FA_20240206_2H_yeast_1.3.ser#111,FA_20240206_2H_yeast_1.3.ser#112,FA_20240206_2H_yeast_1.3.ser#113,FA_20240206_2H_yeast_1.3.ser#114,FA_20240206_2H_yeast_1.3.ser#115,FA_20240206_2H_yeast_1.3.ser#116,FA_20240206_2H_yeast_1.3.ser#117,FA_20240206_2H_yeast_1.3.ser#118,FA_20240206_2H_yeast_1.3.ser#119,FA_20240206_2H_yeast_1.3.ser#120,FA_20240206_2H_yeast_1.3.ser#121,FA_20240206_2H_yeast_1.3.ser#122,FA_20240206_2H_yeast_1.3.ser#123,FA_20240206_2H_yeast_1.3.ser#124,FA_20240206_2H_yeast_1.3.ser#125,FA_20240206_2H_yeast_1.3.ser#126,FA_20240206_2H_yeast_1.3.ser#127,FA_20240206_2H_yeast_1.3.ser#128,FA_20240206_2H_yeast_1.3.ser#129,FA_20240206_2H_yeast_1.3.ser#130
-0.879375,-26.432,48.5054,-119.938,286.015,-154.358,-63.6806,-149.216,41.5631,-301.795,88.3783,278.87,106.526,101.892,66.7585,35.1261,-64.3978,243.784,-239.041,-90.2761,-62.0141,-237.97,469.688,62.5991,48.739,74.1348,384.233,72.5978,-192.681,-296.81,23.9421,-19.5765,-42.8209,-409.305,264.183,55.733,-7.789,-207.405,-40.3211,155.383,-111.954,-48.8718,127.76,-92.3967,177.419,-229.525,-174.279,-29.7944,-187.943,-300.152,-385.013,47.702,4.73627,-511.857,-103.697,67.9138,468.548,-220.475,43.5043,94.8636,-10.2796,-226.225,-219.052,246.875,-195.856,-135.219,-479.59,-144.754,28.308,-89.3083,-72.4913,-18.0098,-388.229,52.4181,64.9034,-57.7369,106.358,-100.976,-195.535,-87.0718,-81.4008,276.615,266.123,-83.8525,351.739,-354.61,-71.7249,-99.3023,-273.804,149.502,113.618,166.849,-254.983,-263.018,-123.207,-320.928,218.963,56.9641,217.243,-28.0627,117.328,118.086,-266.065,-403.668,155.35,178.998,-364.109,-116.593,-193.132,161.767,210.039,26.5909,167.365,330.489,-67.2716,-30.9592,302.049,-226.964,-29.0303,-26.6069,-128.211,-134.675,-91.4176,123.394,126.707,-164.578,-115.042,-280.023,97.522,-139.08,-85.9832
-0.875302,15.1197,0.776428,-62.7943,260.56,-168.909,-86.1097,-128.62,3.6886,-355.203,143.677,276.537,137.278,143.289,58.6227,-0.278015,-45.2957,255.515,-257.552,-77.2195,-56.2462,-302.299,460.511,52.5372,-2.91803,48.2588,402.289,82.8958,-172.462,-318.359,-38.005,-55.0928,3.49731,-370.033,210.637,17.74,-51.4092,-196.116,-67.518,152.189,-123.728,-112.881,54.0104,-92.8752,210.836,-262.504,-148.864,-45.4079,-141.502,-290.403,-386.74,50.2723,-24.5942,-455.35,-112.099,60.8649,468.576,-205.961,9.82385,86.8277,1.51953,-253.099,-216.6,295.304,-229.801,-110.151,-420.83,-111.234,-37.033,-123.883,-79.2724,-26.8693,-373.337,37.2101,80.9841,-66.5067,86.9766,-44.4099,-119.276,-69.8058,-48.4485,326.891,271.643,-78.9227,358.58,-354.133,-48.7897,-71.9201,-245.708,109.394,78.5576,80.8787,-239.443,-265.833,-89.2748,-298.501,146.659,32.517,178.206,-38.1903,161.685,89.2146,-259.868,-371.667,209.329,208.214,-347.889,-94.8125,-193.664,157.036,211.031,27.3659,218.918,309.252,-86.0398,-57.8458,267.489,-265.938,5.97064,-79.1536,-52.0636,-142.396,-104.624,95.6333,70.5674,-142.003,-93.5023,-297.322,54.7893,-147.493,-90.0955
-0.87123,56.6714,-46.9525,-5.65088,235.106,-183.46,-108.539,-108.025,-34.1859,-367.185,198.976,274.204,168.03,184.685,50.4868,-35.6821,-26.1936,267.245,-276.064,-64.163,-50.4783,-348.169,420.946,42.4753,-54.575,22.3828,385.828,93.1937,-152.244,-339.907,-67.5272,-90.6091,49.8156,-330.762,157.09,-20.2531,-95.0295,-184.828,-124.185,148.995,-135.502,-176.89,6.9043,-93.3538,244.253,-295.482,-123.449,-39.4352,-95.0617,-280.654,-388.467,20.6138,-53.9247,-398.844,-120.501,53.8161,440.135,-191.448,-23.8567,78.7918,13.3186,-243.985,-214.148,343.733,-263.747,-85.0826,-362.071,-77.7149,-102.374,-158.458,-86.0535,-35.7287,-358.446,22.0023,97.0649,-75.2764,67.5953,12.1563,-43.0176,-52.5399,-15.4963,377.167,245.701,-73.9929,365.42,-353.657,-25.8546,-44.5379,-217.613,69.287,43.4972,-5.09161,-223.904,-268.648,-55.3423,-276.074,74.355,8.06989,139.168,-48.3179,206.041,60.3436,-253.671,-339.667,263.308,237.431,-366.416,-73.0319,-194.196,152.306,212.024,28.1409,270.47,288.015,-104.808,-84.7324,232.929,-304.911,40.9716,-131.7,24.0837,-150.118,-117.83,67.8729,14.4279,-119.429,-39.5908,-314.621,12.0566,-155.907,-94.2078
-0.867157,74.2474,-97.5133,51.4925,209.651,-198.012,-130.968,-87.429,-92.8781,-354.138,210.413,271.872,216.399,203.559,81.8038,-69.057,-26.5483,278.976,-275.607,-17.4625,-63.3619,-358.66,370.364,32.4135,-106.232,-3.49316,325.501,103.492,-132.026,-328.603,-71.3798,-124.158,65.4943,-291.491,101.717,-86.4789,-92.1893,-187.74,-193.746,160.188,-175.315,-240.899,-9.67224,-119.625,277.67,-326.961,-96.6021,-6.02991,-46.1108,-270.904,-390.195,-23.145,-57.576,-342.337,-128.903,46.7673,380.26,-176.934,-14.7622,70.7559,25.1177,-219.126,-210.663,361.75,-252.794,-86.0781,-303.312,-44.1956,-164.79,-193.033,-122.134,-28.5408,-312.27,6.79437,113.146,-115.264,64.3494,50.2414,33.2413,-61.2897,-1.8811,405.838,181.742,-95.7256,372.261,-329.572,-2.91949,-32.2198,-209.768,29.1796,8.43671,-101.96,-179.453,-271.463,-39.3774,-217.039,23.3902,-16.3772,100.13,-56.5525,188.567,48.8088,-247.475,-325.456,299.912,236.427,-400.145,-51.2512,-194.728,130.4,232.284,28.9158,304.824,305.871,-123.576,-111.619,169.894,-341.774,75.9727,-184.247,100.231,-157.839,-131.036,7.88269,-9.6618,-113.398,3.19269,-331.92,-14.5649,-148.146,-82.2477
-0.863085,91.8234,-148.074,108.636,184.196,-212.563,-153.397,-66.8334,-151.57,-341.091,187.446,269.539,264.768,189.065,113.121,-102.432,-26.903,290.707,-275.15,29.2379,-76.2455,-332.234,301.549,22.3516,-157.889,-29.3691,265.174,113.789,-111.808,-317.3,-59.0199,-157.707,81.1731,-252.219,46.3448,-152.705,-89.349,-190.652,-263.307,171.382,-215.128,-304.908,0.395081,-145.896,311.087,-358.44,-69.7552,48.9615,2.84015,-261.155,-391.922,-66.9037,-61.2273,-285.831,-137.306,39.7184,320.385,-162.421,-5.66779,62.7201,36.9167,-194.267,-207.179,379.768,-241.841,-87.0735,-244.553,-10.6763,-227.207,-227.608,-158.214,-21.353,-266.094,-8.41351,129.226,-155.251,61.1035,88.3265,109.5,-70.0396,11.7341,398.749,86.3196,-117.458,379.101,-305.487,20.0156,-54.334,-201.924,-10.9278,-26.6237,-179.454,-135.002,-274.278,-61.7433,-158.005,4.03918,-40.8243,61.0922,-64.7871,171.092,37.274,-241.278,-311.246,336.516,235.424,-433.873,-29.4705,-195.26,108.493,218.29,29.6909,339.177,323.727,-142.344,-138.506,106.859,-378.636,110.974,-236.794,176.378,-165.56,-144.243,-52.1075,-33.7514,-107.366,29.7901,-349.219,-41.1863,-140.386,-70.2876
-0.859012,96.912,-154.741,155.777,177.142,-204.218,-155.62,-58.8868,-163.856,-292.227,133.948,279.93,294.681,138.701,171.562,-128.501,-60.4963,287.116,-239.523,66.1582,-77.472,-291.195,225.516,11.5383,-189.635,-55.9782,195.858,141.077,-86.746,-294.361,-38.5538,-166.991,86.6387,-211.091,28.1028,-204.814,-59.7939,-200.665,-323.658,179.877,-239.169,-373.414,33.7759,-172.167,328.517,-359.939,-14.2719,96.7576,9.11591,-227.949,-347.337,-114.691,-48.1871,-244.509,-166.956,35.735,251.614,-168.252,3.4267,37.0615,50.9152,-207.645,-206.103,357.236,-258.389,-107.182,-203.436,-9.23901,-256.281,-238.687,-207.722,-25.1977,-217.18,12.3014,134.587,-197.189,65.2528,95.9521,147.015,-99.6021,17.2922,342.49,15.8054,-148.079,385.084,-242.547,2.99695,-90.7951,-202.517,-5.56354,-29.8027,-219.812,-97.8754,-254.478,-111.659,-112.698,36.0604,-42.2285,26.5757,-51.82,130.431,50.6598,-239.71,-317.419,352.85,227.621,-453.124,-54.1307,-232.803,56.1695,157.196,26.0075,346.657,348.564,-147.423,-177.317,29.9415,-393.687,155.129,-241.499,194.289,-180.677,-145.384,-100.011,-20.4494,-123.737,43.2363,-332.359,-36.2564,-103.31,-40.9159
-0.854939,102.001,-161.408,202.918,170.088,-195.872,-157.844,-50.9403,-176.142,-243.364,59.8082,290.321,284.325,68.3154,230.003,-122.103,-94.0896,283.525,-203.896,103.078,-78.6984,-250.156,149.484,0.724976,-221.38,-82.5873,126.542,168.365,-61.684,-271.423,-18.0878,-144.796,92.1043,-169.963,9.8609,-256.924,-30.2388,-210.678,-384.009,188.373,-263.21,-441.92,67.1567,-198.437,345.946,-337.454,41.2114,144.554,15.3917,-194.742,-302.751,-162.478,-35.1468,-203.188,-196.607,31.7516,182.843,-174.082,12.5211,11.4028,64.9138,-221.024,-188.508,334.705,-274.936,-127.291,-162.319,-7.8017,-238.559,-249.766,-257.231,-29.0424,-168.266,33.0164,139.947,-239.128,69.4022,70.7224,184.529,-129.165,22.8503,286.23,-54.7088,-178.699,391.067,-179.606,-14.0217,-127.256,-203.11,-0.199341,-32.9817,-227.879,-91.5873,-234.679,-180.741,-67.3908,87.0498,-43.6327,-7.94067,-8.5647,89.7693,64.0457,-238.143,-323.592,369.184,219.818,-472.375,-78.7909,-270.346,3.84613,96.1013,22.3242,354.137,373.401,-152.502,-216.128,-46.9755,-374.964,199.285,-246.204,212.199,-195.794,-146.526,-147.916,-7.14746,-140.108,24.3104,-315.5,-31.3265,-66.2342,-11.5441
-0.850867,107.089,-168.074,250.059,163.033,-187.527,-117.9,-63.9301,-146.793,-194.5,-4.87085,289.685,247.544,-11.6629,288.444,-87.2949,-88.7694,241.226,-168.269,139.999,-36.4047,-229.113,100.421,25.9795,-252.019,-74.0078,97.4966,161.673,-69.8362,-215.632,-29.0333,-110.796,148.636,-128.835,-8.38104,-261.978,-0.683777,-206.49,-411.82,196.869,-287.251,-476.138,102.203,-198.916,322.118,-288.486,95.2629,182.906,21.6675,-161.536,-258.165,-194.151,-22.1066,-161.867,-226.258,52.2914,115.851,-179.913,21.6156,-14.2558,78.9123,-198.414,-165.749,312.173,-318.422,-145.662,-121.203,-33.6199,-200.363,-260.845,-277.441,-32.887,-119.352,53.7313,145.307,-249.849,103.805,9.21515,192.047,-158.727,28.4085,227.736,-95.7269,-209.319,383.334,-116.666,-67.362,-165.869,-203.704,41.5422,-36.1606,-214.149,-113.054,-214.879,-241.438,-22.0839,129.346,-45.0369,-42.4571,53.9993,49.1079,94.7676,-236.576,-329.765,350.768,212.016,-456.879,-103.451,-290.124,-46.3302,32.8658,18.6409,361.617,347.974,-157.581,-254.939,-106.807,-318.95,243.44,-217.138,230.11,-210.91,-179.84,-144.118,6.15454,-123.392,-9.78992,-298.64,0.455566,-45.3324,31.8909
-0.846794,112.178,-174.741,297.2,155.979,-179.181,-77.9561,-76.9199,-117.443,-145.636,-69.5499,268.691,190.628,-91.6412,346.885,-20.0189,-83.4492,198.927,-132.642,176.919,5.88898,-244.988,69.5928,51.234,-282.659,-65.4283,68.451,154.981,-77.9883,-159.841,-39.9788,-76.796,205.167,-87.7065,-26.623,-267.033,28.8713,-202.302,-410.16,205.365,-311.292,-483.375,137.249,-199.395,298.291,-239.519,149.314,199.672,27.9432,-128.33,-213.58,-225.824,-9.06628,-120.545,-255.908,72.8312,48.8594,-185.744,30.71,-39.9144,92.9108,-175.804,-109.951,289.641,-361.908,-164.034,-80.0857,-59.4381,-162.167,-271.924,-297.651,-36.7316,-70.4379,74.4462,150.667,-260.57,138.208,-52.2922,199.566,-188.29,33.9666,169.242,-136.745,-239.94,375.6,-53.7253,-120.702,-204.482,-204.297,83.2838,-39.3396,-200.419,-153.023,-195.079,-302.134,23.223,171.641,-46.441,-76.9735,116.563,8.44647,125.489,-235.008,-335.938,332.353,204.213,-441.384,-128.111,-274.371,-96.5065,-30.3697,14.9576,369.096,322.549,-162.659,-293.75,-166.639,-262.936,287.596,-188.073,248.02,-226.027,-213.154,-140.32,19.4565,-106.677,-43.8903,-281.781,32.2377,-24.4306,75.3259
-0.842722,136.31,-163.944,346.16,140.846,-190.43,-11.4377,-99.7237,-81.1546,-113.386,-118.103,219.281,130.986,-155.353,360.53,65.5205,-65.3605,172.756,-112.822,203.863,31.8627,-270.861,41.0435,88.3232,-309.887,-69.3114,80.3951,91.3907,-101.537,-120.134,-75.5807,-48.1248,251.804,-62.5925,-19.9083,-234.738,103.145,-180.362,-380.412,186.284,-327.958,-457.869,136.631,-184.29,272.916,-181.307,164.229,204.97,86.9354,-107.683,-159.376,-255.483,-8.78546,-106.09,-245.514,90.1779,3.5155,-177.334,78.7603,-43.8143,117.128,-129.108,-34.7074,270.119,-365.968,-185.88,-53.3033,-87.2437,-132.015,-255.199,-275.209,-55.537,-50.8541,118.714,177.99,-254.869,182.023,-133.136,189.118,-181.918,45.1647,123.04,-164.818,-237.37,347.292,-22.5087,-154.293,-211.353,-217.547,136.014,-41.6796,-176.193,-205.135,-147.388,-292.758,46.0314,189.436,-10.6885,-72.305,175.152,13.1925,187.452,-187.531,-310.609,316.381,210.575,-395.847,-107.436,-229.379,-133.756,-65.5947,-16.0328,332.503,290.229,-162.999,-286.309,-195.326,-200.766,313.09,-185.214,277.117,-272.575,-240.436,-137.193,20.0721,-76.6926,-66.1882,-277.145,84.3267,-24.1674,109.385
-0.838649,160.442,-153.148,395.12,125.714,-201.679,55.0808,-122.527,-44.8658,-81.1364,-166.656,135.941,71.3442,-199.044,374.176,151.06,-47.2718,146.585,-93.002,230.808,57.8363,-296.735,42.8834,125.412,-319.416,-73.1945,92.3392,27.8003,-125.085,-80.4275,-111.183,-50.9325,298.442,-37.4785,-13.1936,-202.443,177.418,-158.423,-350.663,167.204,-344.624,-432.364,136.013,-169.186,247.541,-123.096,156.235,188.682,145.928,-87.0357,-105.173,-285.141,-8.50458,-91.6348,-235.119,107.525,-13.3599,-168.924,126.81,-47.7142,141.344,-82.4117,40.5364,250.597,-370.028,-179.925,-26.521,-115.049,-101.862,-238.475,-252.768,-74.3424,-31.2701,162.982,205.312,-249.168,193.568,-213.98,178.67,-175.546,56.3628,76.8384,-192.89,-234.801,318.984,8.70782,-187.883,-218.224,-230.797,188.745,-44.0196,-151.968,-257.248,-99.6976,-283.381,68.8397,207.231,25.064,-67.6365,233.74,17.9386,249.415,-140.054,-285.279,300.409,216.938,-350.31,-86.7614,-148.858,-136.652,-100.82,-47.0232,295.911,257.909,-163.339,-278.867,-224.013,-138.595,338.585,-182.356,306.213,-319.123,-267.717,-166.297,20.6876,-46.7083,-88.4863,-272.508,136.416,-23.9041,111.3
-0.834577,160.598,-142.351,393.159,110.581,-212.928,121.599,-103.458,-50.2126,-48.8865,-167.046,31.8188,57.4233,-212.287,348.368,247.557,-68.0966,120.414,-104.795,235.062,52.7241,-324.915,72.4537,126.434,-298.341,-77.0776,133.048,-35.7901,-134.102,-73.5726,-130.572,-67.5122,273.587,-12.3645,9.95599,-170.148,249.949,-108.082,-304.337,124.145,-361.291,-405.173,135.395,-128.289,222.165,-91.367,124.377,159.352,202.409,-66.3887,-86.8256,-314.8,-8.22369,-105.214,-198.573,100.348,-14.8148,-160.513,193.193,-51.6142,165.561,-35.7157,125.073,231.075,-374.088,-161.807,-43.8447,-129.227,-71.7098,-196.688,-230.326,-93.1478,-11.6863,238.09,232.635,-243.467,169.481,-280.45,168.223,-132.752,67.5609,30.6367,-220.963,-205.57,263.243,-15.1619,-170.623,-225.095,-244.047,241.475,-46.3596,-111.597,-292.013,-52.0066,-274.004,91.6481,187.09,60.8166,-32.8257,255.983,41.2341,294.042,-92.5768,-259.95,267.063,205.169,-339.52,-30.7029,-88.3215,-101.617,-98.2216,-78.0135,259.318,275.853,-163.679,-271.426,-235.614,-78.5356,364.079,-213.269,335.309,-351.552,-241.378,-209.5,21.3032,-16.7238,-127.982,-300.022,172.393,8.70691,79.7311
-0.830504,160.754,-131.555,391.198,95.4489,-224.177,188.118,-84.3894,-55.5593,-16.6365,-167.435,-72.303,43.5025,-178.814,322.561,324.574,-88.9214,94.2435,-116.589,201.761,47.612,-353.096,132.413,127.455,-247.767,-80.9608,173.757,-99.3805,-109.905,-66.7177,-149.962,-84.0919,248.732,12.7495,3.888,-137.853,322.48,-57.7412,-287.482,81.0856,-377.957,-377.981,134.777,-87.3927,196.79,-83.6221,92.5186,108.436,258.891,-45.7416,-68.4778,-344.459,-7.94287,-118.793,-162.027,93.1714,12.1988,-152.103,259.575,-55.5141,189.778,10.9803,193.089,211.553,-378.148,-143.689,-61.1683,-143.405,-41.5573,-154.901,-207.884,-111.953,7.89764,313.198,259.957,-237.766,145.393,-314.065,157.775,-89.9579,78.759,-15.5651,-249.035,-176.338,207.502,-39.0316,-153.363,-231.965,-257.297,294.206,-48.6995,-103.518,-326.779,-4.31567,-264.627,114.456,166.949,96.5691,1.98511,278.226,64.5295,338.669,-45.0996,-234.621,233.717,193.4,-328.729,25.3556,-27.7855,-66.5819,-61.3686,-109.004,222.725,293.796,-164.019,-263.984,-247.216,-18.4758,389.573,-244.181,364.405,-351.71,-215.039,-252.704,21.9187,13.2606,-135.106,-327.535,208.371,41.3179,48.162
-0.826432,171.399,-126.422,351.502,92.4335,-230.142,217.74,-54.4161,-45.7264,-37.896,-123.102,-148.009,54.7493,-107.387,297.575,367.905,-105.693,104.362,-154.463,155.549,25.7912,-342.437,220.483,87.1491,-197.193,-75.3136,214.106,-168.634,-62.1814,-81.7642,-129.158,-68.8648,216.856,34.1501,-42.3541,-120.263,377.008,-28.9974,-302.553,58.7083,-374.762,-356.973,151.367,-61.0043,179.151,-80.874,89.7742,39.9813,301.985,-22.7489,-82.2503,-359.01,1.96777,-130.328,-122.757,81.3968,72.7222,-126.255,291.585,-80.9929,163.774,62.1749,228.409,172.39,-333.382,-133.68,-108.264,-172.346,-19.0092,-80.7421,-183.612,-110.699,10.2746,366.616,238.441,-214.505,133.071,-321.669,139.203,-47.4891,65.7858,-39.0443,-231.88,-154.328,170.049,-78.6402,-156.988,-228.793,-245.234,292.37,-25.8699,-137.418,-312.974,47.5213,-247.265,173.11,134.952,103.134,31.1442,267.531,69.662,331.288,10.4794,-223.375,169.603,192.207,-346.17,65.1967,-5.00067,-44.4291,-5.96088,-140.737,173.233,300.22,-157.339,-226.189,-242.088,16.254,357.323,-278.963,348.048,-297.409,-159.879,-281.136,5.17383,7.40155,-104.799,-350.359,222.196,61.7985,21.9503
-0.822359,182.045,-121.289,311.806,89.4183,-236.107,247.361,-24.4427,-35.8936,-59.1555,-78.7687,-189.785,65.996,-15.9381,272.59,378.767,-122.464,114.48,-192.337,109.338,3.9704,-331.777,308.553,46.8429,-176.118,-69.6665,254.455,-237.888,-14.4578,-96.8107,-108.354,-53.6377,184.98,55.5507,-88.5962,-102.672,403.659,-0.253601,-347.094,36.331,-371.568,-335.964,167.956,-34.6158,161.512,-78.1257,109.939,-28.4734,304.914,0.243774,-96.0228,-373.561,11.8784,-141.863,-83.4868,69.6221,133.246,-100.406,323.594,-106.472,137.77,113.37,230.689,133.227,-288.616,-123.671,-155.359,-201.287,3.53894,-6.58307,-159.339,-109.446,12.6516,392.922,216.926,-191.245,120.749,-329.273,120.632,-5.02039,52.8126,-62.5235,-214.725,-132.317,132.597,-118.249,-160.613,-225.621,-233.17,290.535,-3.04034,-203.61,-299.169,99.3582,-229.902,231.763,102.956,109.699,60.3033,256.835,74.7945,323.906,66.0583,-212.129,105.489,191.015,-363.611,105.038,-17.7463,-22.2764,49.4468,-172.471,123.741,306.645,-150.659,-188.394,-236.96,17.2104,325.073,-313.745,331.691,-243.108,-104.718,-309.568,-11.571,1.54254,-58.306,-373.184,236.021,82.2792,27.8833
-0.818287,192.69,-116.156,293.933,86.403,-242.072,206.703,-15.4057,-46.8785,-80.4149,-34.4354,-182.787,77.2429,47.1478,247.604,352.698,-119.779,160.886,-211.244,29.4824,0.801147,-321.118,388.645,6.53668,-185.648,-64.0193,273.95,-307.142,35.3417,-95.4312,-57.1517,-6.93164,153.104,27.4388,-134.838,-132.137,396.626,28.4902,-393.478,47.5244,-368.373,-314.956,184.546,-8.22742,143.873,-76.8766,140.127,-87.4841,290.27,23.2365,-109.795,-388.112,-3.89032,-139.381,-87.8029,57.8475,195.548,-74.5582,325.05,-131.951,111.766,162.315,217.482,94.0643,-243.85,-113.662,-202.454,-243.856,26.087,42.5137,-135.066,-108.192,15.0285,395.507,195.411,-136.766,124.562,-332.77,102.06,11.4326,39.8395,-44.2826,-197.57,-110.307,108.861,-134.249,-186.031,-222.449,-221.107,252.322,39.9249,-292.406,-254.525,159.11,-212.54,289.273,70.9589,116.264,47.2632,209.794,18.0956,281.853,121.637,-218.673,76.1246,159.603,-378.881,109.495,-43.8159,-34.4766,106.995,-168.538,74.2484,285.146,-143.979,-150.6,-203.357,-19.1245,292.823,-314.756,281.245,-168.638,-49.5576,-338,-28.3159,-37.4027,-19.9062,-360.511,212.252,70.412,69.3093
-0.814214,203.336,-111.024,276.059,83.3877,-248.037,166.046,-6.36871,-57.8634,-101.674,9.89795,-175.789,88.4896,110.234,222.618,307.147,-117.093,207.293,-230.15,-50.3729,-2.36816,-310.459,450.504,-33.7695,-212.876,-58.3723,258.927,-376.395,85.1411,-94.0516,-5.94952,39.7745,121.228,-0.672974,-181.08,-161.601,361.717,57.234,-410.391,58.7177,-365.179,-293.947,201.135,18.161,126.233,-75.6274,170.315,-124.909,275.627,46.2292,-123.568,-402.664,-19.659,-136.898,-92.119,46.0728,229.383,-48.7098,326.506,-157.429,85.7626,211.26,204.274,54.9014,-199.083,-103.653,-249.549,-286.425,48.6352,91.6104,-110.794,-106.938,17.4055,370.979,173.895,-82.2882,128.376,-336.268,83.4883,27.8856,26.8663,-26.0417,-180.416,-88.2963,85.1246,-150.249,-211.449,-219.277,-209.043,214.109,82.8902,-381.202,-209.882,200.771,-195.177,346.782,38.9624,122.828,34.2232,162.753,-38.6033,239.799,177.216,-225.216,46.7599,128.191,-394.15,113.953,-69.8854,-46.6769,164.544,-164.605,24.7562,263.647,-137.299,-112.805,-169.754,-55.4594,260.572,-315.768,230.798,-126.439,5.60291,-366.432,-45.0607,-76.348,18.4936,-315.688,188.484,58.5448,110.735
