,FA_20240729_2H_yeast_1.8.ser#1,FA_20240729_2H_yeast_1.8.ser#2,FA_20240729_2H_yeast_1.8.ser#3,FA_20240729_2H_yeast_1.8.ser#4,FA_20240729_2H_yeast_1.8.ser#5,FA_20240729_2H_yeast_1.8.ser#6,FA_20240729_2H_yeast_1.8.ser#7,FA_20240729_2H_yeast_1.8.ser#8,FA_20240729_2H_yeast_1.8.ser#9,FA_20240729_2H_yeast_1.8.ser#10,FA_20240729_2H_yeast_1.8.ser#11,FA_20240729_2H_yeast_1.8.ser#12,FA_20240729_2H_yeast_1.8.ser#13,FA_20240729_2H_yeast_1.8.ser#14,FA_20240729_2H_yeast_1.8.ser#15,FA_20240729_2H_yeast_1.8.ser#16,FA_20240729_2H_yeast_1.8.ser#17,FA_20240729_2H_yeast_1.8.ser#18,FA_20240729_2H_yeast_1.8.ser#19,FA_20240729_2H_yeast_1.8.ser#20,FA_20240729_2H_yeast_1.8.ser#21,FA_20240729_2H_yeast_1.8.ser#22,FA_20240729_2H_yeast_1.8.ser#23,FA_20240729_2H_yeast_1.8.ser#24,FA_20240729_2H_yeast_1.8.ser#25,FA_20240729_2H_yeast_1.8.ser#26,FA_20240729_2H_yeast_1.8.ser#27,FA_20240729_2H_yeast_1.8.ser#28,FA_20240729_2H_yeast_1.8.ser#29,FA_20240729_2H_yeast_1.8.ser#30,FA_20240729_2H_yeast_1.8.ser#31,FA_20240729_2H_yeast_1.8.ser#32,FA_20240729_2H_yeast_1.8.ser#33,FA_20240729_2H_yeast_1.8.ser#34,FA_20240729_2H_yeast_1.8.ser#35,FA_20240729_2H_yeast_1.8.ser#36,FA_20240729_2H_yeast_1.8.ser#37,FA_20240729_2H_yeast_1.8.ser#38,FA_20240729_2H_yeast_1.8.ser#39,FA_20240729_2H_yeast_1.8.ser#40,FA_20240729_2H_yeast_1.8.ser#41,FA_20240729_2H_yeast_1.8.ser#42,FA_20240729_2H_yeast_1.8.ser#43,FA_20240729_2H_yeast_1.8.ser#44,FA_20240729_2H_yeast_1.8.ser#45,FA_20240729_2H_yeast_1.8.ser#46,FA_20240729_2H_yeast_1.8.ser#47,FA_20240729_2H_yeast_1.8.ser#48,FA_20240729_2H_yeast_1.8.ser#49,FA_20240729_2H_yeast_1.8.ser#50,FA_20240729_2H_yeast_1.8.ser#51,FA_20240729_2H_yeast_1.8.ser#52,FA_20240729_2H_yeast_1.8.ser#53,FA_20240729_2H_yeast_1.8.ser#54,FA_20240729_2H_yeast_1.8.ser#55,FA_20240729_2H_yeast_1.8.ser#56,FA_20240729_2H_yeast_1.8.ser#57,FA_20240729_2H_yeast_1.8.ser#58,FA_20240729_2H_yeast_1.8.ser#59,FA_20240729_2H_yeast_1.8.ser#60,FA_20240729_2H_yeast_1.8.ser#61,FA_20240729_2H_yeast_1.8.ser#62,FA_20240729_2H_yeast_1.8.ser#63,FA_20240729_2H_yeast_1.8.ser#64,FA_20240729_2H_yeast_1.8.ser#65,FA_20240729_2H_yeast_1.8.ser#66,FA_20240729_2H_yeast_1.8.ser#67,FA_20240729_2H_yeast_1.8.ser#68,FA_20240729_2H_yeast_1.8.ser#69,FA_20240729_2H_yeast_1.8.ser#70,FA_20240729_2H_yeast_1.8.ser#71,FA_20240729_2H_yeast_1.8.ser#72,FA_20240729_2H_yeast_1.8.ser#73,FA_20240729_2H_yeast_1.8.ser#74,FA_20240729_2H_yeast_1.8.ser#75,FA_20240729_2H_yeast_1.8.ser#76,FA_20240729_2H_yeast_1.8.ser#77,FA_20240729_2H_yeast_1.8.ser#78,FA_20240729_2H_yeast_1.8.ser#79,FA_20240729_2H_yeast_1.8.ser#80,FA_20240729_2H_yeast_1.8.ser#81,FA_20240729_2H_yeast_1.8.ser#82,FA_20240729_2H_yeast_1.8.ser#83,FA_20240729_2H_yeast_1.8.ser#84,FA_20240729_2H_yeast_1.8.ser#85,FA_20240729_2H_yeast_1.8.ser#86,FA_20240729_2H_yeast_1.8.ser#87,FA_20240729_2H_yeast_1.8.ser#88,FA_20240729_2H_yeast_1.8.ser#89,FA_20240729_2H_yeast_1.8.ser#90,FA_20240729_2H_yeast_1.8.ser#91,FA_20240729_2H_yeast_1.8.ser#92,FA_20240729_2H_yeast_1.8.ser#93,FA_20240729_2H_yeast_1.8.ser#94,FA_20240729_2H_yeast_1.8.ser#95,FA_20240729_2H_yeast_1.8.ser#96,FA_20240729_2H_yeast_1.8.ser#97,FA_20240729_2H_yeast_1.8.ser#98,FA_20240729_2H_yeast_1.8.ser#99,FA_20240729_2H_yeast_1.8.ser#100,FA_20240729_2H_yeast_1.8.ser#101,FA_20240729_2H_yeast_1.8.ser#102,FA_20240729_2H_yeast_1.8.ser#103,FA_20240729_2H_yeast_1.8.ser#104,FA_20240729_2H_yeast_1.8.ser#105,FA_20240729_2H_yeast_1.8.ser#106,FA_20240729_2H_yeast_1.8.ser#107,FA_20240729_2H_yeast_1.8.ser#108,FA_20240729_2H_yeast_1.8.ser#109,FA_20240729_2H_yeast_1.8.ser#110,FA_20240729_2H_yeast_1.8.ser#111,FA_20240729_2H_yeast_1.8.ser#112,FA_20240729_2H_yeast_1.8.ser#113,FA_20240729_2H_yeast_1.8.ser#114,FA_20240729_2H_yeast_1.8.ser#115,FA_20240729_2H_yeast_1.8.ser#116,FA_20240729_2H_yeast_1.8.ser#117,FA_20240729_2H_yeast_1.8.ser#118,FA_20240729_2H_yeast_1.8.ser#119,FA_20240729_2H_yeast_1.8.ser#120,FA_20240729_2H_yeast_1.8.ser#121,FA_20240729_2H_yeast_1.8.ser#122,FA_20240729_2H_yeast_1.8.ser#123,FA_20240729_2H_yeast_1.8.ser#124,FA_20240729_2H_yeast_1.8.ser#125,FA_20240729_2H_yeast_1.8.ser#126,FA_20240729_2H_yeast_1.8.ser#127,FA_20240729_2H_yeast_1.8.ser#128,FA_20240729_2H_yeast_1.8.ser#129,FA_20240729_2H_yeast_1.8.ser#130
1.01852,51.5237,-29.5424,339.557,-669.981,34.0413,144.888,452.537,366.967,42.7987,-142.586,66.3733,119.270,-235.425,160.713,209.735,256.380,328.553,-35.7887,-95.6086,576.012,-289.967,129.263,-361.427,-309.415,150.319,270.283,22.9061,-305.740,341.350,252.522,119.151,102.441,56.7740,-273.041,-22.9898,-238.310,-266.944,-556.774,-35.7683,152.689,677.663,251.928,74.6392,-242.336,-412.224,-285.267,-128.441,61.0143,-78.3494,-337.172,-4.21997,311.489,398.407,789.224,-106.358,-172.506,280.971,-102.212,349.753,510.342,228.475,-149.599,-90.5461,211.991,240.821,-477.327,-203.001,303.182,-408.227,141.694,-520.652,-17.1294,-222.085,-404.385,387.291,211.506,-199.672,-121.887,71.1423,545.933,382.751,241.746,192.573,148.238,49.2299,-154.543,653.732,242.083,-4.37756,28.5271,50.6871,41.7773,205.831,-193.887,-66.8533,-41.3345,-328.667,-511.355,173.296,-384.415,444.145,211.068,144.692,252.459,149.806,-199.720,-296.849,76.6118,447.956,282.120,-23.4958,-369.172,227.813,-330.686,110.989,474.107,-427.372,-72.4471,326.912,23.1936,196.202,-177.126,-604.785,-171.912,-90.4846,-431.036,115.703,95.6221,-181.171,-109.152
1.02666,176.628,33.5419,171.374,-667.148,156.053,135.871,612.810,423.115,-39.3872,-157.847,84.0903,118.574,-353.112,101.714,262.525,292.357,314.511,-182.863,-80.9242,539.917,-191.241,114.970,-374.245,-343.594,130.478,196.552,-82.0703,-474.194,320.270,225.066,174.760,159.883,45.3507,-151.447,-65.4403,-398.964,-146.318,-626.394,-22.1251,211.347,697.827,147.117,4.17664,-179.151,-334.919,-224.020,-193.556,-35.3707,-75.9396,-439.478,-9.07312,386.247,262.109,892.855,-198.353,-40.0442,387.983,-187.925,236.695,559.108,136.459,-119.064,-124.794,241.330,133.005,-468.541,-171.429,201.793,-437.296,229.268,-542.940,-72.0554,-190.457,-441.053,516.217,219.214,-131.840,-186.065,136.999,483.875,341.365,210.139,345.020,211.052,-11.9407,-90.3860,645.953,291.478,-64.1869,28.5500,-7.57312,38.3114,321.155,-149.239,-98.1193,-52.7835,-401.307,-592.858,120.989,-438.583,498.109,83.1865,128.618,333.186,253.323,-241.650,-313.763,80.1615,469.620,258.835,-0.365479,-421.860,268.522,-236.892,22.8734,534.060,-514.525,-219.028,264.918,76.6931,227.174,-156.493,-623.169,-201.202,-139.268,-485.100,-13.7957,23.7042,-222.292,-197.495
1.03481,187.537,24.6446,90.0731,-604.656,147.841,63.2327,625.180,479.264,-78.4415,-173.109,101.807,174.571,-470.799,66.2166,268.928,252.218,232.357,-286.519,-24.7017,503.821,-92.5151,59.5671,-240.033,-338.001,110.637,57.2833,-98.0391,-547.255,299.190,217.924,230.369,217.324,100.542,-126.054,-148.643,-419.316,-119.859,-577.240,6.89685,124.214,547.024,42.3065,-24.6107,-75.4590,-257.615,-97.4140,-219.077,-171.758,-73.5297,-580.729,25.5149,441.829,87.7198,932.000,-173.407,-24.5142,381.584,-96.9009,135.198,567.076,44.4441,-150.617,-68.8552,270.668,111.442,-459.756,-100.207,162.529,-447.202,159.261,-429.377,11.9244,-96.6428,-477.720,424.763,164.478,-53.7533,-250.242,202.856,421.816,299.978,142.781,488.495,273.865,10.1532,-45.0067,656.224,261.057,-123.996,28.5731,30.1405,34.8456,271.177,-104.590,-129.385,-7.86792,-473.947,-548.047,127.516,-458.026,472.808,13.5781,168.001,356.935,297.819,-224.472,-330.678,83.7113,386.973,235.550,-9.65137,-390.021,309.232,-108.011,40.4414,470.466,-601.677,-311.273,146.844,95.6941,331.078,-135.860,-544.405,-284.591,-44.3781,-467.927,-143.294,67.2485,-189.130,-190.592
1.04295,198.445,15.7473,8.77197,-542.164,139.629,-9.40546,637.551,535.412,-117.496,-188.370,119.525,230.568,-588.486,30.7192,275.330,212.078,150.203,-390.175,31.5208,467.726,6.21094,4.16394,-105.821,-332.408,90.7961,-81.9857,-114.008,-620.317,278.111,210.782,285.978,274.766,155.733,-100.662,-231.846,-439.669,-93.4008,-528.086,35.9188,37.0803,396.221,-62.5040,-53.3980,28.2328,-180.311,29.1915,-244.597,-308.145,-71.1199,-721.980,60.1029,497.411,-86.6699,971.145,-148.460,-8.98425,375.185,-5.87683,33.7013,575.044,-47.5711,-182.170,-12.9166,300.007,89.8792,-450.970,-28.9847,123.265,-457.107,89.2543,-315.815,95.9043,-2.82825,-514.388,333.309,109.742,24.3339,-314.420,268.712,359.757,258.591,75.4227,512.349,336.678,32.2471,0.372681,666.494,230.637,-183.805,28.5961,67.8541,31.3796,221.199,-59.9420,-160.651,37.0477,-546.588,-503.236,134.043,-477.468,447.507,-56.0303,207.384,380.683,342.315,-207.293,-347.592,87.2610,304.326,212.265,-18.9374,-358.181,349.941,20.8704,58.0095,406.872,-688.830,-403.518,28.7706,114.695,434.982,-115.227,-465.641,-367.981,50.5116,-450.753,-272.793,110.793,-155.968,-183.688
1.05110,115.880,-41.4322,-87.3112,-476.391,64.1262,3.37549,582.258,543.628,-83.7993,-232.156,79.8594,291.121,-522.358,2.38257,250.898,144.762,142.930,-460.335,85.3635,403.203,-14.4167,-20.1384,35.6477,-287.249,118.719,-178.885,-110.506,-601.632,218.557,199.673,206.272,360.346,290.004,-77.4973,-272.148,-357.586,-139.618,-492.284,10.6881,-133.252,364.037,-58.3202,-72.3364,-18.2334,-123.652,78.9249,-277.515,-299.629,-105.731,-728.141,145.944,528.124,-249.255,945.073,-47.6844,17.7111,306.985,94.6002,2.08850,438.841,-46.5870,-279.716,-34.7585,322.267,70.8669,-355.491,36.1713,149.304,-426.891,-11.9323,-292.562,214.117,170.396,-487.248,126.006,57.2014,25.7532,-327.032,292.682,276.896,188.396,10.2527,423.171,295.469,118.578,-21.1923,593.663,201.374,-222.261,31.1489,39.2947,81.8635,166.271,7.55164,-295.117,77.7802,-518.150,-434.763,123.195,-420.361,362.581,-105.972,212.843,336.280,339.111,-202.352,-316.611,32.1100,274.513,232.260,-138.367,-185.140,283.684,170.539,141.217,277.994,-616.056,-424.573,-100.300,89.0011,530.014,-108.999,-481.326,-468.615,124.377,-369.021,-219.381,110.547,-86.9086,-142.927
1.05924,33.3156,-98.6117,-183.394,-410.618,-11.3768,16.1564,526.964,551.845,-50.1027,-275.943,40.1942,351.674,-456.230,-25.9541,226.466,77.4460,135.658,-530.494,139.206,338.680,-35.0444,-44.4409,177.117,-242.091,146.641,-275.785,-107.004,-582.948,159.004,188.563,126.565,445.927,424.274,-54.3326,-312.449,-275.503,-185.834,-456.481,-96.5623,-303.584,331.852,-54.1364,-91.2747,-64.6996,-66.9922,128.658,-310.434,-291.113,-140.343,-734.302,231.785,558.836,-411.840,919.002,53.0913,44.4064,238.786,195.077,-29.5244,302.638,-45.6029,-377.261,-56.6005,344.527,51.8547,-260.011,101.327,175.342,-396.674,-113.119,-269.309,332.330,343.620,-460.109,-81.2971,4.66064,-90.0383,-339.643,316.651,194.034,118.201,-54.9174,262.220,254.260,204.909,-42.7573,520.832,172.111,-260.716,33.7018,-103.860,132.348,111.343,75.0453,-429.583,118.512,-489.711,-366.291,112.348,-363.254,277.655,-155.913,218.302,291.877,335.906,-197.411,-285.631,-23.0411,244.701,252.255,-257.797,-12.0985,217.427,320.207,224.425,149.117,-543.283,-445.629,-229.370,63.3070,625.045,-102.770,-497.012,-569.250,198.242,-287.290,-165.968,110.301,-17.8492,-102.166
1.06739,-18.1050,-83.8097,-279.477,-297.119,17.7634,28.9373,515.172,510.621,-16.4061,-235.890,0.529053,290.742,-344.245,-30.7892,155.646,55.8003,196.498,-499.344,123.819,204.048,-34.0889,-27.6326,251.754,-236.705,174.563,-280.930,-141.649,-496.126,99.4510,109.739,46.8591,492.640,558.544,37.5475,-257.661,-231.683,-232.051,-460.270,-226.026,-407.647,391.726,-8.75781,-151.888,-232.684,-79.2393,113.034,-274.061,-135.923,-174.954,-649.592,251.890,551.196,-434.755,892.931,114.887,110.079,189.488,173.197,4.92712,207.232,-44.6188,-474.806,-39.7913,329.297,32.8427,-164.532,73.9637,201.381,-328.131,-153.698,-332.507,387.404,429.782,-373.332,-249.710,14.5640,-284.947,-264.996,256.564,146.954,136.403,-84.3370,131.174,213.051,309.083,-101.878,429.952,108.642,-241.262,36.2546,-278.530,182.832,89.4751,142.539,-564.049,176.154,-461.273,-355.234,66.2000,-306.148,226.699,-264.127,123.939,213.287,297.289,-109.717,-310.740,-44.9457,214.888,236.662,-409.644,28.1134,151.171,434.789,201.948,20.2396,-470.509,-390.613,-235.066,72.1112,605.469,-129.761,-609.845,-529.224,238.953,-205.558,-15.2736,78.5651,-23.0721,-61.4052
1.07553,-69.5256,-69.0077,-375.561,-183.619,158.523,41.7181,503.379,361.525,17.2904,-195.837,-39.1361,229.809,-232.260,-35.6241,84.8263,34.1545,257.337,-468.193,108.431,69.4152,-33.1334,-10.8243,326.392,-231.319,202.486,-286.076,-176.293,-409.304,39.8978,30.9146,-32.8472,539.352,692.815,129.428,-202.874,-187.864,-278.268,-464.059,-355.490,-511.710,451.600,36.6208,-212.502,-400.669,-91.4863,97.4089,-158.498,19.2675,-209.565,-564.882,271.996,543.555,-457.670,866.859,176.682,175.751,140.191,151.318,39.3788,111.826,-43.6346,-572.352,-22.9820,314.066,13.8304,-69.0525,46.6003,227.420,-259.588,-194.276,-395.704,442.479,515.945,-286.555,-418.122,24.4672,-479.856,-190.350,196.476,99.8741,154.606,-113.757,119.750,171.842,413.256,-160.998,339.072,45.1725,-221.808,38.8075,-453.199,233.315,67.6071,210.032,-698.515,233.796,-432.835,-344.177,20.0522,-249.041,175.743,-372.341,29.5759,134.697,258.672,-22.0234,-335.849,-66.8503,185.076,221.069,-561.490,68.3254,84.9141,549.370,179.472,-108.638,-397.735,-335.597,-240.761,80.9155,585.893,-156.753,-722.678,-489.199,279.663,-123.826,135.421,46.8295,-28.2952,-20.6443
1.08368,-57.3599,-13.7161,-366.058,-59.9778,289.982,12.4641,520.949,205.687,8.39453,-136.920,-63.9930,135.468,-222.498,-83.0559,47.3477,4.89709,251.011,-316.737,138.043,26.8016,-37.5737,-9.86072,354.247,-249.134,185.732,-267.464,-168.421,-280.748,-7.19434,-40.7152,-108.376,561.772,681.781,140.567,-98.8435,-127.304,-269.834,-445.578,-450.780,-473.294,518.050,73.4171,-275.720,-445.870,-89.0907,158.580,3.25928,68.2021,-289.937,-499.645,278.133,500.757,-471.061,777.914,99.2031,111.500,90.4994,114.993,108.101,143.911,-50.5235,-647.390,-6.17273,270.717,-48.3080,-22.6741,-69.9781,233.268,-169.886,-269.326,-411.045,431.256,486.285,-213.942,-392.486,-3.09607,-541.071,-39.3523,140.892,71.4305,267.125,-111.895,177.854,156.066,397.365,-202.514,302.340,28.0247,-224.070,-43.2743,-506.110,350.929,22.3215,153.831,-634.977,267.483,-439.508,-311.589,-39.3331,-237.511,151.681,-470.357,-100.140,26.9053,176.527,21.7080,-340.625,-15.3356,161.782,219.193,-573.541,-43.9144,45.3640,513.369,101.219,-221.370,-458.914,-336.276,-242.251,83.9701,442.593,-162.981,-722.172,-405.893,238.176,-39.5496,234.097,-5.24335,4.94958,-10.9708
1.09182,-45.1941,41.5756,-356.555,63.6636,421.440,-16.7900,538.519,157.720,-0.501343,-78.0033,-88.8499,41.1273,-212.735,-130.488,9.86902,-24.3602,244.685,-165.281,167.655,-15.8119,-42.0139,-8.89722,382.102,-266.949,168.979,-248.853,-160.548,-152.191,-54.2865,-112.345,-183.905,584.192,670.748,151.707,5.18665,-66.7446,-261.400,-427.097,-546.069,-434.879,584.500,110.214,-338.938,-491.070,-86.6951,219.751,85.8265,117.137,-370.308,-434.407,284.270,457.960,-484.453,688.969,21.7242,47.2484,40.8080,78.6683,176.824,175.997,-57.4124,-722.429,10.6365,227.368,-110.447,23.7045,-186.557,239.116,-80.1838,-344.375,-426.386,420.035,456.625,-141.329,-366.850,-30.6592,-485.075,111.645,85.3081,42.9869,379.644,-110.033,307.732,140.290,381.474,-244.030,265.607,10.8769,-226.332,-125.356,-444.425,468.542,-22.9641,97.6300,-571.439,301.169,-446.181,-279.001,-98.7184,-225.981,127.618,-568.374,-229.857,-80.8862,94.3823,65.4393,-345.401,36.1792,138.489,217.316,-585.591,-156.154,5.81409,477.368,22.9651,-334.102,-520.092,-336.956,-243.740,87.0247,299.292,-169.210,-721.666,-322.588,196.688,44.7266,332.773,-57.3161,38.1942,-1.29736
1.09997,18.8789,96.8672,-221.556,187.305,466.858,-18.7781,616.990,159.195,50.9869,-19.0864,-29.0876,-12.7184,-279.401,-99.5806,-27.6096,-76.4528,185.382,-86.1892,266.498,-100.491,-118.398,12.6217,343.126,-165.445,83.4934,-230.241,-133.602,-64.5177,-34.9200,-116.260,-165.865,606.612,566.455,94.1305,41.2961,-6.18481,-185.703,-342.631,-615.727,-330.195,650.950,78.3519,-360.481,-516.017,12.1693,280.922,69.4058,46.0657,-301.536,-278.298,290.407,453.515,-434.358,561.333,-94.7352,-17.0029,-46.6873,83.1293,265.366,208.082,23.8760,-735.380,27.4458,221.510,-135.620,-69.3000,-210.616,244.965,9.51831,-310.331,-404.677,446.696,389.652,-128.353,-250.469,4.22168,-366.079,200.316,137.796,14.5433,378.509,-108.171,404.713,124.515,306.109,-197.917,313.103,27.9356,-228.595,-172.112,-351.226,551.132,-123.350,-36.4017,-451.928,233.400,-418.460,-280.863,-99.2700,-295.477,228.114,-608.118,-304.117,-108.908,12.2375,91.4381,-249.216,32.2831,80.4260,233.233,-446.365,-159.716,-33.7360,441.368,-83.1772,-255.898,-549.122,-337.635,-189.151,55.5808,208.086,-208.659,-624.012,-206.823,155.201,129.003,355.784,-109.389,145.721,-23.3727
1.10811,82.9519,152.159,-86.5569,310.946,512.276,-20.7662,695.461,160.670,102.475,39.8304,30.6746,-66.5642,-346.066,-68.6733,-65.0883,-128.545,126.080,-7.09741,365.340,-185.171,-194.782,34.1406,304.149,-63.9408,-1.99194,-211.629,-106.657,23.1560,-15.5536,-120.174,-147.825,629.032,462.161,36.5543,77.4055,54.3749,-110.006,-258.165,-685.385,-225.511,717.399,46.4904,-382.024,-540.965,111.034,342.093,-26.2050,-25.0056,-232.763,-122.189,296.544,449.070,-384.263,433.696,-211.195,-81.2545,-134.182,87.5902,353.908,240.167,105.164,-748.331,44.2550,215.653,-160.793,-162.305,-234.675,250.813,99.2205,-276.286,-382.968,473.357,322.680,-115.378,-134.088,39.1024,-247.082,288.986,190.285,-13.9003,377.375,-106.309,501.695,108.739,230.743,-151.805,360.600,44.9944,-230.857,-218.868,-326.785,633.721,-223.736,-170.433,-332.418,165.630,-390.738,-282.724,-99.8216,-364.973,328.610,-647.861,-378.376,-136.930,-69.9072,117.437,-153.031,28.3871,22.3627,249.150,-307.139,-163.277,-73.2860,405.367,-189.320,-177.694,-578.152,-338.314,-134.561,24.1370,116.880,-248.108,-526.358,-91.0579,113.714,213.279,378.796,-161.462,253.249,-45.4481
1.11626,133.399,217.733,65.9392,369.560,510.605,12.3221,712.624,114.529,58.8046,67.8315,83.1649,-130.534,-374.995,-11.3268,-75.0242,-143.174,146.241,-21.6268,459.423,-262.401,-258.576,112.187,268.514,31.3486,-90.4844,-234.388,-93.5192,22.2510,-40.6313,-8.55054,-46.0315,504.077,412.825,52.4180,88.4692,158.779,-33.4688,-271.852,-659.781,-130.352,641.446,20.7437,-370.032,-636.376,145.729,359.556,-186.880,-76.0759,-47.2600,-3.40247,349.928,429.444,-341.311,413.671,-213.149,-169.867,-301.223,21.9508,491.585,198.095,161.653,-730.238,88.4423,256.268,-136.678,-220.463,-174.889,154.157,150.596,-193.187,-311.087,461.346,202.849,-122.157,-148.963,122.768,-169.476,215.605,255.532,-47.5620,339.539,-84.3370,431.955,88.7247,126.570,-50.0433,403.584,-14.3773,-204.888,-214.107,-388.649,626.561,-298.982,-171.389,-347.067,17.5403,-285.629,-309.885,-38.9654,-378.763,417.783,-663.294,-396.833,-119.547,-72.9274,222.217,-123.803,-33.6904,-64.8567,213.725,-171.966,-36.2729,-18.6207,374.848,-208.126,-125.463,-463.853,-327.277,-35.4579,-36.0555,107.723,-286.172,-364.952,10.8442,154.769,252.237,444.706,-136.122,348.174,-23.8688
1.12440,183.847,283.308,218.435,428.174,508.933,45.4104,729.786,68.3889,15.1338,95.8325,135.655,-194.503,-403.925,46.0198,-84.9601,-157.803,166.403,-36.1563,553.506,-339.631,-322.370,190.233,232.880,126.638,-178.977,-257.147,-80.3816,21.3461,-65.7091,103.073,55.7618,379.123,363.488,68.2816,99.5328,263.183,43.0687,-285.538,-552.156,-35.1943,565.492,-5.00305,-358.039,-731.787,180.425,377.019,-268.364,-127.146,138.243,115.384,403.312,409.818,-298.358,393.645,-215.103,-258.479,-468.264,-43.6885,629.262,156.023,218.141,-712.145,132.629,296.883,-112.564,-278.622,-115.102,57.5011,201.972,-110.089,-239.206,449.335,83.0186,-128.936,-163.839,206.433,-91.8697,142.225,320.779,-81.2238,301.704,-62.3654,362.215,68.7102,22.3966,51.7178,446.568,-73.7489,-178.919,-209.347,-450.513,619.401,-374.229,-172.344,-361.716,-130.549,-180.520,-337.045,21.8907,-392.554,506.955,-678.727,-415.290,-102.164,-75.9476,326.997,-94.5747,-95.7678,-152.076,178.300,-36.7917,90.7310,36.0446,344.330,-109.506,-73.2321,-349.554,-316.240,63.6450,-96.2480,98.5660,-324.237,-203.545,112.746,195.825,291.194,510.617,-110.783,443.100,-2.28943
1.13255,203.150,318.034,245.435,331.677,451.452,78.4988,703.448,22.2484,-2.65796,174.137,35.8311,-347.562,-325.855,126.868,-118.090,-195.266,224.405,-50.6855,606.050,-346.751,-407.747,227.168,130.413,155.639,-226.230,-319.229,-105.390,20.4412,-90.7869,146.982,157.555,293.036,334.136,42.9159,151.349,303.813,25.4386,-299.225,-364.221,20.2024,489.539,-30.7498,-346.047,-732.684,91.0886,394.481,-298.705,-158.216,228.836,91.3734,390.961,409.369,-369.681,373.619,-197.567,-347.091,-547.096,-109.328,786.759,113.951,186.453,-656.800,176.817,337.498,-88.4502,-298.767,10.7697,22.9689,253.348,-8.80719,-229.075,374.185,-36.8124,-76.0776,-198.159,127.744,-72.8688,68.8440,386.026,-114.885,282.811,-40.3938,232.665,-86.9504,-81.7767,153.479,489.552,-133.121,-118.205,-204.586,-482.295,577.218,-372.335,-139.944,-376.365,-261.729,-13.7880,-283.823,165.114,-371.619,448.922,-659.197,-433.746,-84.7813,3.66113,325.380,-143.872,-157.845,-204.525,202.187,65.9658,133.207,90.7097,313.811,52.2300,-167.011,-288.836,-305.203,196.396,-75.9443,58.1522,-362.302,-9.75574,52.3489,159.518,299.622,500.863,-53.9539,484.967,-54.7909
1.14069,222.453,352.759,272.435,120.637,393.971,111.587,677.109,-23.8920,-20.4497,252.442,-63.9930,-500.621,-247.785,207.716,-151.220,-232.730,282.406,-65.2150,658.595,-353.872,-493.124,264.104,27.9464,184.640,-273.483,-381.312,-130.399,19.5361,-115.865,190.891,259.348,206.949,304.784,17.5502,203.165,344.444,7.80847,-312.912,-94.2661,75.5991,413.585,-56.4965,-334.054,-733.580,1.75256,411.944,-249.856,-189.285,319.430,67.3625,378.610,408.920,-441.004,353.593,-180.030,-435.703,-625.928,-174.967,864.978,71.8789,154.764,-601.455,221.004,378.113,-64.3361,-318.912,136.641,-11.5632,304.724,92.4740,-218.944,299.034,-156.643,-23.2195,-232.480,49.0544,-53.8678,-4.53662,451.273,-148.547,263.918,-18.4221,103.115,-242.611,-185.950,255.240,532.536,-192.492,-57.4911,-199.825,-514.078,535.034,-370.441,-107.544,-391.014,-392.909,152.944,-230.602,308.338,-350.685,390.889,-639.667,-452.203,-67.3984,83.2699,323.764,-193.170,-219.923,-256.975,226.074,168.723,175.683,145.375,283.293,213.966,-260.790,-228.118,-294.166,329.146,-55.6406,17.7383,-400.366,184.034,-8.04846,123.211,308.050,491.110,2.87512,526.833,-107.292
1.14884,246.946,279.512,287.368,-113.670,360.325,105.481,614.339,-75.0890,57.1871,245.859,-218.819,-547.380,-141.054,243.030,-200.778,-250.689,238.240,-80.6489,616.813,-311.916,-471.934,249.222,-81.2033,278.272,-253.723,-402.432,-127.990,58.6620,-82.7910,179.781,313.522,249.208,165.934,16.2350,165.835,322.098,-77.9252,-288.657,176.970,156.675,367.222,-89.1089,-269.100,-664.857,-109.117,412.251,-164.711,-125.766,297.318,-2.08398,229.037,360.129,-401.226,383.544,-244.110,-469.910,-601.587,-137.793,825.107,74.0038,122.288,-473.157,245.060,419.509,2.13440,-350.145,237.731,13.6989,333.743,243.378,-208.813,177.319,-153.655,78.0939,-268.016,-82.7122,-71.1289,-20.2645,409.197,-71.8823,237.133,101.863,8.70300,-279.581,-234.366,159.054,627.787,-141.405,-109.700,-100.127,-407.629,478.986,-345.818,-77.2280,-411.960,-531.840,165.618,-127.859,424.350,-258.852,274.824,-647.087,-426.987,52.5455,110.498,263.039,-196.895,-232.130,-214.169,248.849,232.986,53.6322,180.752,282.014,349.282,-344.741,-258.488,-212.491,397.405,29.3477,-21.3732,-436.355,170.709,-115.783,46.8420,257.961,391.505,56.4240,483.806,-190.220
