2H chemical shift (ppm),FA_20240806_2H_yeast_1.3.ser#1,FA_20240806_2H_yeast_1.3.ser#2,FA_20240806_2H_yeast_1.3.ser#3,FA_20240806_2H_yeast_1.3.ser#4,FA_20240806_2H_yeast_1.3.ser#5,FA_20240806_2H_yeast_1.3.ser#6,FA_20240806_2H_yeast_1.3.ser#7,FA_20240806_2H_yeast_1.3.ser#8,FA_20240806_2H_yeast_1.3.ser#9,FA_20240806_2H_yeast_1.3.ser#10,FA_20240806_2H_yeast_1.3.ser#11,FA_20240806_2H_yeast_1.3.ser#12,FA_20240806_2H_yeast_1.3.ser#13,FA_20240806_2H_yeast_1.3.ser#14,FA_20240806_2H_yeast_1.3.ser#15,FA_20240806_2H_yeast_1.3.ser#16,FA_20240806_2H_yeast_1.3.ser#17,FA_20240806_2H_yeast_1.3.ser#18,FA_20240806_2H_yeast_1.3.ser#19,FA_20240806_2H_yeast_1.3.ser#20,FA_20240806_2H_yeast_1.3.ser#21,FA_20240806_2H_yeast_1.3.ser#22,FA_20240806_2H_yeast_1.3.ser#23,FA_20240806_2H_yeast_1.3.ser#24,FA_20240806_2H_yeast_1.3.ser#25,FA_20240806_2H_yeast_1.3.ser#26,FA_20240806_2H_yeast_1.3.ser#27,FA_20240806_2H_yeast_1.3.ser#28,FA_20240806_2H_yeast_1.3.ser#29,FA_20240806_2H_yeast_1.3.ser#30,FA_20240806_2H_yeast_1.3.ser#31,FA_20240806_2H_yeast_1.3.ser#32,FA_20240806_2H_yeast_1.3.ser#33,FA_20240806_2H_yeast_1.3.ser#34,FA_20240806_2H_yeast_1.3.ser#35,FA_20240806_2H_yeast_1.3.ser#36,FA_20240806_2H_yeast_1.3.ser#37,FA_20240806_2H_yeast_1.3.ser#38,FA_20240806_2H_yeast_1.3.ser#39,FA_20240806_2H_yeast_1.3.ser#40,FA_20240806_2H_yeast_1.3.ser#41,FA_20240806_2H_yeast_1.3.ser#42,FA_20240806_2H_yeast_1.3.ser#43,FA_20240806_2H_yeast_1.3.ser#44,FA_20240806_2H_yeast_1.3.ser#45,FA_20240806_2H_yeast_1.3.ser#46,FA_20240806_2H_yeast_1.3.ser#47,FA_20240806_2H_yeast_1.3.ser#48,FA_20240806_2H_yeast_1.3.ser#49,FA_20240806_2H_yeast_1.3.ser#50,FA_20240806_2H_yeast_1.3.ser#51,FA_20240806_2H_yeast_1.3.ser#52,FA_20240806_2H_yeast_1.3.ser#53,FA_20240806_2H_yeast_1.3.ser#54,FA_20240806_2H_yeast_1.3.ser#55,FA_20240806_2H_yeast_1.3.ser#56,FA_20240806_2H_yeast_1.3.ser#57,FA_20240806_2H_yeast_1.3.ser#58,FA_20240806_2H_yeast_1.3.ser#59,FA_20240806_2H_yeast_1.3.ser#60,FA_20240806_2H_yeast_1.3.ser#61,FA_20240806_2H_yeast_1.3.ser#62,FA_20240806_2H_yeast_1.3.ser#63,FA_20240806_2H_yeast_1.3.ser#64,FA_20240806_2H_yeast_1.3.ser#65,FA_20240806_2H_yeast_1.3.ser#66,FA_20240806_2H_yeast_1.3.ser#67,FA_20240806_2H_yeast_1.3.ser#68,FA_20240806_2H_yeast_1.3.ser#69,FA_20240806_2H_yeast_1.3.ser#70,FA_20240806_2H_yeast_1.3.ser#71,FA_20240806_2H_yeast_1.3.ser#72,FA_20240806_2H_yeast_1.3.ser#73,FA_20240806_2H_yeast_1.3.ser#74,FA_20240806_2H_yeast_1.3.ser#75,FA_20240806_2H_yeast_1.3.ser#76,FA_20240806_2H_yeast_1.3.ser#77,FA_20240806_2H_yeast_1.3.ser#78,FA_20240806_2H_yeast_1.3.ser#79,FA_20240806_2H_yeast_1.3.ser#80,FA_20240806_2H_yeast_1.3.ser#81,FA_20240806_2H_yeast_1.3.ser#82,FA_20240806_2H_yeast_1.3.ser#83,FA_20240806_2H_yeast_1.3.ser#84,FA_20240806_2H_yeast_1.3.ser#85,FA_20240806_2H_yeast_1.3.ser#86,FA_20240806_2H_yeast_1.3.ser#87,FA_20240806_2H_yeast_1.3.ser#88,FA_20240806_2H_yeast_1.3.ser#89,FA_20240806_2H_yeast_1.3.ser#90,FA_20240806_2H_yeast_1.3.ser#91,FA_20240806_2H_yeast_1.3.ser#92,FA_20240806_2H_yeast_1.3.ser#93,FA_20240806_2H_yeast_1.3.ser#94,FA_20240806_2H_yeast_1.3.ser#95,FA_20240806_2H_yeast_1.3.ser#96,FA_20240806_2H_yeast_1.3.ser#97,FA_20240806_2H_yeast_1.3.ser#98,FA_20240806_2H_yeast_1.3.ser#99,FA_20240806_2H_yeast_1.3.ser#100,FA_20240806_2H_yeast_1.3.ser#101,FA_20240806_2H_yeast_1.3.ser#102,FA_20240806_2H_yeast_1.3.ser#103,FA_20240806_2H_yeast_1.3.ser#104,FA_20240806_2H_yeast_1.3.ser#105,FA_20240806_2H_yeast_1.3.ser#106,FA_20240806_2H_yeast_1.3.ser#107,FA_20240806_2H_yeast_1.3.ser#108,FA_20240806_2H_yeast_1.3.ser#109,FA_20240806_2H_yeast_1.3.ser#110,FA_20240806_2H_yeast_1.3.ser#111,FA_20240806_2H_yeast_1.3.ser#112,FA_20240806_2H_yeast_1.3.ser#113,FA_20240806_2H_yeast_1.3.ser#114,FA_20240806_2H_yeast_1.3.ser#115,FA_20240806_2H_yeast_1.3.ser#116,FA_20240806_2H_yeast_1.3.ser#117,FA_20240806_2H_yeast_1.3.ser#118,FA_20240806_2H_yeast_1.3.ser#119,FA_20240806_2H_yeast_1.3.ser#120,FA_20240806_2H_yeast_1.3.ser#121,FA_20240806_2H_yeast_1.3.ser#122,FA_20240806_2H_yeast_1.3.ser#123,FA_20240806_2H_yeast_1.3.ser#124,FA_20240806_2H_yeast_1.3.ser#125,FA_20240806_2H_yeast_1.3.ser#126,FA_20240806_2H_yeast_1.3.ser#127,FA_20240806_2H_yeast_1.3.ser#128,FA_20240806_2H_yeast_1.3.ser#129,FA_20240806_2H_yeast_1.3.ser#130
2.93332,-159.769,75.4416,103.254,25.9713,-92.9266,135.058,-22.7979,188.802,-230.231,-283.258,88.5515,-219.97,10.2152,-111.199,239.738,270.458,56.785,-6.3284,-28.3639,120.208,-102.68,101.889,-147.771,-1.93555,-207.649,142.483,-159.073,154.247,98.6576,184.842,-63.4607,-85.9582,13.7641,-119.407,398.304,34.9822,14.4057,9.35248,77.9147,-93.7458,66.2234,-313.567,-30.9665,-554.982,175.652,69.9492,202.723,-122.484,-23.0447,120.336,85.8814,-71.7114,-122.777,-28.0544,-81.3847,-80.7649,65.6337,-316.559,-280.366,-290.519,-248.676,-186.241,138.789,150.542,-11.9037,149.001,-239.13,169.263,-226.133,108.069,-61.3786,10.4964,-0.411384,-93.437,112.231,-228.619,-205.133,-87.2088,-49.0412,-194.4,-193.706,122.51,229.304,-156.78,-60.3364,-165.144,42.4912,-24.3577,55.4123,-161.077,66.0391,78.7842,336.139,-36.2383,-171.471,114.225,-297.148,-32.2912,209.996,-364.295,-17.0528,182.678,-99.1488,-214.616,180.286,140.333,-184.691,-216.671,-16.7986,216.113,-167.674,76.5286,147.753,46.6972,123.815,128.302,74.6458,-103.087,-248.957,25.8138,-66.091,63.7617,156.34,-103.934,121.606,-0.527645,76.158,-41.4945,120.677,77.0572
2.93739,-139.776,105.892,96.2141,12.5554,-79.2091,119.702,-10.6688,182.898,-225.722,-305.527,81.8526,-207.875,-1.84968,-161.218,236.995,263.539,70.3649,-1.37239,-32.0779,119.324,-85.9855,109.073,-184.231,-14.5517,-199.515,164.937,-167.39,169.202,111.49,184.074,-56.9318,-58.9935,18.5358,-86.5371,397.031,11.1114,5.00366,26.517,89.7631,-105.331,93.416,-312.816,-25.1934,-567.061,171.4,80.4939,173.476,-128.545,-1.40021,118.216,103.667,-93.2678,-129.035,-53.2224,-88.0832,-108.206,77.5761,-315.397,-263.737,-294.071,-215.094,-181.518,155.948,140.511,-2.00292,127.013,-218.93,168.502,-217.824,122.131,-60.8009,33.6454,-48.1667,-77.6972,112.601,-217.437,-190.848,-87.8009,-76.6638,-185.051,-223.485,101.441,228.179,-165.599,-84.0168,-168.035,32.9239,-17.6006,53.4807,-164.311,88.5458,82.392,346.025,-42.3013,-158.342,121.92,-308.146,-36.1229,209.809,-363.493,4.36846,186.532,-100.505,-221.821,160.065,98.325,-185.637,-170.152,-17.3855,214.03,-177.924,49.5961,121.136,55.3024,135.756,145.316,82.1032,-91.7827,-254.353,31.423,-72.9051,37.0461,158.152,-100.035,110.55,38.5504,67.6414,-53.8549,105.182,62.6336
2.94146,-121.534,133.38,86.3459,-5.03113,-65.5918,107.68,1.43018,181.566,-210.621,-326.748,74.4434,-196.386,-11.7686,-207.07,233.465,252.809,84.6507,1.08153,-34.3275,122.525,-67.1026,107.121,-215.039,-30.66,-190.726,189.843,-177.175,182.485,129.058,178.652,-41.5698,-31.8299,22.4244,-55.2594,394.132,-12.6693,0.0851932,46.576,99.0339,-109.762,120.368,-306.781,-19.2594,-567.547,162.592,87.0353,145.962,-132.385,19.1577,112.788,123.247,-109.731,-134.449,-73.6864,-92.6763,-137.891,93.2703,-308.705,-245.188,-290.721,-176.486,-176.449,177.197,125.562,12.9671,102.84,-193.893,164.902,-213.922,132.184,-60.813,53.6555,-97.0514,-65.2562,115.897,-209.213,-185.051,-92.8071,-101.678,-172.162,-253.073,81.4696,219.348,-174.488,-105.186,-173.416,25.2621,-12.0063,49.2169,-165.403,106.664,84.1575,350.634,-53.3043,-139.708,118.227,-313.745,-37.2803,213.705,-369.99,31.5873,187.505,-100.202,-229.645,137.329,49.5594,-175.972,-128.967,-17.4861,209.809,-180.732,21.1391,83.9454,70.2348,146.52,163.157,76.1613,-79.6464,-257.124,33.1964,-78.8646,3.7642,156.646,-101.545,98.8602,71.705,60.2855,-70.5772,84.3916,48.3705
2.94553,-105.825,153.72,75.1916,-21.8725,-54.1512,96.9943,15.0779,185.984,-187.648,-346.872,64.72,-179.923,-18.4828,-246.005,229.187,236.669,97.119,-0.56807,-34.4188,130.768,-50.3841,98.6753,-235.924,-51.7242,-182.478,216.754,-186.366,191.637,149.774,166.821,-18.4152,-7.42901,27.6884,-26.5252,386.306,-34.6718,-2.93667,69.6314,105.86,-110.201,144.403,-295.546,-13.1093,-557.808,149.626,89.0101,123.534,-134.56,37.5247,105.373,143.946,-116.348,-140.924,-90.1148,-96.4942,-165.689,111.862,-297.803,-226.563,-280.629,-133.684,-171.957,201.502,110.56,33.2238,78.0043,-164.525,161.678,-215.524,138.7,-61.6661,68.3714,-145.386,-56.6728,120.433,-205.127,-184.245,-101.937,-120.952,-153.694,-282.791,67.0317,204.195,-180.742,-122.948,-178.051,21.31,-9.34569,42.2082,-165.336,120.227,83.9702,352.957,-66.3977,-117.462,105.225,-313.488,-35.7099,222.574,-382.273,61.2246,185.974,-97.585,-238.045,116.948,-1.50551,-160.714,-94.8888,-18.1216,205.321,-178.253,-4.24865,40.0863,89.6743,154.204,180.72,60.4203,-70.2261,-255.775,31.1059,-86.274,-32.9753,151.972,-107.484,84.1205,95.969,53.3631,-92.2539,61.5769,34.4861
2.94961,-93.04,165.961,64.6088,-33.4789,-45.5821,85.4567,30.8403,196.669,-159.805,-364.738,51.2002,-155.845,-21.2625,-276.97,225.39,215.675,106.668,-6.49413,-33.1805,142.298,-38.886,86.7987,-243.99,-76.6688,-174.959,244.087,-194.451,194.306,171.938,148.612,11.0445,12.0995,34.955,0.542872,371.618,-53.6746,-5.90106,94.5814,110.547,-110.59,162.922,-280.715,-7.16259,-539.771,132.704,85.5922,107.95,-135.309,51.9785,97.8722,163.582,-111.956,-149.253,-103.682,-100.887,-188.222,133.714,-284.728,-209.019,-265.104,-87.9241,-168.591,226.629,100.077,57.4114,53.4183,-132.881,160.405,-221.354,141.927,-62.4383,75.4969,-191.329,-51.3434,124.681,-203.951,-182.517,-113.423,-133.878,-129.249,-311.671,60.2985,185.89,-183.374,-137.963,-178.653,21.4062,-10.2015,32.698,-163.73,129.777,85.3759,355.974,-80.0637,-94.1056,88.0427,-307.808,-32.94,234.866,-396.851,90.2902,182.348,-92.9128,-245.337,103.593,-49.1803,-144.985,-69.0631,-19.6285,202.621,-172.573,-22.0153,-4.31004,109.365,156.958,196.563,39.9744,-66.8746,-249.68,24.5791,-96.3219,-68.3767,143.814,-116.787,65.9617,111.762,46.5602,-117.794,40.0731,20.5555
2.95368,-82.5313,171.397,56.1466,-37.3397,-39.5082,71.1761,47.5022,212.939,-128.412,-378.115,33.131,-125.328,-18.9783,-300.327,223.952,192.965,113.579,-15.6922,-32.7552,154.135,-33.3609,74.4021,-239.113,-102.393,-167.106,269.274,-201.99,189.566,194.465,127.248,44.6815,26.2361,43.6541,27.573,350.551,-69.124,-9.53291,118.884,113.606,-113.677,174.664,-264.387,-2.01143,-515.918,112.76,76.6406,98.7153,-134.017,60.5769,91.8821,179.103,-97.8651,-158.405,-115.512,-106.551,-203.047,159.671,-271.521,-193.211,-246.449,-41.2528,-166.262,249.875,97.1255,83.2986,29.049,-102.778,160.771,-228.637,141.904,-61.2085,74.2889,-232.988,-48.6963,128.822,-203.665,-174.238,-124.997,-141.876,-100.571,-337.534,59.9353,168.774,-183.077,-151.973,-173.17,24.5531,-14.1507,21.1821,-158.429,136.395,93.8684,360.429,-93.6264,-71.4911,73.4178,-296.781,-31.4744,247.693,-409.563,116.702,177.075,-87.0531,-249.004,99.9729,-87.4318,-132.181,-51.8824,-21.4775,203.05,-164.911,-28.9723,-43.7375,125.134,153.503,209.083,18.707,-72.3728,-239.1,13.3137,-108.921,-97.147,132.343,-128.054,44.9719,122.778,39.6069,-144.339,21.9589,5.93684
2.95775,-72.3672,172.384,50.0811,-33.6765,-34.9684,53.2733,62.8986,232.944,-93.088,-383.909,11.0586,-91.8075,-10.2441,-316.969,226.054,172.922,118.946,-26.3782,-36.2511,164.262,-32.4416,63.8463,-223.972,-125.867,-157.78,289.676,-209.512,178.455,216.469,108.237,79.4743,35.7963,53.0631,55.167,326.322,-80.3156,-14.5244,139.504,115.397,-119.568,180.256,-247.801,2.21765,-489.816,92.0583,63.5797,93.8029,-129.111,62.3915,87.7933,187.836,-76.6824,-166.149,-126.327,-113.234,-208.829,189.368,-259.965,-179.405,-227.055,2.90337,-164.249,268.546,102.516,109.271,3.98518,-78.1874,161.271,-234.8,138.47,-56.1971,66.197,-268.967,-48.2387,134.84,-202.698,-156.432,-134.623,-146.773,-71.0544,-357.709,61.8244,156.539,-181.359,-166.548,-161.494,29.1229,-19.5509,8.28391,-146.812,141.254,113.456,364.093,-106.505,-50.2891,67.3602,-279.899,-33.8547,258.495,-417.057,138.926,170.35,-81.4183,-247.631,105.877,-111.718,-123.313,-42.7713,-22.8874,206.982,-155.295,-24.7196,-75.7146,135.153,143.72,216.663,-1.39091,-88.6605,-225.17,-1.87204,-123.549,-115.316,118.761,-139.664,20.8863,132.968,32.0875,-168.089,8.16531,-9.77076
2.96182,-59.776,171.487,44.899,-24.9764,-30.8808,32.4938,75.281,254.368,-53.8549,-378.65,-12.7687,-58.4808,5.33909,-327.221,230.958,159.037,124.057,-36.446,-46.6754,172.732,-33.7374,56.5069,-203.045,-145.879,-147.219,303.286,-216.729,163.344,237.019,96.8152,111.555,41.9469,62.6909,81.747,304.062,-85.8997,-22.198,154.194,116.054,-125.7,181.771,-230.883,6.24765,-465.64,73.4078,49.3502,91.256,-118.375,58.5857,84.4928,188.203,-52.0415,-170.3,-136.335,-119.831,-205.478,220.1,-251.599,-167.702,-208.578,39.8042,-161.275,280.248,114.503,135.368,-22.7542,-61.5351,159.94,-238.681,131.371,-46.804,54.25,-298.57,-48.8098,145.249,-200.534,-129.582,-140.532,-149.525,-44.2081,-370.121,61.4826,150.638,-179.26,-181.927,-145.181,33.6467,-23.5293,-5.2265,-127.581,144.742,144.009,363.061,-118.111,-30.0399,72.768,-256.869,-41.7414,266.092,-417.548,156.057,161.903,-77.786,-242.094,118.775,-120.544,-117.711,-40.0056,-23.8046,213.704,-143.007,-12.0903,-101.04,140.356,129.006,218.02,-19.2488,-116.198,-210.31,-19.3667,-139.609,-121.535,104.836,-150.016,-7.31499,143.441,23.7717,-185.025,-0.563624,-26.4834
2.9659,-42.3848,170.726,37.741,-14.5949,-26.1865,11.0895,83.8691,274.977,-13.1991,-359.934,-34.3912,-26.9083,26.2522,-330.372,236.298,152.383,129.82,-44.0667,-65.1969,181.159,-35.1205,52.6927,-181.379,-162.923,-137.041,308.822,-222.357,146.364,255.846,95.4662,136.941,45.3244,71.7379,104.092,288.618,-84.601,-33.8682,161.958,116.146,-128.402,181.843,-212.682,11.48,-446.555,58.5022,37.1042,90.4999,-100.005,52.3378,79.8909,179.663,-28.3709,-169.32,-145.291,-125.023,-194.158,247.503,-247.794,-158.509,-192.179,64.7244,-155.655,283.423,129.147,162.719,-51.2563,-53.3351,154.741,-240.58,120.799,-33.5832,41.7571,-321.14,-48.3108,161.535,-197.404,-97.2416,-140.969,-150.09,-22.0592,-374.336,56.4973,150.088,-176.527,-196.541,-126.623,37.0815,-23.0239,-18.6638,-101.55,146.071,181.364,353.803,-128.198,-9.53053,88.2447,-228.482,-55.0784,270.607,-410.487,168.531,151.256,-77.4578,-234.898,135.575,-115.923,-114.247,-41.0365,-25.1345,221.348,-127.373,3.9161,-121.987,142.965,112.161,212.688,-33.9283,-153.039,-198.34,-37.6616,-155.611,-117.025,91.9153,-157.633,-39.5702,152.24,15.2618,-191.357,-3.01918,-43.6432
2.96997,-19.5008,171.002,25.5224,-5.27356,-19.9292,-8.04415,88.6539,292.753,23.8896,-328.452,-48.9049,2.57698,49.6576,-325.231,239.994,151.7,136.439,-48.048,-90.1017,191.221,-35.5487,52.1398,-163.409,-177.736,-128.843,305.481,-224.29,128.397,273.943,102.893,152.792,45.6601,78.465,119.059,282.074,-76.6662,-49.873,162.78,117.575,-124.972,182.774,-191.987,19.1808,-433.238,46.6942,28.4753,92.5679,-73.9823,47.6483,72.1449,162.584,-9.74545,-162.431,-152.374,-128.183,-177,267.649,-249.559,-152.739,-179.1,74.8489,-145.597,277.92,141.915,191.814,-80.2347,-52.7614,143.965,-241.499,107.795,-17.2883,31.0323,-335.492,-44.5351,183.032,-193.377,-64.7545,-134.367,-147.885,-4.4719,-371.522,47.4003,152.51,-171.788,-207.516,-108.423,38.3619,-16.4158,-31.8309,-71.0985,144.037,219.683,334.553,-137.105,12.5432,108.959,-196.97,-71.7648,272.871,-395.654,178.191,138.137,-80.1901,-228.734,154.085,-102.64,-112.086,-43.2294,-27.7406,227.344,-108.266,18.1796,-140.229,144.831,96.7762,201.377,-44.6342,-194.561,-193.374,-55.6339,-168.137,-104.264,80.3782,-161.293,-73.5096,156.308,8.1781,-184.427,1.99864,-60.5048
2.97404,7.65169,172.191,6.4069,1.81099,-11.7066,-22.4781,90.3521,306.257,51.6904,-288.673,-52.1942,29.6375,72.9136,-311.138,241.957,154.836,143.767,-47.824,-117.635,203.327,-35.1243,54.3185,-152.007,-190.182,-123.036,292.827,-220.206,109.778,292.76,114.794,158.373,41.7733,80.5119,124.992,282.808,-64.6274,-69.3271,157.528,123.399,-114.627,185.513,-167.666,29.3705,-423.802,35.2032,22.9016,99.0296,-42.4325,47.797,61.0901,138.439,1.70621,-149.98,-155.958,-129.69,-156.284,278.716,-256.874,-151.266,-170.135,70.5093,-129.778,264.902,149.617,221.309,-107.372,-58.0662,126.958,-242.069,93.8802,1.81507,22.7874,-340.178,-36.5426,206.549,-187.796,-37.0112,-119.717,-142.11,10.4132,-363.238,36.866,155.364,-163.606,-212.049,-93.1398,35.8373,-4.27592,-45.3568,-38.8766,138.229,253.696,305.768,-145.592,36.7868,128.991,-165.821,-88.4088,273.839,-372.87,187.285,122.761,-83.9819,-225.858,173.011,-86.394,-110.555,-44.5806,-31.342,229.33,-86.2264,27.3815,-156.201,147.265,86.3822,186.028,-50.4639,-234.711,-198.051,-72.1446,-172.292,-85.2981,69.8581,-160.505,-105.117,153.335,4.40534,-164.029,14.3455,-76.4948
2.97811,36.9718,173.86,-18.7681,7.36177,-2.10565,-31.0824,90.6563,315.316,66.1402,-247.067,-42.9468,53.2835,94.4744,-288.567,243.81,160.141,152.143,-43.3903,-144.025,216.299,-34.5582,58.0369,-148.006,-199.37,-119.019,271.275,-208.717,91.5851,312.833,125.749,155.035,31.9678,76.1135,121.944,286.588,-52.4909,-90.4023,148.173,136.015,-98.1258,188.925,-138.964,40.3015,-415.106,20.7289,18.5611,110.513,-8.52303,54.0456,48.8543,109.903,6.56571,-133.484,-154.004,-130.329,-133.559,281.133,-268.14,-154.24,-164.16,55.0576,-108.359,246.046,151.037,248.437,-130.314,-66.9405,104.754,-241.71,80.3359,23.5266,16.63,-334.102,-25.5176,227.089,-179.532,-16.2914,-96.7901,-132.097,24.915,-350.378,28.3354,156.778,-151.582,-208.82,-82.9102,27.4624,11.3992,-60.5221,-6.70245,129.535,279.365,270.037,-154.392,62.6946,143.463,-138.945,-101.812,273.987,-342.834,197.422,106.072,-85.9903,-228.235,191.114,-71.5172,-108.595,-44.2,-34.7261,225.761,-62.4178,30.7634,-169.856,152.016,83.523,169.521,-49.5963,-268.267,-212.542,-85.77,-163.969,-60.8482,59.9571,-156.056,-130.42,142.674,4.80936,-133.04,31.6576,-91.1876
2.98219,66.6327,175.695,-46.1993,13.7448,7.58089,-34.2068,91.8554,321.091,66.7029,-209.038,-23.4548,72.1412,113.649,-259.335,247.379,166.668,162.656,-35.323,-166.903,227.912,-34.6758,61.2749,-150.4,-204.468,-116.016,243.232,-190.375,75.6805,333.771,131.245,145.357,14.9788,65.1253,111.309,288.853,-43.8635,-110.445,137.7,155.234,-77.0139,190.51,-106.199,48.8809,-404.186,1.47425,13.8085,126.311,25.0943,65.0871,38.8743,80.1602,7.47838,-114.696,-145.209,-130.686,-109.575,276.765,-280.699,-161.155,-157.452,33.3526,-83.7971,222.638,146.115,270.413,-147.59,-77.3873,79.9534,-238.981,67.9012,46.658,12.5089,-316.796,-14.4188,239.716,-167.533,-1.85656,-66.4582,-117.984,40.3176,-333.153,24.7861,156.011,-136.731,-198.458,-78.7843,11.955,28.5748,-78.1392,24.6704,119.723,293.821,231.573,-164.004,88.951,149.559,-119.163,-110.024,273.057,-308.056,209.131,89.5381,-83.6729,-237.145,206.839,-59.6692,-104.517,-42.2657,-36.938,215.985,-38.6365,29.3185,-181.613,161.612,88.8296,154.881,-39.1647,-292.325,-234.734,-95.2563,-142.155,-30.9696,51.0074,-149.84,-146.887,125.587,8.251,-96.6404,49.9883,-103.938
2.98626,95.0502,177.319,-70.7491,24.156,16.2328,-33.1416,95.5179,324.96,56.5938,-176.933,1.50085,84.8549,129.887,-226.751,253.684,173.274,176.299,-24.7392,-185.263,235.574,-36.2989,61.9074,-156.851,-204.994,-113.317,213.866,-167.684,63.5345,355.503,129.067,132.226,-9.09485,49.2384,95.7116,287.086,-40.3629,-125.923,129.346,178.091,-53.0834,188.422,-71.2691,51.6249,-388.939,-21.7674,7.74999,145.188,57.0383,77.6985,33.8642,51.8012,7.62325,-94.5598,-129.926,-131.272,-84.9638,267.93,-292.307,-171.407,-144.87,9.76232,-60.3836,195.188,134.986,285.354,-158.865,-88.4654,55.8058,-233.282,57.0538,68.6474,11.785,-288.32,-6.76192,241.642,-151.238,8.50743,-31.209,-101.439,56.0508,-311.795,27.6913,153.478,-121.068,-182.891,-80.3388,-9.82894,45.9139,-97.2002,54.9535,110.726,295.864,195.175,-174.774,114.141,146.797,-106.803,-112.423,270.433,-272.228,221.647,74.2895,-75.4363,-251.877,218.31,-50.4508,-96.4941,-39.3034,-37.8317,200.418,-17.0407,24.1097,-192.462,178.305,100.545,144.159,-16.6083,-305.98,-260.878,-100.188,-109.571,3.31899,44.4639,-144.043,-154.23,104.633,11.6388,-60.917,65.6304,-113.803
2.99033,120.121,178.11,-88.4066,41.0569,23.5514,-29.4879,101.481,327.035,40.9809,-150.338,26.6364,90.2286,142.467,-195.23,262.802,177.915,192.771,-13.1441,-198.672,236.981,-39.9887,58.4463,-164.22,-200.375,-110.074,190.03,-144.185,55.4591,378.898,119.768,118.462,-38.7624,31.5846,78.9596,281.884,-41.4798,-132.995,125.325,200.076,-28.0197,182.89,-37.0528,45.7301,-368.346,-46.1267,0.109284,165.935,86.8605,88.2066,34.1983,26.369,9.22208,-73.3127,-110.067,-132.898,-60.7861,256.685,-302.146,-184.386,-122.28,-12.9077,-42.5688,163.804,117.569,292.312,-164.651,-100.138,35.1923,-226.173,48.351,86.5764,16.6067,-249.351,-5.30503,233.035,-130.779,16.4511,4.75567,-85.7048,70.1228,-287.08,36.7515,150.177,-106.964,-164.266,-86.0469,-34.538,62.4096,-114.829,83.3916,104.078,286.753,164.717,-186.821,137.37,136.932,-99.5914,-109.45,265.487,-238.33,233.041,60.4513,-60.9472,-268.948,223,-43.2698,-83.5835,-35.365,-37.3786,180.931,0.88311,15.0763,-203.197,202.586,115.001,137.69,18.3816,-309.274,-286.188,-100.871,-71.5975,39.0957,42.6494,-140.634,-154.665,82.4524,11.1377,-31.7778,76.7312,-120.082
2.9944,139.424,177.312,-97.5128,64.6552,29.9867,-25.1979,108.442,325.69,24.3136,-127.716,47.6344,87.6761,150.813,-168.821,274.022,178.298,210.12,-2.24651,-206.87,230.679,-45.3155,50.1963,-169.283,-189.663,-105.632,177.543,-122.931,51.0835,404.683,106.18,106.939,-71.8833,15.9089,65.257,275.627,-45.9143,-129.054,125.968,216.488,-3.04813,175.692,-6.26365,29.8917,-342.672,-68.1302,-8.5711,186.901,114.326,93.7166,37.8144,4.63059,12.6518,-51.398,-88.1211,-136.639,-38.3657,244.686,-310.221,-198.933,-88.6741,-33.1723,-33.3609,128.992,93.475,291.005,-165.842,-112.736,20.1063,-220.462,42.2051,98.6695,28.198,-201.493,-10.9872,216.135,-106.904,22.1473,36.396,-74.4947,80.3032,-260.079,50.7256,147.175,-96.4996,-144.296,-94.1217,-57.594,76.4727,-127.91,108.234,100.468,270.019,141.75,-199.827,158.473,123.287,-93.9263,-102.591,257.358,-207.511,241.014,47.3874,-41.1825,-283.192,217.822,-38.554,-66.4428,-29.8409,-34.9582,160.594,15.3094,1.41098,-213.789,232.572,127.859,134.15,62.9031,-303.03,-305.574,-97.3702,-34.1608,72.1945,48.0746,-141.338,-152.15,60.9863,3.7511,-13.795,83.5348,-122.993
2.99848,151.807,174.255,-98.2536,92.7978,36.2616,-22.932,115.866,318.47,8.72875,-107.686,61.8616,78.1611,154.858,-149.521,286.207,173.456,225.51,6.44393,-210.078,216.285,-50.3672,37.2573,-169.785,-172.092,-100.211,178.906,-104.908,49.9263,431.411,92.1374,100.571,-106.202,5.47034,57.6528,269.771,-52.8994,-114.105,130.202,223.486,21.2703,168.484,19.0833,4.37846,-313.345,-84.9439,-16.3716,205.486,138.989,92.6273,41.5526,-13.2827,16.2774,-30.0182,-66.1007,-143.443,-18.8023,233.372,-315.981,-213,-46.5489,-50.1151,-33.6907,92.1395,62.2208,281.788,-163.179,-126.747,11.6311,-217.489,38.2456,104.662,45.8552,-147.045,-22.2551,193.662,-80.7075,24.8441,59.3829,-70.4344,84.9305,-231.57,68.1967,145.656,-90.8274,-124.531,-103.256,-75.273,85.489,-134.884,127.21,99.5547,250.064,125.328,-213.05,177.769,109.439,-86.4558,-94.2496,244.526,-179.745,243.815,34.5254,-18.1011,-290.153,200.515,-37.2291,-47.072,-21.9229,-29.6997,142.648,27.6023,-16.7163,-223.387,264.588,135.522,131.387,111.479,-289.287,-315.01,-88.6911,-1.16703,98.9019,62.6304,-147.429,-150.668,41.6986,-11.7614,-8.59457,87.3941,-123.847
