,FA_20240701_2H_yeast_1.8.ser#1,FA_20240701_2H_yeast_1.8.ser#2,FA_20240701_2H_yeast_1.8.ser#3,FA_20240701_2H_yeast_1.8.ser#4,FA_20240701_2H_yeast_1.8.ser#5,FA_20240701_2H_yeast_1.8.ser#6,FA_20240701_2H_yeast_1.8.ser#7,FA_20240701_2H_yeast_1.8.ser#8,FA_20240701_2H_yeast_1.8.ser#9,FA_20240701_2H_yeast_1.8.ser#10,FA_20240701_2H_yeast_1.8.ser#11,FA_20240701_2H_yeast_1.8.ser#12,FA_20240701_2H_yeast_1.8.ser#13,FA_20240701_2H_yeast_1.8.ser#14,FA_20240701_2H_yeast_1.8.ser#15,FA_20240701_2H_yeast_1.8.ser#16,FA_20240701_2H_yeast_1.8.ser#17,FA_20240701_2H_yeast_1.8.ser#18,FA_20240701_2H_yeast_1.8.ser#19,FA_20240701_2H_yeast_1.8.ser#20,FA_20240701_2H_yeast_1.8.ser#21,FA_20240701_2H_yeast_1.8.ser#22,FA_20240701_2H_yeast_1.8.ser#23,FA_20240701_2H_yeast_1.8.ser#24,FA_20240701_2H_yeast_1.8.ser#25,FA_20240701_2H_yeast_1.8.ser#26,FA_20240701_2H_yeast_1.8.ser#27,FA_20240701_2H_yeast_1.8.ser#28,FA_20240701_2H_yeast_1.8.ser#29,FA_20240701_2H_yeast_1.8.ser#30,FA_20240701_2H_yeast_1.8.ser#31,FA_20240701_2H_yeast_1.8.ser#32,FA_20240701_2H_yeast_1.8.ser#33,FA_20240701_2H_yeast_1.8.ser#34,FA_20240701_2H_yeast_1.8.ser#35,FA_20240701_2H_yeast_1.8.ser#36,FA_20240701_2H_yeast_1.8.ser#37,FA_20240701_2H_yeast_1.8.ser#38,FA_20240701_2H_yeast_1.8.ser#39,FA_20240701_2H_yeast_1.8.ser#40,FA_20240701_2H_yeast_1.8.ser#41,FA_20240701_2H_yeast_1.8.ser#42,FA_20240701_2H_yeast_1.8.ser#43,FA_20240701_2H_yeast_1.8.ser#44,FA_20240701_2H_yeast_1.8.ser#45,FA_20240701_2H_yeast_1.8.ser#46,FA_20240701_2H_yeast_1.8.ser#47,FA_20240701_2H_yeast_1.8.ser#48,FA_20240701_2H_yeast_1.8.ser#49,FA_20240701_2H_yeast_1.8.ser#50,FA_20240701_2H_yeast_1.8.ser#51,FA_20240701_2H_yeast_1.8.ser#52,FA_20240701_2H_yeast_1.8.ser#53,FA_20240701_2H_yeast_1.8.ser#54,FA_20240701_2H_yeast_1.8.ser#55,FA_20240701_2H_yeast_1.8.ser#56,FA_20240701_2H_yeast_1.8.ser#57,FA_20240701_2H_yeast_1.8.ser#58,FA_20240701_2H_yeast_1.8.ser#59,FA_20240701_2H_yeast_1.8.ser#60,FA_20240701_2H_yeast_1.8.ser#61,FA_20240701_2H_yeast_1.8.ser#62,FA_20240701_2H_yeast_1.8.ser#63,FA_20240701_2H_yeast_1.8.ser#64,FA_20240701_2H_yeast_1.8.ser#65,FA_20240701_2H_yeast_1.8.ser#66,FA_20240701_2H_yeast_1.8.ser#67,FA_20240701_2H_yeast_1.8.ser#68,FA_20240701_2H_yeast_1.8.ser#69,FA_20240701_2H_yeast_1.8.ser#70,FA_20240701_2H_yeast_1.8.ser#71,FA_20240701_2H_yeast_1.8.ser#72,FA_20240701_2H_yeast_1.8.ser#73,FA_20240701_2H_yeast_1.8.ser#74,FA_20240701_2H_yeast_1.8.ser#75,FA_20240701_2H_yeast_1.8.ser#76,FA_20240701_2H_yeast_1.8.ser#77,FA_20240701_2H_yeast_1.8.ser#78,FA_20240701_2H_yeast_1.8.ser#79,FA_20240701_2H_yeast_1.8.ser#80,FA_20240701_2H_yeast_1.8.ser#81,FA_20240701_2H_yeast_1.8.ser#82,FA_20240701_2H_yeast_1.8.ser#83,FA_20240701_2H_yeast_1.8.ser#84,FA_20240701_2H_yeast_1.8.ser#85,FA_20240701_2H_yeast_1.8.ser#86,FA_20240701_2H_yeast_1.8.ser#87,FA_20240701_2H_yeast_1.8.ser#88,FA_20240701_2H_yeast_1.8.ser#89,FA_20240701_2H_yeast_1.8.ser#90,FA_20240701_2H_yeast_1.8.ser#91,FA_20240701_2H_yeast_1.8.ser#92,FA_20240701_2H_yeast_1.8.ser#93,FA_20240701_2H_yeast_1.8.ser#94,FA_20240701_2H_yeast_1.8.ser#95,FA_20240701_2H_yeast_1.8.ser#96,FA_20240701_2H_yeast_1.8.ser#97,FA_20240701_2H_yeast_1.8.ser#98,FA_20240701_2H_yeast_1.8.ser#99,FA_20240701_2H_yeast_1.8.ser#100,FA_20240701_2H_yeast_1.8.ser#101,FA_20240701_2H_yeast_1.8.ser#102,FA_20240701_2H_yeast_1.8.ser#103,FA_20240701_2H_yeast_1.8.ser#104,FA_20240701_2H_yeast_1.8.ser#105,FA_20240701_2H_yeast_1.8.ser#106,FA_20240701_2H_yeast_1.8.ser#107,FA_20240701_2H_yeast_1.8.ser#108,FA_20240701_2H_yeast_1.8.ser#109,FA_20240701_2H_yeast_1.8.ser#110,FA_20240701_2H_yeast_1.8.ser#111,FA_20240701_2H_yeast_1.8.ser#112,FA_20240701_2H_yeast_1.8.ser#113,FA_20240701_2H_yeast_1.8.ser#114,FA_20240701_2H_yeast_1.8.ser#115,FA_20240701_2H_yeast_1.8.ser#116,FA_20240701_2H_yeast_1.8.ser#117,FA_20240701_2H_yeast_1.8.ser#118,FA_20240701_2H_yeast_1.8.ser#119,FA_20240701_2H_yeast_1.8.ser#120,FA_20240701_2H_yeast_1.8.ser#121,FA_20240701_2H_yeast_1.8.ser#122,FA_20240701_2H_yeast_1.8.ser#123,FA_20240701_2H_yeast_1.8.ser#124,FA_20240701_2H_yeast_1.8.ser#125,FA_20240701_2H_yeast_1.8.ser#126,FA_20240701_2H_yeast_1.8.ser#127,FA_20240701_2H_yeast_1.8.ser#128,FA_20240701_2H_yeast_1.8.ser#129,FA_20240701_2H_yeast_1.8.ser#130
1.31988,191.503,-268.973,-168.428,143.254,186.653,38.5143,-284.964,425.669,-49.3660,-470.376,301.201,-423.385,713.874,-516.833,112.349,16.0471,-286.238,-128.888,-459.497,57.2837,-69.1169,327.216,546.503,297.545,373.266,-23.3929,-279.546,46.0830,190.223,121.168,211.877,67.2319,307.757,281.375,696.424,-132.635,-388.596,229.292,381.216,120.388,-25.8716,242.559,-121.717,355.667,-247.255,119.471,-104.473,138.297,247.004,72.1587,386.127,-302.839,-372.314,178.998,167.418,22.7030,393.834,329.500,26.6518,190.089,-730.212,-217.267,418.120,682.255,68.7551,120.808,-144.627,249.060,-642.476,-282.368,261.189,-64.0784,-413.864,382.666,-308.188,385.692,236.709,-264.814,75.8292,19.8663,141.271,-57.1919,120.485,-582.607,219.141,353.529,-151.782,-248.039,340.432,256.455,259.490,73.8342,193.199,137.557,-396.166,-263.916,374.689,227.930,144.162,21.5120,-337.973,4.26331,-347.853,63.2416,42.4460,16.8964,-101.382,94.6499,-115.457,181.805,308.441,270.406,-125.563,190.414,-263.714,-234.140,67.8868,164.560,213.446,-165.288,323.301,-583.256,366.620,-186.854,-520.861,-378.857,161.411,-918.003,-114.464,413.577
1.32803,167.212,-267.895,-107.192,224.734,100.996,-33.4398,-258.012,562.768,-87.1650,-593.470,179.585,-457.854,849.501,-547.844,-78.4031,56.2401,-255.945,-115.271,-520.429,95.5294,10.6495,326.460,538.996,187.046,394.097,-108.664,-223.633,-34.2207,204.035,188.710,260.545,76.4236,388.095,224.880,661.623,-69.8308,-311.369,175.744,499.240,162.240,-84.5267,107.574,-184.487,381.248,-187.895,116.111,-129.590,39.6642,225.563,115.210,367.541,-227.258,-424.270,189.420,151.573,36.6510,414.635,298.604,13.7932,183.474,-760.266,-132.407,430.470,701.452,105.593,137.593,-145.495,267.076,-708.113,-302.376,326.661,25.6772,-353.377,344.203,-373.832,319.284,285.184,-180.162,75.4567,90.8933,145.449,-127.645,83.4565,-591.262,127.735,258.137,-187.172,-152.800,468.578,175.364,285.720,122.648,187.564,219.486,-425.541,-218.401,375.400,315.363,176.458,37.7413,-375.943,-138.771,-230.991,-19.1276,180.056,120.650,-114.316,-9.02148,-142.559,139.666,333.460,259.693,-60.9349,247.751,-281.180,-264.580,106.749,241.581,232.889,-130.747,309.048,-551.391,347.311,-264.880,-514.800,-475.402,147.981,-925.895,-78.4805,412.850
1.33617,87.6875,-312.839,-181.879,279.311,21.9076,6.29602,-186.005,615.903,-124.964,-635.258,57.9686,-515.959,866.754,-578.855,-134.610,96.4331,-247.315,-58.7089,-539.260,133.775,132.246,419.121,466.129,168.883,325.944,-129.024,-230.832,-3.13379,155.594,195.879,291.252,85.6152,504.211,185.859,609.170,-63.7987,-229.816,126.359,470.374,171.626,-34.8434,-27.4108,-172.764,352.975,-224.208,40.2124,-45.2198,-58.9681,204.123,158.262,419.370,-217.649,-446.822,171.659,108.303,50.5990,332.309,357.791,85.7512,149.248,-666.228,-47.5478,442.819,596.008,136.030,154.378,-228.652,234.036,-661.623,-272.086,342.447,60.8446,-340.682,225.096,-415.086,298.819,286.713,-203.058,75.0840,53.5505,172.378,-198.097,23.4948,-468.287,80.2172,294.194,-146.173,-101.138,553.322,94.2727,414.916,243.237,110.171,256.422,-382.955,-172.885,334.134,222.792,106.048,53.9706,-374.048,-208.337,-41.0370,-101.497,227.727,182.664,-55.7327,-68.5944,-213.618,140.880,431.926,178.109,-40.4855,177.203,-298.646,-338.555,123.921,248.707,252.332,-53.8657,251.613,-448.898,328.003,-188.770,-508.740,-410.791,236.098,-933.787,-42.4966,343.221
1.34432,8.16272,-357.783,-256.565,333.888,-57.1812,46.0319,-113.997,669.037,-162.763,-677.046,-63.6475,-574.064,790.859,-609.866,-190.816,136.626,-238.684,-2.14624,-558.090,172.021,253.843,511.782,393.262,150.720,257.792,-149.385,-238.030,27.9530,107.153,203.048,321.959,94.8069,620.327,146.838,556.716,-57.7667,-148.262,76.9746,441.508,181.011,14.8400,-162.396,-161.041,324.701,-260.522,-35.6866,39.1500,-157.601,182.682,201.314,471.198,-208.040,-469.373,153.897,65.0338,64.5470,249.982,416.979,157.709,115.022,-572.189,37.3116,455.169,490.563,81.1234,171.163,-311.808,200.997,-615.132,-241.795,358.233,-4.76624,-327.987,105.989,-456.340,278.353,288.241,-225.954,74.7114,16.2076,199.307,-268.550,-36.4670,-345.312,32.6995,330.252,-105.174,-49.4762,638.065,13.1818,544.112,363.827,32.7772,293.359,-340.369,-127.370,292.868,130.220,35.6385,70.2000,-372.154,-277.902,148.917,-183.866,275.397,244.677,2.85107,-128.167,-284.677,142.093,530.392,96.5243,-20.0359,106.656,-316.111,-412.530,141.093,255.833,271.776,23.0161,194.178,-346.406,308.694,-112.661,-502.679,-346.179,324.215,-941.679,-6.51282,273.591
1.35246,-24.7583,-375.113,-269.521,294.864,-83.7266,63.7518,-97.7723,632.433,-120.810,-572.484,-109.589,-538.118,618.907,-547.422,-106.871,117.506,-249.909,79.4684,-583.938,243.298,302.237,621.125,375.952,116.068,197.585,-111.326,-244.046,123.244,36.9226,228.706,311.880,164.026,611.964,96.8958,425.927,-69.4760,-98.4371,105.287,339.197,233.010,-4.54248,-175.049,-76.8219,346.916,-370.583,3.69983,96.1483,-123.763,144.522,308.656,467.701,-137.760,-398.809,225.972,-43.9388,106.744,127.811,419.864,152.301,188.363,-475.381,97.1262,434.771,380.668,-51.6600,154.708,-363.078,205.185,-536.606,-175.351,320.192,-125.490,-335.704,11.5789,-469.647,282.772,235.487,-197.957,101.167,-109.669,251.359,-300.595,-17.5946,-159.264,8.95483,445.727,-35.5299,-5.07703,689.352,22.0878,596.083,390.659,-41.9253,282.960,-371.543,-107.122,323.312,34.1862,-86.1243,72.2736,-366.107,-239.102,201.367,-198.412,362.306,253.645,86.4663,-156.504,-318.189,135.178,594.889,151.366,-51.1272,51.2056,-334.453,-525.504,213.847,219.275,248.494,35.5035,128.196,-226.697,224.034,-0.645264,-516.874,-257.761,377.879,-903.572,10.8271,235.829
1.36061,-57.6794,-392.444,-282.476,255.841,-5.18506,81.4719,-184.530,595.830,-78.8575,-467.923,-155.530,-502.171,446.955,-484.979,-22.9265,98.3865,-261.135,161.083,-609.786,314.575,350.630,730.468,358.641,81.4165,137.378,-73.2674,-250.061,218.535,-33.3075,254.365,301.800,233.244,603.602,46.9535,295.139,-81.1853,-48.6125,133.600,236.887,285.008,-23.9249,-187.701,7.39758,369.131,-480.644,43.0864,153.147,-89.9258,106.362,415.998,464.204,-67.4806,-328.246,298.047,-152.911,148.941,5.63989,422.750,146.892,261.704,-378.573,156.941,414.374,270.772,-235.650,138.252,-414.348,209.373,-458.079,-108.908,282.151,-246.214,-343.420,-82.8311,-482.954,287.191,182.732,-169.960,127.624,-235.546,303.410,-332.640,1.27783,26.7844,-14.7897,561.202,34.1143,39.3221,740.639,30.9937,648.055,417.491,-116.628,272.562,-402.716,-86.8746,353.755,-61.8473,-207.887,74.3472,-360.059,-200.301,253.816,-212.958,449.214,262.612,170.082,-184.841,-351.701,128.263,659.385,206.208,-82.2186,-4.24451,-352.794,-638.479,286.601,182.716,225.212,47.9910,62.2147,-106.989,139.374,111.370,-531.069,-169.342,431.543,-865.466,28.1670,198.067
1.36875,-118.218,-363.752,-295.431,163.011,66.7885,99.1919,-299.178,475.261,-61.4437,-249.534,-120.751,-387.438,292.468,-422.535,16.1698,79.2666,-250.699,199.751,-614.582,385.852,357.194,639.631,380.547,46.7649,217.000,-74.1548,-256.076,251.943,-66.1854,298.135,207.901,170.403,595.240,14.4855,164.350,-92.8947,-56.4772,195.212,168.474,337.007,-108.310,-125.891,91.6171,391.345,-558.815,196.463,120.565,77.0214,167.279,435.170,490.884,31.0732,-287.087,313.754,-207.036,191.138,-50.9047,335.552,86.4676,335.046,-308.356,165.600,393.976,249.906,-387.636,45.8193,-251.667,213.561,-459.644,-92.7635,244.109,-345.942,-327.240,-128.855,-414.959,337.552,208.223,-141.963,193.826,-338.201,279.621,-231.415,96.5956,139.704,-82.4232,603.650,103.758,40.1449,770.224,82.2511,655.898,343.836,-148.275,262.163,-390.713,-66.6268,314.239,-60.9548,-168.255,5.64197,-393.876,-58.6443,174.699,-93.7156,536.123,174.185,232.241,-169.079,-341.255,121.348,621.055,388.616,-186.940,11.3527,-413.184,-678.895,287.053,167.126,273.139,18.1369,-25.3577,-142.662,127.834,153.325,-476.310,-124.875,412.673,-784.066,45.5070,229.208
1.37690,-178.756,-335.059,-308.386,70.1812,138.762,116.912,-413.826,354.692,-44.0299,-31.1449,-85.9716,-272.705,137.981,-360.091,55.2662,60.1467,-240.263,238.420,-619.379,457.130,363.757,548.795,402.453,12.1133,296.623,-75.0423,-262.091,285.350,-99.0632,341.905,114.003,107.563,586.878,-17.9827,33.5608,-104.604,-64.3419,256.824,100.061,389.006,-192.696,-64.0813,175.837,413.560,-636.985,349.840,87.9835,243.969,228.195,454.342,517.565,129.627,-245.928,329.460,-261.161,233.335,-107.449,248.354,26.0428,408.387,-238.139,174.259,373.579,229.039,-454.277,-46.6139,-88.9860,217.749,-461.208,-76.6193,206.068,-344.893,-311.061,-174.878,-346.965,387.912,233.714,-113.965,260.028,-440.856,255.832,-130.190,191.913,252.625,-150.057,646.097,173.402,40.9677,799.810,133.509,663.741,270.181,-179.922,251.765,-378.711,-46.3790,274.722,-60.0624,-128.622,-63.0631,-427.693,83.0125,95.5826,25.5266,623.032,85.7578,294.401,-153.317,-330.809,114.433,582.724,571.025,-291.661,26.9497,-473.574,-719.312,287.505,151.537,321.066,-11.7171,-112.930,-178.334,116.295,195.279,-421.551,-80.4086,393.802,-702.667,62.8469,260.349
1.38504,-216.028,-331.536,-268.388,19.9480,172.970,97.5809,-561.729,238.846,-28.6611,108.734,-76.1654,-178.653,96.5321,-304.392,-16.8241,88.4772,-260.515,240.852,-588.214,416.608,384.481,349.110,396.581,31.8738,428.682,-87.2891,-255.090,294.391,-87.1960,394.542,-52.1143,-33.3135,629.947,-11.8622,22.6655,-125.716,-52.3758,322.598,74.7258,437.623,-194.474,-4.59814,165.611,388.653,-658.183,392.303,46.8483,297.484,316.358,441.676,514.696,148.071,-236.318,295.845,-278.292,227.085,-100.711,232.097,-69.3401,306.860,-169.584,199.970,401.192,213.737,-396.904,-37.8751,72.6663,95.0984,-541.862,-44.7566,174.238,-296.078,-273.225,-180.580,-297.263,403.817,292.459,-122.938,268.101,-350.478,184.643,-49.5566,350.776,258.138,-138.141,503.465,226.814,-74.8674,765.647,134.032,654.117,281.761,-141.379,230.587,-361.985,-14.8511,267.780,-89.8920,-25.7157,-198.123,-386.973,180.129,63.0624,117.361,683.929,31.6796,318.790,-115.966,-373.937,126.033,547.148,665.288,-352.205,48.3193,-469.687,-569.719,271.915,159.536,381.677,-58.1108,-131.681,-221.069,143.144,123.823,-384.030,-71.6525,370.852,-452.607,1.50513,264.790
1.39319,-253.300,-328.012,-228.390,-30.2850,207.178,78.2500,-709.633,123.000,-13.2922,248.612,-66.3591,-84.6012,55.0829,-248.693,-88.9144,116.808,-280.766,243.285,-557.049,376.086,405.206,149.426,390.709,51.6342,560.740,-99.5358,-248.089,303.432,-75.3289,447.180,-218.232,-174.189,673.016,-5.74170,11.7704,-146.828,-40.4098,388.372,49.3910,486.240,-196.251,54.8849,155.384,363.745,-679.382,434.766,5.71313,351.000,404.520,429.009,511.828,166.516,-226.708,262.229,-295.423,220.835,-93.9722,215.840,-164.723,205.332,-101.029,225.681,428.805,198.435,-254.186,-29.1364,234.318,-27.5526,-622.516,-12.8938,142.407,-247.264,-235.390,-186.282,-247.562,419.722,351.204,-131.910,276.175,-260.099,113.453,31.0765,509.639,263.651,-126.226,360.832,280.226,-190.703,731.484,134.556,644.492,293.340,-102.837,209.409,-345.260,16.6769,260.839,-119.722,77.1909,-333.183,-346.252,277.245,30.5420,209.195,744.826,-22.3987,343.179,-78.6141,-417.065,137.634,511.571,759.552,-412.748,69.6890,-465.800,-420.126,256.324,167.536,442.288,-104.505,-150.433,-263.804,169.993,52.3657,-346.509,-62.8965,347.902,-202.546,-59.8365,269.231
1.40133,-290.572,-296.875,-143.084,-80.5182,188.843,33.1445,-831.790,32.3441,51.1548,209.619,-104.985,9.45056,122.305,-187.213,-56.3585,167.038,-257.694,288.663,-504.833,376.218,384.100,96.5399,345.620,71.3947,527.546,-202.657,-152.731,312.473,-26.1095,415.295,-324.478,-207.017,716.084,35.3269,106.793,-111.168,-28.4437,416.685,103.150,480.744,-133.025,61.1802,113.233,306.526,-700.580,321.788,34.2511,230.449,462.959,413.893,418.427,137.837,-158.288,200.430,-312.554,160.347,-87.2338,289.666,-232.598,76.1938,-32.4739,276.969,456.418,58.4919,-79.4635,21.8124,313.682,-99.1489,-655.115,44.1185,60.8905,-217.345,-245.346,-167.791,-246.641,297.802,363.002,-217.702,284.248,-169.720,42.2639,111.710,530.901,225.287,-70.4223,320.439,196.140,-146.757,675.619,135.080,502.483,304.920,-64.2941,263.218,-429.279,4.88916,183.937,-191.091,136.081,-369.153,-239.091,271.505,-1.97827,226.702,784.560,-6.90894,267.442,-85.3610,-454.698,250.390,475.995,697.900,-340.757,91.0586,-440.888,-270.532,284.116,196.504,460.174,-108.557,-68.4269,-306.540,123.721,-19.0911,-377.943,19.1124,368.472,-53.5020,-121.178,177.207
1.40948,-327.844,-265.737,-57.7783,-130.751,170.507,-11.9609,-953.948,-58.3120,115.602,170.626,-143.611,103.502,189.527,-218.224,-23.8025,217.269,-234.622,334.042,-452.617,376.351,362.994,43.6541,300.531,91.1550,494.351,-305.779,-57.3741,321.513,23.1100,383.411,-430.725,-239.844,759.153,76.3955,201.816,-75.5081,-16.4777,334.001,156.910,475.248,-69.7994,67.4755,71.0818,249.306,-721.778,208.809,62.7892,109.899,521.399,281.217,325.025,109.158,-89.8687,138.630,-329.685,99.8584,-80.4952,363.492,-300.473,-52.9446,36.0812,328.258,484.031,-81.4514,44.0521,72.7611,393.046,-170.745,-687.715,101.131,-20.6265,-187.427,-255.303,-149.299,-245.720,175.882,374.800,-303.494,292.322,-79.3416,-28.9254,192.343,552.162,186.923,-14.6183,280.045,112.054,-102.812,619.754,135.604,360.474,316.499,-25.7515,317.026,-513.298,-6.89856,107.035,-262.460,194.971,-405.123,-131.931,265.766,-34.4987,244.210,824.295,8.58081,191.705,-92.1078,-492.330,363.147,440.418,636.248,-268.767,112.428,-415.976,-120.939,311.907,225.472,478.059,-112.609,13.5790,-349.275,77.4495,-90.5479,-409.376,101.121,389.042,95.5422,-182.520,85.1840
1.41762,-431.282,-238.052,62.0746,-238.154,99.6281,-26.4591,-929.141,-55.0322,164.712,44.2292,-163.570,127.631,159.237,-286.809,68.0842,207.730,-214.709,497.523,-351.282,350.227,334.917,-5.89563,209.690,107.618,363.434,-405.654,22.9940,315.857,41.9807,393.410,-436.314,-182.631,711.286,166.246,255.281,-52.6217,6.30505,189.576,257.984,389.260,8.99988,59.1440,77.4836,144.965,-803.769,145.702,53.3801,48.2235,558.166,97.1095,294.494,158.821,-26.9626,110.299,-342.245,8.86096,-35.0839,455.334,-293.273,-57.2588,63.0878,426.439,393.976,-126.801,63.5546,82.5551,377.777,-108.323,-653.739,135.089,-123.881,-54.1056,-351.385,-86.9578,-284.433,48.2192,347.964,-313.907,236.304,-119.103,-87.7908,227.164,440.600,134.391,-19.1614,334.588,-30.2782,19.2078,518.678,170.538,262.593,198.882,13.6881,293.505,-568.533,14.7029,8.70691,-283.636,187.835,-308.383,28.3824,149.823,-46.0050,263.575,812.446,15.3746,76.6324,-95.1797,-501.574,482.225,488.848,517.014,-148.917,163.105,-397.635,-55.6941,303.095,221.677,422.956,-114.897,107.730,-401.280,57.6840,-120.844,-409.780,197.781,289.932,139.060,-140.876,23.3058
1.42577,-534.720,-210.366,181.927,-345.556,28.7491,-40.9574,-904.334,-51.7523,213.822,-82.1672,-183.529,151.759,128.946,-355.395,159.971,198.192,-194.796,661.004,-249.948,324.104,306.839,-55.4453,118.848,124.081,232.518,-505.530,103.362,310.200,60.8514,403.409,-441.904,-125.417,663.419,256.096,308.746,-29.7354,29.0879,45.1498,359.059,303.271,87.7993,50.8127,83.8852,40.6234,-885.760,82.5944,43.9712,-13.4517,594.932,-86.9985,263.963,208.485,35.9435,81.9685,-354.806,-82.1364,10.3275,547.177,-286.074,-61.5729,90.0944,524.620,303.922,-172.150,-2.28711,92.3491,362.509,-45.9004,-619.763,169.048,-227.136,79.2156,-447.468,-24.6163,-323.146,-79.4434,321.128,-324.320,180.287,-158.865,-146.656,261.986,329.037,81.8590,-23.7047,389.130,-172.610,141.228,417.602,205.473,164.712,81.2642,53.1277,269.984,-623.768,36.3043,-89.6208,-304.811,180.699,-211.643,188.695,33.8802,-57.5113,282.941,800.597,22.1683,-38.4397,-98.2517,-422.903,601.304,537.278,397.780,-29.0670,213.781,-379.293,9.55103,294.283,217.882,367.852,-117.185,201.881,-453.285,37.9186,-151.140,-410.184,294.440,190.821,182.579,-99.2328,-38.5724
1.43391,-472.456,-155.067,202.103,-327.410,80.4717,4.68518,-759.380,-48.4724,262.932,-159.780,-179.273,128.616,98.6547,-383.515,147.211,144.853,-131.560,718.908,-218.783,203.120,320.592,-171.721,-37.3544,100.971,190.584,-410.675,44.8857,366.427,17.4683,413.409,-429.532,-68.2041,460.513,328.473,279.830,-40.9124,51.8706,-32.6780,460.134,217.283,134.097,74.3940,15.7946,-63.7180,-872.077,112.752,-74.9243,57.9828,572.253,-119.258,183.135,258.148,40.0403,-2.73059,-312.518,-82.7367,102.615,584.970,-333.891,16.9456,117.101,597.224,187.226,-164.082,-77.7300,9.28125,396.614,16.5220,-585.787,119.174,-214.455,256.627,-432.035,118.369,-313.079,-99.9091,247.346,-311.686,52.7268,-276.034,-129.681,319.019,217.475,73.2036,-28.2479,370.645,-207.999,103.467,273.123,282.759,169.797,-36.3535,187.648,223.967,-626.832,130.099,-90.0034,-173.674,246.925,-44.1243,255.992,-126.144,-112.873,257.711,746.424,98.5300,-132.056,-145.422,-287.453,619.226,585.708,406.112,-41.7510,264.458,-360.952,-26.7844,328.853,193.119,355.474,-98.3022,224.062,-434.662,18.1531,-139.399,-341.634,259.245,135.231,226.097,-57.5893,-31.5475
1.44206,-410.192,-99.7673,222.280,-309.265,132.194,50.3276,-614.427,-45.1925,312.042,-237.394,-175.016,105.472,68.3636,-411.636,134.452,91.5142,-68.3241,633.659,-187.618,82.1367,334.345,-287.998,-193.557,77.8612,148.650,-315.819,-13.5907,422.654,-25.9149,423.408,-417.161,-10.9908,257.607,400.849,250.914,-52.0895,74.6534,-110.506,561.208,131.295,180.395,97.9753,-52.2960,-168.059,-858.395,142.909,-193.820,129.417,549.574,-33.9589,102.308,307.812,44.1370,-87.4297,-270.231,-83.3370,194.903,622.762,-381.707,95.4640,144.107,669.827,70.5303,-156.014,-101.966,-73.7865,430.718,78.9443,-551.811,69.3009,-201.775,434.039,-416.602,261.354,-303.012,-120.375,173.563,-299.053,-74.8335,-393.203,-112.706,376.052,105.912,64.5482,-32.7910,352.160,-243.388,65.7064,128.644,360.045,174.882,-153.971,322.169,177.950,-543.544,223.893,-90.3860,-42.5378,313.151,123.395,323.289,-286.167,-168.235,232.480,692.250,174.892,-225.673,-192.592,-64.0874,637.149,634.138,414.445,-54.4348,315.135,-342.610,-63.1199,363.422,168.355,343.096,-79.4194,246.243,-416.040,-1.61243,-127.658,-273.084,224.049,79.6409,269.615,-15.9458,-24.5226
1.45020,-187.112,-20.4498,144.584,-161.228,128.089,64.5574,-480.872,-73.9243,369.460,-317.039,-184.507,188.198,21.3353,-442.527,75.2086,43.5364,-75.3755,448.202,-162.264,37.8035,296.790,-389.260,-295.530,47.7439,174.744,-241.756,-78.5757,538.348,-70.4653,453.028,-412.273,35.0612,55.2599,335.617,219.975,-139.554,31.4540,-202.295,511.951,13.6843,158.812,165.769,-190.472,-181.186,-778.937,194.925,-219.558,118.538,612.038,56.5453,24.3094,410.047,79.0167,-186.368,-208.661,5.32983,239.289,561.182,-461.331,172.832,128.458,632.726,57.6257,-189.539,-22.9897,-156.195,486.424,112.416,-576.995,19.6893,-73.0302,543.347,-378.393,429.666,-187.253,19.2366,86.2096,-280.178,-46.1417,-397.527,-33.7544,387.505,15.3724,90.9714,14.5553,379.546,-204.418,-6.89270,-4.08069,492.035,141.240,-151.700,379.773,185.830,-439.005,276.176,-125.312,127.218,382.587,176.119,329.440,-274.688,-270.078,171.132,717.326,244.514,-219.387,-238.499,98.1493,586.656,626.793,369.293,-80.3491,428.977,-364.456,-104.104,370.088,106.023,325.934,-117.764,300.698,-295.007,-126.261,-54.7236,-201.625,218.612,148.066,293.516,29.0271,-35.8001
