2H chemical shift (ppm),FA_20240207_2H_yeast_1.3.ser#1,FA_20240207_2H_yeast_1.3.ser#2,FA_20240207_2H_yeast_1.3.ser#3,FA_20240207_2H_yeast_1.3.ser#4,FA_20240207_2H_yeast_1.3.ser#5,FA_20240207_2H_yeast_1.3.ser#6,FA_20240207_2H_yeast_1.3.ser#7,FA_20240207_2H_yeast_1.3.ser#8,FA_20240207_2H_yeast_1.3.ser#9,FA_20240207_2H_yeast_1.3.ser#10,FA_20240207_2H_yeast_1.3.ser#11,FA_20240207_2H_yeast_1.3.ser#12,FA_20240207_2H_yeast_1.3.ser#13,FA_20240207_2H_yeast_1.3.ser#14,FA_20240207_2H_yeast_1.3.ser#15,FA_20240207_2H_yeast_1.3.ser#16,FA_20240207_2H_yeast_1.3.ser#17,FA_20240207_2H_yeast_1.3.ser#18,FA_20240207_2H_yeast_1.3.ser#19,FA_20240207_2H_yeast_1.3.ser#20,FA_20240207_2H_yeast_1.3.ser#21,FA_20240207_2H_yeast_1.3.ser#22,FA_20240207_2H_yeast_1.3.ser#23,FA_20240207_2H_yeast_1.3.ser#24,FA_20240207_2H_yeast_1.3.ser#25,FA_20240207_2H_yeast_1.3.ser#26,FA_20240207_2H_yeast_1.3.ser#27,FA_20240207_2H_yeast_1.3.ser#28,FA_20240207_2H_yeast_1.3.ser#29,FA_20240207_2H_yeast_1.3.ser#30,FA_20240207_2H_yeast_1.3.ser#31,FA_20240207_2H_yeast_1.3.ser#32,FA_20240207_2H_yeast_1.3.ser#33,FA_20240207_2H_yeast_1.3.ser#34,FA_20240207_2H_yeast_1.3.ser#35,FA_20240207_2H_yeast_1.3.ser#36,FA_20240207_2H_yeast_1.3.ser#37,FA_20240207_2H_yeast_1.3.ser#38,FA_20240207_2H_yeast_1.3.ser#39,FA_20240207_2H_yeast_1.3.ser#40,FA_20240207_2H_yeast_1.3.ser#41,FA_20240207_2H_yeast_1.3.ser#42,FA_20240207_2H_yeast_1.3.ser#43,FA_20240207_2H_yeast_1.3.ser#44,FA_20240207_2H_yeast_1.3.ser#45,FA_20240207_2H_yeast_1.3.ser#46,FA_20240207_2H_yeast_1.3.ser#47,FA_20240207_2H_yeast_1.3.ser#48,FA_20240207_2H_yeast_1.3.ser#49,FA_20240207_2H_yeast_1.3.ser#50,FA_20240207_2H_yeast_1.3.ser#51,FA_20240207_2H_yeast_1.3.ser#52,FA_20240207_2H_yeast_1.3.ser#53,FA_20240207_2H_yeast_1.3.ser#54,FA_20240207_2H_yeast_1.3.ser#55,FA_20240207_2H_yeast_1.3.ser#56,FA_20240207_2H_yeast_1.3.ser#57,FA_20240207_2H_yeast_1.3.ser#58,FA_20240207_2H_yeast_1.3.ser#59,FA_20240207_2H_yeast_1.3.ser#60,FA_20240207_2H_yeast_1.3.ser#61,FA_20240207_2H_yeast_1.3.ser#62,FA_20240207_2H_yeast_1.3.ser#63,FA_20240207_2H_yeast_1.3.ser#64,FA_20240207_2H_yeast_1.3.ser#65,FA_20240207_2H_yeast_1.3.ser#66,FA_20240207_2H_yeast_1.3.ser#67,FA_20240207_2H_yeast_1.3.ser#68,FA_20240207_2H_yeast_1.3.ser#69,FA_20240207_2H_yeast_1.3.ser#70,FA_20240207_2H_yeast_1.3.ser#71,FA_20240207_2H_yeast_1.3.ser#72,FA_20240207_2H_yeast_1.3.ser#73,FA_20240207_2H_yeast_1.3.ser#74,FA_20240207_2H_yeast_1.3.ser#75,FA_20240207_2H_yeast_1.3.ser#76,FA_20240207_2H_yeast_1.3.ser#77,FA_20240207_2H_yeast_1.3.ser#78,FA_20240207_2H_yeast_1.3.ser#79,FA_20240207_2H_yeast_1.3.ser#80,FA_20240207_2H_yeast_1.3.ser#81,FA_20240207_2H_yeast_1.3.ser#82,FA_20240207_2H_yeast_1.3.ser#83,FA_20240207_2H_yeast_1.3.ser#84,FA_20240207_2H_yeast_1.3.ser#85,FA_20240207_2H_yeast_1.3.ser#86,FA_20240207_2H_yeast_1.3.ser#87,FA_20240207_2H_yeast_1.3.ser#88,FA_20240207_2H_yeast_1.3.ser#89,FA_20240207_2H_yeast_1.3.ser#90,FA_20240207_2H_yeast_1.3.ser#91,FA_20240207_2H_yeast_1.3.ser#92,FA_20240207_2H_yeast_1.3.ser#93,FA_20240207_2H_yeast_1.3.ser#94,FA_20240207_2H_yeast_1.3.ser#95,FA_20240207_2H_yeast_1.3.ser#96,FA_20240207_2H_yeast_1.3.ser#97,FA_20240207_2H_yeast_1.3.ser#98,FA_20240207_2H_yeast_1.3.ser#99,FA_20240207_2H_yeast_1.3.ser#100,FA_20240207_2H_yeast_1.3.ser#101,FA_20240207_2H_yeast_1.3.ser#102,FA_20240207_2H_yeast_1.3.ser#103,FA_20240207_2H_yeast_1.3.ser#104,FA_20240207_2H_yeast_1.3.ser#105,FA_20240207_2H_yeast_1.3.ser#106,FA_20240207_2H_yeast_1.3.ser#107,FA_20240207_2H_yeast_1.3.ser#108,FA_20240207_2H_yeast_1.3.ser#109,FA_20240207_2H_yeast_1.3.ser#110,FA_20240207_2H_yeast_1.3.ser#111,FA_20240207_2H_yeast_1.3.ser#112,FA_20240207_2H_yeast_1.3.ser#113,FA_20240207_2H_yeast_1.3.ser#114,FA_20240207_2H_yeast_1.3.ser#115,FA_20240207_2H_yeast_1.3.ser#116,FA_20240207_2H_yeast_1.3.ser#117,FA_20240207_2H_yeast_1.3.ser#118,FA_20240207_2H_yeast_1.3.ser#119,FA_20240207_2H_yeast_1.3.ser#120,FA_20240207_2H_yeast_1.3.ser#121,FA_20240207_2H_yeast_1.3.ser#122,FA_20240207_2H_yeast_1.3.ser#123,FA_20240207_2H_yeast_1.3.ser#124,FA_20240207_2H_yeast_1.3.ser#125,FA_20240207_2H_yeast_1.3.ser#126,FA_20240207_2H_yeast_1.3.ser#127,FA_20240207_2H_yeast_1.3.ser#128,FA_20240207_2H_yeast_1.3.ser#129,FA_20240207_2H_yeast_1.3.ser#130
-0.663511,8.70831,458.43,135.587,-260.709,-80.1946,118.425,315.928,62.7342,189.634,173.261,-61.287,459.133,-5.44929,-29.3494,181.541,144.262,-154.62,-93.4262,56.8453,-197.375,275.771,244.456,183.96,60.6283,-216.126,64.8775,32.3983,123.705,184.935,-43.9922,-269.242,34.5107,311.735,28.7812,-24.0864,144.556,94.6796,72.4126,-75.5888,13.3413,315.349,177.799,-58.215,-12.6292,103.574,67.106,227.845,74.6098,201.568,-138.784,-129.617,-4.79774,195.369,-71.6779,-7.51198,78.601,-249.706,227.692,-115.233,47.2043,478.573,-110.063,-16.548,137.703,126.285,347.1,-246.687,-50.5302,197.676,54.1091,1.47413,128.488,-48.3295,120.759,-54.2134,-78.8463,-14.8348,-62.3473,247.763,158.737,186.76,-70.7024,-22.12,29.8001,198.363,121.948,-69.4773,-109.543,-53.9572,-337.777,-96.5074,257.726,-77.4222,69.1174,370.318,-119.106,-45.1529,-75.6296,-51.4173,235.691,-218.189,261.653,201.019,152.559,178.921,-127.543,12.5213,44.8886,93.0682,-168.39,-2.40765,-43.8741,318.847,42.3767,-139.208,176.946,-82.2825,118.457,43.1125,-375.702,141.293,-61.1672,179.175,2.24941,102.594,135.02,96.3722,-19.5018,145.228,270.294
-0.659439,-30.2977,488.337,173.835,-233.96,-90.6614,124.364,311.69,85.7976,178.555,182.334,-72.5351,456.407,-6.60777,-40.1948,197.577,129.72,-185.036,-87.7003,48.7197,-189.209,258.959,252.576,158.117,53.2932,-198.294,81.6216,46.4557,117.301,179.422,-74.9874,-265.092,52.2929,307.804,10.7688,-23.5559,145.79,114.533,67.1327,-86.3821,20.9645,304.794,150.901,-61.4168,-18.9255,86.5969,79.0079,200.095,53.5134,182.772,-173.076,-154.348,6.41785,186.498,-87.9491,4.67481,67.1833,-251.409,211.389,-124.83,53.9296,468.689,-108.612,1.30547,122.354,162.843,338.307,-236.243,-72.9258,215.161,66.9909,9.55182,184.265,-94.3391,147.349,-54.7765,-83.6447,3.25794,-63.8387,249.015,137.895,212.871,-80.8719,-13.5737,-4.31607,179.695,122.131,-59.2597,-122.451,-74.1675,-328.067,-80.1526,218.976,-66.3351,92.7388,376.64,-134.99,-2.06904,-75.7162,-49.5727,220.902,-209.021,289.746,174.944,145.965,142.819,-128.766,37.0018,39.5277,87.9055,-128.586,17.9155,-7.77731,305.946,23.5257,-136.099,197.834,-72.6289,109.032,27.8909,-326.861,124.612,-50.3642,181.751,6.51336,83.5077,135.504,152.827,-15.5285,128.189,299.66
-0.655366,-62.5771,510.202,200.172,-204.374,-97.9224,123.716,295.903,102.655,162.204,191.076,-85.8433,451.92,-7.2867,-48.308,212.257,112.944,-210.94,-76.7752,41.6951,-184.525,242.827,257.613,130.78,40.8816,-169.76,94.1535,64.1328,106.056,170.995,-105.746,-260.697,70.4133,308.572,1.16656,-23.4361,149.775,130.584,62.4024,-97.9517,26.1079,292.876,116.16,-67.8391,-19.2765,68.3753,94.8931,175.21,37.3594,168.379,-202.135,-177.564,20.5338,183.677,-108.246,16.7606,57.3297,-252.184,199.116,-130.589,59.0138,458.168,-108.562,20.0796,110.019,204.564,320.896,-225.619,-88.8432,228.033,82.7153,26.1122,231.095,-134.719,179.261,-58.4326,-80.6932,18.8865,-63.9003,252.265,113.712,237.999,-92.2426,-5.58475,-38.8562,153.864,116.897,-39.0867,-134.431,-100.05,-308.407,-68.1965,172.639,-47.9969,120.356,378.616,-142.559,43.4313,-77.143,-42.9404,212.164,-199.675,307.58,143.686,139.013,111.924,-118.137,57.2104,35.2533,82.2082,-85.7846,31.8735,20.1536,286.232,8.69063,-122.949,206.296,-57.7586,97.004,17.5768,-279.523,109.885,-40.7846,174.499,8.58276,65.7142,136.019,211.401,-17.9677,111.709,320.565
-0.651294,-86.5947,521.706,213.732,-173.419,-99.5517,114.439,275.304,115.824,144.603,198.374,-96.8806,442.75,-7.87565,-55.1062,225.782,96.6636,-230.556,-61.8507,36.1708,-185.118,231.199,257.413,102.533,25.7232,-134.65,102.444,81.0094,94.4982,159.78,-132.423,-256.497,88.4921,312.392,-2.84039,-23.0638,158.446,142.351,55.1753,-108.034,31.1664,280.198,79.4611,-77.0213,-16.8767,51.6506,115.73,154.988,26.7328,159.81,-225.907,-197.809,35.8582,187.454,-130.924,28.0162,48.9642,-251.849,192.885,-129.258,62.8354,448.903,-108.962,37.7362,97.896,248.871,298.529,-214.691,-94.6391,235.86,99.6482,47.4999,265.327,-169.296,211.165,-64.7178,-66.557,32.171,-63.3184,258.412,89.502,259.846,-105.159,-2.22119,-70.2811,120.179,106.75,-10.2736,-140.407,-130.25,-281.183,-61.7836,124.337,-25.2827,149.702,374.711,-144.581,90.6962,-80.0287,-32.5212,208.685,-188.227,314.451,110.179,129.866,85.9522,-99.335,71.777,33.1457,75.5872,-42.7618,41.3015,38.4774,263.415,-2.58385,-100.212,200.876,-39.9521,83.8074,13.0938,-239.298,97.8081,-35.7512,159.111,8.83275,51.0894,141.254,265.364,-27.4707,96.3304,332.541
-0.647221,-101.542,520.621,214.845,-141.682,-93.7122,96.8635,256.115,129.278,127.667,203.982,-103.484,426.105,-8.86421,-61.8674,238.456,82.7493,-242.168,-44.9653,32.5183,-190.647,226.164,250.288,74.5177,10.7163,-99.302,105.451,93.6024,88.3288,145.858,-152.579,-253.994,105.594,317.174,-4.2994,-20.9717,173.258,149.367,44.3841,-115.003,37.7228,268.718,46.0373,-88.4365,-15.0531,37.6141,139.503,141.305,21.2245,157.484,-244.124,-213.157,49.3789,196.546,-153.454,38.7442,41.4972,-249.674,193.277,-117.667,65.4958,441.108,-108.094,52.1122,84.6842,291.596,275.086,-203.607,-89.9989,238.358,115.51,69.352,285.121,-199.788,236.598,-72.3255,-38.104,43.2433,-64.0429,266.411,68.3125,276.481,-119.265,-7.00707,-95.4125,79.4429,93.3124,24.3917,-136.347,-161.596,-249.736,-60.2006,80.2883,-2.82099,177.886,364.369,-144.217,138.962,-83.7114,-20.894,208.159,-172.415,309.763,78.2241,117.46,63.7327,-77.8818,79.4853,34.5031,67.7221,-0.636613,50.4606,47.173,243.006,-11.0555,-70.824,184.807,-21.0546,70.6182,14.9027,-208.641,88.985,-35.8493,139.337,8.11104,40.9673,153.918,308.401,-43.9562,81.6561,337.929
-0.643149,-107.524,505.568,205.13,-109.375,-79.8592,72.6937,242.029,146.49,110.391,208.527,-106.064,399.827,-9.94063,-68.5356,250.448,71.8044,-244.094,-28.6252,30.9298,-198.452,228.087,235.281,48.2916,-2.00214,-70.4139,101.733,100.01,91.2116,129.819,-164.928,-255.104,120.141,321.411,-5.08707,-15.6181,193.852,151.408,31.4049,-117.295,45.7878,261.507,19.8348,-101.415,-16.0189,25.5926,162.619,134.702,19.7373,161.256,-256.35,-222.458,58.3062,208.337,-172.987,49.374,33.7633,-245.565,199.474,-95.2156,67.5174,432.864,-104.603,61.9872,70.6795,328.107,254.001,-193.124,-76.7636,235.434,128.286,87.8806,290.044,-227.85,249.864,-79.2069,4.81255,52.5586,-68.4344,273.454,52.7258,286.696,-132.357,-21.1307,-112.211,34.2821,78.5736,60.5055,-120.285,-189.611,-217.246,-61.6784,45.0527,14.617,201.937,348.921,-144.068,186.556,-86.9665,-11.2376,207.11,-151.282,293.043,51.116,102.378,43.763,-58.7911,80.0999,40.3464,59.6554,40.082,63.4091,47.7237,229.951,-17.3167,-39.6655,164.452,-2.13232,57.6647,23.3952,-186.151,83.6563,-39.0087,119.275,6.8178,35.0418,173.302,336.406,-66.0717,66.684,341.146
-0.639076,-105.522,476.93,187.837,-77.1988,-59.2326,44.0639,233.797,168.955,89.952,213.018,-106.559,362.794,-10.2416,-73.6005,261.137,63.4425,-235.643,-15.0108,31.02,-204.523,236.012,212.281,25.3748,-11.4272,-53.0163,90.6752,99.7898,102.8,113.453,-168.945,-260.882,130.355,324.724,-5.43735,-6.42245,216.884,148.423,19.2202,-113.443,53.5804,261.224,3.50781,-115.029,-20.1745,13.6908,182.051,133.726,20.9948,171.046,-262.26,-226.2,61.5116,220.249,-187.135,60.7204,24.6219,-240.514,209.287,-64.7039,70.4938,421.318,-98.0783,67.3969,57.3507,354.996,237.122,-183.995,-57.8248,227.557,136.509,100.606,280.841,-253.094,248.509,-83.7603,57.935,61.0696,-78.015,276.173,44.3784,290.224,-141.079,-43.0847,-119.503,-11.6183,64.3303,92.2779,-93.1053,-210.182,-186.194,-64.6617,19.9832,24.0967,219.223,331.442,-145.493,230.632,-88.7724,-6.22298,202.055,-125.958,264.568,30.0984,87.2289,25.2766,-44.9883,74.6976,50.8817,53.9833,78.568,81.466,43.1667,226.342,-21.3387,-11.5416,146.139,15.8771,44.0364,38.9833,-167.815,80.9282,-41.6394,101.625,4.81822,31.4792,195.428,348.111,-90.9809,50.7217,346.639
-0.635004,-96.9694,437.265,167.03,-46.9175,-34.7859,13.3264,230.123,195.55,64.0509,218.143,-106.569,315.566,-9.12805,-75.2698,268.54,56.7746,-218.061,-5.46899,31.8534,-205.102,248.174,181.895,6.85945,-17.3097,-49.0003,72.8574,93.4873,119.519,99.4504,-164.538,-270.759,135.159,327.236,-4.64804,5.62537,236.166,140.087,10.6921,-102.653,57.9865,268.372,-1.33182,-128.175,-26.128,-0.233491,196.985,135.827,24.3661,187.071,-261.795,-226.096,59.877,231.066,-195.001,74.6747,14.1711,-235.709,219.527,-30.9792,76.7819,404.483,-89.3267,68.9009,46.8233,371.293,223.913,-176.125,-36.7743,215.881,139.07,106.512,259.642,-272.621,234.419,-86.1959,113.722,70.0202,-92.4921,272.385,43.6482,287.608,-142.924,-69.9406,-116.612,-54.692,52.0115,113.835,-58.6518,-220.99,-158.149,-68.5973,3.38257,25.1891,227.989,315.656,-148.659,267.529,-88.7927,-7.50033,191.144,-98.9305,226.06,14.1391,75.6664,9.70392,-36.9185,65.4977,65.4255,53.5086,113.164,102.523,37.2165,230.41,-22.7088,11.0493,133.319,31.582,28.4053,61.3054,-149.39,78.4958,-40.0785,86.8398,2.01274,28.1931,215.017,344.185,-115.042,33.9994,356.326
-0.630931,-83.3572,390.829,145.557,-21.047,-10.2843,-17.1534,229.062,222.54,32.9905,223.595,-105.878,260.797,-6.19453,-73.0053,269.734,50.8628,-194.573,-0.616339,32.6906,-198.149,262.184,145.325,-6.76681,-19.7246,-56.8202,49.6746,81.9217,137.052,90.0357,-151.823,-282.748,135.069,328.393,-2.0727,18.2013,244.708,125.973,7.01494,-85.0723,55.8195,280.69,5.71623,-139.906,-31.536,-17.6262,208.804,139.211,30.4969,209.148,-255.056,-223.744,55.3417,241.18,-197.997,93.9355,4.53401,-231.178,227.006,0.900487,88.2623,382.267,-80.0133,66.9788,41.1603,378.623,212.141,-168.361,-17.4414,201.832,135.488,105.99,230.187,-282.44,212.54,-88.6427,164.229,80.4555,-109.704,262.031,49.8037,279.557,-137.559,-98.8677,-103.667,-92.1633,42.477,121.6,-22.4981,-221.902,-133.337,-73.8303,-8.16912,19.1939,228.057,304.758,-153.24,293.342,-87.5568,-15.5361,175.218,-72.8624,180.624,1.28635,70.2227,0.885005,-33.0537,55.5632,82.5906,59.3432,141.7,122.458,32.384,237.277,-21.5819,28.4905,125.718,43.5277,10.1039,88.2575,-128.345,73.5069,-32.0326,73.3705,-1.11868,24.1543,227.933,326.201,-134.963,17.3673,368.209
-0.626859,-66.4413,342.349,123.771,-1.82915,11.0591,-45.9284,229.265,244.612,0.186275,228.17,-102.181,202.676,-0.560602,-68.0311,262.27,44.9664,-169.628,-0.486825,33.5956,-183.996,274.962,104.615,-15.792,-18.7078,-72.651,22.8432,65.3839,152.227,85.6533,-131.054,-294.269,131.916,326.51,2.4028,28.6184,238.024,106.469,7.19306,-61.6366,45.3849,294.018,23.2812,-149.687,-34.6315,-38.311,219.618,143.918,40.9528,235.496,-242.338,-219.674,49.6254,252.04,-199.494,120.762,-0.786319,-225.352,229.766,26.7077,105.123,356.551,-71.5,62.4556,41.402,380.012,199.731,-159.202,-2.94492,186.635,126.831,100.601,197.269,-279.635,188.616,-93.8433,203.931,92.7651,-126.453,246.701,61.2454,266.372,-126.554,-127.8,-82.1648,-122.315,35.6449,116.317,10.1501,-214.259,-110.313,-80.6358,-18.5217,7.99954,221.381,300.723,-158.944,304.685,-86.4406,-29.2649,157.521,-49.9913,131.886,-9.61681,70.7095,3.11972,-31.3018,48.2323,100.346,70.2759,162.644,137.511,28.6683,240.947,-19.4529,42.6449,120.688,50.9846,-10.2849,116.223,-104.462,63.8763,-17.6956,58.7761,-3.49738,19.5963,232.477,296.621,-148.459,1.35556,377.421
-0.622786,-48.5409,295.775,100.383,9.71532,27.8415,-73.4632,230.715,257.011,-29.1715,230.859,-92.2303,145.776,9.18268,-62.312,245.456,38.6012,-147.877,-4.09497,34.8863,-164.87,283.13,62.8016,-21.4465,-14.0888,-92.174,-5.6741,43.5202,163.167,84.8847,-102.782,-303.257,127.008,319.447,8.42254,34.9321,216.659,83.1945,8.61572,-33.8754,27.291,304.072,48.39,-157.298,-35.4954,-59.8725,230.765,151.274,56.936,262.209,-224.787,-213.52,43.7786,265.614,-203.105,155.565,1.24212,-216.154,227.655,43.6833,125.633,330.556,-63.9721,57.2299,47.0745,377.783,186.316,-147.714,5.03348,171.257,116.13,92.7244,165.456,-263.773,167.539,-103.448,230.99,106.432,-139.707,228.536,75.484,248.364,-112.136,-155.223,-55.0589,-144.878,30.1156,103.097,36.0971,-199.582,-86.5229,-88.111,-31.0446,-6.54366,211.957,303.988,-165.117,299.768,-87.154,-46.0968,141.974,-31.7593,82.9808,-18.1623,74.7405,18.4447,-30.8218,46.0317,116.144,83.9415,175.99,146.014,24.1625,236.42,-18.5501,55.0728,115.569,53.9389,-30.9656,141.494,-79.4983,49.007,0.275226,41.0557,-4.13605,15.0245,229.27,259.138,-154.143,-14.2973,379.046
-0.618713,-31.8981,253.747,74.6642,14.2408,41.0897,-101.87,234.619,257.647,-50.4573,231.743,-74.0139,94.3456,23.7467,-57.0399,220.759,31.5819,-133.177,-9.15269,35.8363,-143.509,283.9,23.2682,-25.7006,-5.7408,-111.697,-33.2722,16.0836,168.35,85.4273,-68.2933,-308.996,119.466,305.856,15.3826,36.4831,186.148,58.2275,8.42414,-3.77361,3.93139,308.276,77.8308,-162.567,-35.7994,-78.1467,242.299,162.439,78.2235,283.943,-204.917,-204.875,38.5771,283.964,-210.874,196.097,11.3023,-203.041,221.954,51.0361,146.854,307.743,-56.8181,54.0733,56.6921,372.1,173.405,-133.752,6.32725,156.684,107.067,85.2898,137.977,-236.927,152.546,-116.959,246.629,120.063,-147.608,209.418,89.172,227.018,-96.1151,-179.8,-26.3499,-161.179,23.1088,89.2319,54.71,-178.913,-59.897,-94.1114,-47.6274,-22.6727,204.745,313.331,-169.859,279.532,-91.0097,-62.9403,130.794,-18.0476,36.1238,-22.7353,79.814,45.3597,-32.7525,49.7052,127.419,98.4212,182.781,148.583,16.9855,221.071,-19.8439,66.4751,109.448,52.4556,-49.0826,161.605,-56.5198,29.6514,18.2064,19.3674,-3.11934,10.356,220.36,218.065,-151.306,-29.9818,370.676
-0.614641,-17.4287,217.804,48.0643,14.0411,53.558,-133.269,242.253,247.796,-61.2967,231.687,-48.5288,52.2307,41.8051,-52.0442,191.455,24.0279,-127.861,-12.9799,34.1764,-121.663,275.617,-11.4073,-30.5541,6.19507,-128.282,-56.733,-16.2103,165.919,85.0343,-29.928,-311.71,106.833,286.25,22.6259,33.5546,154.554,33.1641,4.95215,26.4496,-21.6645,306.677,109.486,-165.496,-36.9556,-89.0039,253.246,177.126,103.375,295.352,-185.701,-193.969,35.0293,308.473,-222.868,238.014,27.0262,-188.371,214.692,49.7731,165.479,290.767,-49.6874,55.5439,68.5978,361.415,163.459,-117.494,1.90671,144.198,101.988,81.3172,116.193,-202.87,145.168,-131.973,253.383,131.751,-149.79,190.568,98.7099,205.388,-79.7026,-200.606,-0.215203,-173.454,11.1948,81.0534,67.5696,-153.351,-30.4042,-96.5769,-67.7905,-38.5364,203.844,326.148,-169.919,247.966,-98.7458,-77.6489,123.115,-6.58693,-6.85545,-21.332,84.7847,79.7851,-39.1695,58.1724,132.345,112.9,183.736,147.01,6.83287,194.917,-21.4958,77.523,103.406,46.6155,-60.6739,175.581,-38.9561,7.34601,33.1887,-6.04845,-2.14131,5.32821,207.804,177.005,-139.954,-45.2409,353.16
-0.610568,-4.42996,188.813,23.855,12.2555,67.6776,-168.246,253.262,231.106,-61.5121,231.287,-19.5079,22.5065,60.0814,-46.367,161.644,16.1847,-132.546,-13.9897,27.2253,-99.4304,257.666,-40.2115,-37.0926,21.5068,-139.365,-73.2847,-51.1165,153.975,82.1885,9.17626,-311.123,87.8298,263.29,29.7527,26.5179,129.234,8.96529,-1.94296,54.5615,-46.3071,301.271,142.304,-166.898,-38.5895,-90.2627,261.873,193.074,130.727,292.542,-168.758,-181.74,34.5633,338.623,-238.036,276.651,44.0435,-176.656,208.126,42.1237,178.599,280.74,-42.9207,63.0679,81.1275,344.389,158.724,-99.0705,-6.61384,135.282,101.555,82.87,99.4739,-166.122,145.881,-145.552,253.474,139.393,-147.06,172.425,101.21,186.816,-63.9383,-217.732,20.3379,-183.758,-8.19337,81.5311,77.3805,-124.827,-0.10929,-94.9057,-88.8894,-52.0124,210.896,339.305,-161.902,210.93,-110.648,-89.7273,115.545,6.28404,-43.5772,-12.4913,89.509,117.144,-51.395,69.2108,130.551,127.281,178.495,142.775,-4.79737,159.914,-19.6232,89.7891,99.5826,37.1633,-60.9729,183.027,-29.4433,-16.0341,43.8174,-34.0222,-4.10582,0.561078,192.253,138.479,-120.832,-58.8048,329.396
-0.606496,8.32458,167.441,5.07918,11.2165,83.5333,-205.668,264.669,211.739,-51.9005,230.136,8.71,6.23568,74.9103,-39.144,134.866,8.20926,-146.239,-12.4274,13.7435,-75.6782,230.23,-63.5326,-44.6382,39.9452,-142.236,-81.6142,-84.7077,131.456,76.7328,45.7226,-305.635,64.4446,241.018,37.0169,15.5162,114.641,-13.7592,-11.9796,78.3548,-66.0933,294.218,175.207,-168.686,-39.1461,-82.5525,265.888,206.651,158.821,274.254,-153.656,-169.282,38.754,371.032,-254.83,308.567,58.2682,-171.957,204.201,31.3578,184.708,276.788,-36.9841,76.6526,92.1835,321.528,160.132,-78.6032,-17.1747,131.018,105.939,89.8577,85.4541,-130.937,154.69,-155.527,248.016,140.782,-141.047,154.855,95.2024,173.084,-50.051,-232.297,34.7859,-193.298,-35.2705,89.6483,86.5811,-95.9233,28.296,-89.828,-107.586,-60.7067,224.596,350.12,-144.079,174.027,-126.015,-99.859,104.095,23.5609,-71.0438,3.75653,93.7509,153.941,-68.9448,80.1117,123.265,141.475,166.16,136.208,-15.4294,119.13,-11.053,105.339,100.021,25.892,-45.7644,183.154,-29.0673,-38.4985,49.7727,-62.264,-11.6346,-2.12566,172.674,104.859,-95.4325,-69.8516,302.346
-0.602423,21.3462,154.307,-7.4614,10.9638,98.4279,-243.652,271.775,193.034,-33.2018,226.835,33.2735,1.45769,83.9899,-29.9746,113.035,0.159968,-166.551,-9.91769,-5.04366,-48.9877,194.148,-82.287,-50.473,60.7143,-133.941,-81.46,-112.223,98.8839,69.8366,76.879,-293.052,41.0245,223.304,45.3897,1.27874,111.942,-34.7303,-25.5558,95.7309,-76.0301,286.22,206.342,-172.991,-37.7888,-68.9969,263.044,214.257,186.009,242.406,-138.924,-157.142,48.7593,400.154,-270.908,331.887,67.9837,-175.391,203.8,21.4618,184.383,276.434,-31.9368,94.9028,99.333,295.307,166.537,-56.2272,-27.2269,131.581,115.275,99.9771,70.9227,-100.328,171.19,-160.875,236.854,134.249,-133.904,137.883,80.9463,163.647,-39.5698,-245.593,45.2662,-202.368,-67.5597,101.333,96.5565,-68.8088,52.9459,-82.2506,-121.54,-62.4798,241.41,356.82,-117.593,141.063,-142.241,-108.871,86.1171,45.8341,-86.8266,25.5853,96.9801,188.268,-89.357,88.1362,112.477,155.006,146.43,126.92,-22.8183,76.3674,4.41792,125.175,105.987,15.0333,-13.4035,175.132,-37.4649,-58.3257,51.2989,-87.3838,-25.3763,-0.571737,147.483,78.9966,-66.2855,-79.3052,273.973
-0.598351,34.132,149.331,-15.6205,9.49759,108.296,-280.571,270.74,177.488,-5.94771,219.545,53.3102,4.08254,87.2488,-18.8729,96.3119,-7.81373,-190.25,-8.23655,-25.9111,-18.6529,150.663,-97.0422,-50.6934,82.1746,-112.536,-72.3314,-129.832,58.5825,62.9899,100.824,-272.204,21.5342,212.213,55.9464,-13.9138,119.87,-54.0474,-43.3786,105.323,-71.1177,275.971,233.486,-180.471,-35.2363,-53.9742,252.21,213.762,210.304,201.342,-123.292,-145.262,64.9453,420.775,-282.852,345.996,74.3147,-184.609,206.559,15.6556,179.716,276.877,-27.805,115.176,100.986,269.066,174.94,-32.1319,-33.9942,136.444,129.034,110.357,53.1621,-75.5923,194.54,-161.464,218.961,119.82,-127.743,122.638,60.5854,156.246,-34.0805,-257.994,54.9986,-210.588,-101.217,111.313,107.747,-44.356,73.1869,-72.6938,-130.171,-56.4055,257.002,358.36,-86.2629,113.84,-154.779,-117.016,61.1423,71.1627,-90.3936,50.2861,99.1014,219.747,-108.884,91.1174,99.7337,166.863,120.39,114.969,-25.8255,35.7875,24.0709,148.254,117.665,6.03965,33.9656,159.601,-53.2261,-74.7331,49.2591,-105.63,-43.7163,6.40046,115.864,63.3327,-36.9954,-89.8376,245.626
