2H chemical shift (ppm),FA_20240207_2H_yeast_1.5.ser#1,FA_20240207_2H_yeast_1.5.ser#2,FA_20240207_2H_yeast_1.5.ser#3,FA_20240207_2H_yeast_1.5.ser#4,FA_20240207_2H_yeast_1.5.ser#5,FA_20240207_2H_yeast_1.5.ser#6,FA_20240207_2H_yeast_1.5.ser#7,FA_20240207_2H_yeast_1.5.ser#8,FA_20240207_2H_yeast_1.5.ser#9,FA_20240207_2H_yeast_1.5.ser#10,FA_20240207_2H_yeast_1.5.ser#11,FA_20240207_2H_yeast_1.5.ser#12,FA_20240207_2H_yeast_1.5.ser#13,FA_20240207_2H_yeast_1.5.ser#14,FA_20240207_2H_yeast_1.5.ser#15,FA_20240207_2H_yeast_1.5.ser#16,FA_20240207_2H_yeast_1.5.ser#17,FA_20240207_2H_yeast_1.5.ser#18,FA_20240207_2H_yeast_1.5.ser#19,FA_20240207_2H_yeast_1.5.ser#20,FA_20240207_2H_yeast_1.5.ser#21,FA_20240207_2H_yeast_1.5.ser#22,FA_20240207_2H_yeast_1.5.ser#23,FA_20240207_2H_yeast_1.5.ser#24,FA_20240207_2H_yeast_1.5.ser#25,FA_20240207_2H_yeast_1.5.ser#26,FA_20240207_2H_yeast_1.5.ser#27,FA_20240207_2H_yeast_1.5.ser#28,FA_20240207_2H_yeast_1.5.ser#29,FA_20240207_2H_yeast_1.5.ser#30,FA_20240207_2H_yeast_1.5.ser#31,FA_20240207_2H_yeast_1.5.ser#32,FA_20240207_2H_yeast_1.5.ser#33,FA_20240207_2H_yeast_1.5.ser#34,FA_20240207_2H_yeast_1.5.ser#35,FA_20240207_2H_yeast_1.5.ser#36,FA_20240207_2H_yeast_1.5.ser#37,FA_20240207_2H_yeast_1.5.ser#38,FA_20240207_2H_yeast_1.5.ser#39,FA_20240207_2H_yeast_1.5.ser#40,FA_20240207_2H_yeast_1.5.ser#41,FA_20240207_2H_yeast_1.5.ser#42,FA_20240207_2H_yeast_1.5.ser#43,FA_20240207_2H_yeast_1.5.ser#44,FA_20240207_2H_yeast_1.5.ser#45,FA_20240207_2H_yeast_1.5.ser#46,FA_20240207_2H_yeast_1.5.ser#47,FA_20240207_2H_yeast_1.5.ser#48,FA_20240207_2H_yeast_1.5.ser#49,FA_20240207_2H_yeast_1.5.ser#50,FA_20240207_2H_yeast_1.5.ser#51,FA_20240207_2H_yeast_1.5.ser#52,FA_20240207_2H_yeast_1.5.ser#53,FA_20240207_2H_yeast_1.5.ser#54,FA_20240207_2H_yeast_1.5.ser#55,FA_20240207_2H_yeast_1.5.ser#56,FA_20240207_2H_yeast_1.5.ser#57,FA_20240207_2H_yeast_1.5.ser#58,FA_20240207_2H_yeast_1.5.ser#59,FA_20240207_2H_yeast_1.5.ser#60,FA_20240207_2H_yeast_1.5.ser#61,FA_20240207_2H_yeast_1.5.ser#62,FA_20240207_2H_yeast_1.5.ser#63,FA_20240207_2H_yeast_1.5.ser#64,FA_20240207_2H_yeast_1.5.ser#65,FA_20240207_2H_yeast_1.5.ser#66,FA_20240207_2H_yeast_1.5.ser#67,FA_20240207_2H_yeast_1.5.ser#68,FA_20240207_2H_yeast_1.5.ser#69,FA_20240207_2H_yeast_1.5.ser#70,FA_20240207_2H_yeast_1.5.ser#71,FA_20240207_2H_yeast_1.5.ser#72,FA_20240207_2H_yeast_1.5.ser#73,FA_20240207_2H_yeast_1.5.ser#74,FA_20240207_2H_yeast_1.5.ser#75,FA_20240207_2H_yeast_1.5.ser#76,FA_20240207_2H_yeast_1.5.ser#77,FA_20240207_2H_yeast_1.5.ser#78,FA_20240207_2H_yeast_1.5.ser#79,FA_20240207_2H_yeast_1.5.ser#80,FA_20240207_2H_yeast_1.5.ser#81,FA_20240207_2H_yeast_1.5.ser#82,FA_20240207_2H_yeast_1.5.ser#83,FA_20240207_2H_yeast_1.5.ser#84,FA_20240207_2H_yeast_1.5.ser#85,FA_20240207_2H_yeast_1.5.ser#86,FA_20240207_2H_yeast_1.5.ser#87,FA_20240207_2H_yeast_1.5.ser#88,FA_20240207_2H_yeast_1.5.ser#89,FA_20240207_2H_yeast_1.5.ser#90,FA_20240207_2H_yeast_1.5.ser#91,FA_20240207_2H_yeast_1.5.ser#92,FA_20240207_2H_yeast_1.5.ser#93,FA_20240207_2H_yeast_1.5.ser#94,FA_20240207_2H_yeast_1.5.ser#95,FA_20240207_2H_yeast_1.5.ser#96,FA_20240207_2H_yeast_1.5.ser#97,FA_20240207_2H_yeast_1.5.ser#98,FA_20240207_2H_yeast_1.5.ser#99,FA_20240207_2H_yeast_1.5.ser#100,FA_20240207_2H_yeast_1.5.ser#101,FA_20240207_2H_yeast_1.5.ser#102,FA_20240207_2H_yeast_1.5.ser#103,FA_20240207_2H_yeast_1.5.ser#104,FA_20240207_2H_yeast_1.5.ser#105,FA_20240207_2H_yeast_1.5.ser#106,FA_20240207_2H_yeast_1.5.ser#107,FA_20240207_2H_yeast_1.5.ser#108,FA_20240207_2H_yeast_1.5.ser#109,FA_20240207_2H_yeast_1.5.ser#110,FA_20240207_2H_yeast_1.5.ser#111,FA_20240207_2H_yeast_1.5.ser#112,FA_20240207_2H_yeast_1.5.ser#113,FA_20240207_2H_yeast_1.5.ser#114,FA_20240207_2H_yeast_1.5.ser#115,FA_20240207_2H_yeast_1.5.ser#116,FA_20240207_2H_yeast_1.5.ser#117,FA_20240207_2H_yeast_1.5.ser#118,FA_20240207_2H_yeast_1.5.ser#119,FA_20240207_2H_yeast_1.5.ser#120,FA_20240207_2H_yeast_1.5.ser#121,FA_20240207_2H_yeast_1.5.ser#122,FA_20240207_2H_yeast_1.5.ser#123,FA_20240207_2H_yeast_1.5.ser#124,FA_20240207_2H_yeast_1.5.ser#125,FA_20240207_2H_yeast_1.5.ser#126,FA_20240207_2H_yeast_1.5.ser#127,FA_20240207_2H_yeast_1.5.ser#128,FA_20240207_2H_yeast_1.5.ser#129,FA_20240207_2H_yeast_1.5.ser#130
1.58867,-200.095,54.6888,-49.7546,-185.819,140.486,338.451,-66.5361,-80.7165,54.6667,117.366,12.079,-4.09277,-49.0828,-79.0044,-22.6251,-24.8505,97.1927,-135.307,-144.057,-65.7325,-202.553,-39.0101,5.05615,307.621,-132.306,137.148,120.245,-308.004,298.611,-63.3246,-76.5194,-192.607,11.9725,-39.1874,-165.633,71.4391,-1.09723,-264.772,-226.462,-170.098,115.433,112.505,-37.2216,-230.481,16.2623,-144.028,-87.5457,-22.7437,64.1702,-220.558,-110.368,-152.359,31.4184,124.198,119.486,-186.61,-146.231,-92.11,-190.38,113.812,-342.219,91.3811,19.4377,128.015,158.48,7.85626,224.174,-112.383,123.937,-167.397,-153.585,-67.6205,-270.788,-185.864,98.2358,-158.304,-70.109,269.364,-314.025,-86.3465,-174.83,194.668,133.253,90.2791,-342.549,87.7305,-137.695,57.0507,27.9911,-171.883,-42.0711,-284.698,163.147,-279.207,123.798,61.8199,-119.775,155.668,-86.9422,-108.195,179.021,-371.479,54.6522,24.5724,120.99,-333.637,16.9692,153.555,-222.582,-162.259,0.76178,-376.201,-315.721,-44.487,133.441,125.677,13.9531,252.848,-257.131,43.928,-297.186,-28.735,-195.656,311.558,76.4194,-299.715,123.453,38.7938,49.7119,223.404
1.59274,-170.413,34.6691,-4.13275,-190.054,135.281,365.229,-71.4508,-114.103,49.3399,91.3758,23.0904,4.08179,-62.3575,-68.1993,-25.3522,-9.76709,62.4968,-141.452,-130.717,-55.2568,-200.078,-60.8261,1.5141,328.325,-145.508,99.8233,99.0419,-314.657,298.001,-59.8179,-110.139,-183.42,-3.1521,-22.9294,-167.905,57.8859,-11.0196,-261.118,-222.893,-186.059,135.801,108.897,-37.2331,-245.931,32.7581,-156.521,-101.66,-11.2122,66.7568,-222.181,-121.711,-139.868,31.8254,142.057,115.483,-207.836,-148.752,-93.9188,-184.554,141.182,-332.75,88.9413,-19.3353,152.698,151.838,35.645,221.722,-135.902,106.113,-197.659,-124.935,-80.5188,-278.933,-182.857,98.7866,-169.965,-93.2684,267.456,-295.381,-79.7719,-176.254,182.293,166.321,69.0563,-326.463,89.7799,-140.265,60.9171,40.9441,-211.207,-8.1543,-275.296,159.059,-285.819,121.949,40.1456,-126.058,175.877,-92.3465,-119.268,166.664,-394.508,50.9474,2.2962,96.75,-335.432,12.0333,138.904,-238.394,-152.448,4.98547,-375.621,-291.036,-53.9959,157.905,148.589,32.0227,290.351,-271.349,53.1819,-291.388,-22.5098,-200.532,305.445,53.1147,-278.788,133.794,-4.99542,31.7023,211.57
1.59682,-140.335,14.6494,28.6782,-185.418,130.076,387.4,-76.3655,-150.665,57.4482,78.189,22.0594,12.2563,-75.6321,-57.3942,-9.13367,5.31628,22.012,-147.597,-117.376,-44.7811,-186.186,-82.6422,-2.02795,337.136,-158.709,62.4986,77.8391,-311.649,277.968,-56.3113,-143.759,-163.393,-18.2767,-6.67139,-163.611,44.3326,-20.942,-250.14,-219.323,-201.32,149.849,96.5214,-31.3406,-249.65,37.6525,-169.015,-115.775,0.319275,69.3434,-223.804,-133.757,-117.524,32.2324,141.349,108.582,-229.062,-150.553,-95.7274,-178.728,168.552,-311.779,86.5015,-57.7535,171.957,145.196,63.0884,219.27,-165.848,77.3111,-230.964,-96.2858,-87.7968,-287.078,-179.85,83.6444,-173.038,-115.724,259.106,-276.738,-73.1974,-177.679,159.531,188.569,47.8334,-310.376,81.308,-143.543,75.6204,53.8971,-250.531,23.2827,-252.514,154.971,-294.944,106.065,23.9307,-132.342,186.73,-97.7508,-130.341,139.549,-417.195,47.2425,-19.98,72.5099,-337.227,4.73334,124.253,-254.206,-126.37,9.20923,-374.693,-266.351,-69.307,182.368,155.55,45.8303,314.779,-273.774,46.6699,-285.589,-16.2845,-184.93,299.333,29.8099,-257.861,161.196,-45.8426,13.6927,199.737
1.60089,-110.256,-5.37036,50.9775,-171.32,124.871,395.922,-81.2803,-180.3,65.5566,65.0021,21.0284,20.4309,-88.9068,-46.5891,7.0849,20.3997,-18.4729,-153.742,-104.036,-34.3054,-172.294,-104.458,-5.57007,345.947,-171.911,25.1739,56.6364,-302.985,257.935,-52.8046,-177.379,-137.648,-33.4013,9.58661,-147.858,30.7794,-30.8643,-227.637,-215.754,-216.581,154.358,84.1456,-25.4481,-253.37,42.5468,-181.508,-129.889,11.8508,71.9301,-225.428,-145.804,-89.4131,32.6394,140.642,95.8857,-250.288,-152.354,-97.5362,-172.902,195.921,-290.808,84.0616,-96.1716,179.647,138.554,90.5319,216.818,-184.369,48.5094,-258.86,-67.6361,-83.834,-295.222,-176.844,57.5854,-170.686,-138.18,239.51,-258.094,-66.6228,-179.103,125.69,199.276,26.6107,-294.29,61.6132,-146.822,90.3238,66.85,-289.855,54.7198,-229.731,150.883,-298.586,79.4035,7.71582,-138.625,186.891,-103.155,-141.414,112.434,-439.883,43.5376,-42.2562,48.2697,-339.023,2.8371,109.601,-270.017,-100.291,13.433,-373.764,-241.666,-95.3299,206.832,151.877,49.1464,328.479,-267.466,29.1901,-279.79,-10.0593,-169.327,293.22,6.50519,-236.935,188.598,-81.4596,-4.31689,187.903
1.60496,-91.9619,-16.7766,61.2325,-134.599,114.5,389.943,-74.1094,-203.083,82.9716,49.0812,18.3668,18.9662,-100.263,-28.6856,26.4413,21.6229,-59.0783,-152.019,-97.5925,-22.59,-151.801,-127.227,-14.8407,339.211,-186.165,5.04236,39.4044,-282.656,236.567,-52.6084,-190.266,-113.333,-58.162,27.1902,-127.211,29.2993,-36.5151,-197.811,-213.853,-225.542,150.222,66.7248,-17.8644,-254.706,33.4832,-199.849,-153.527,4.43292,72.8325,-220.515,-132.878,-55.7754,44.2679,131.929,79.5674,-254.955,-149.232,-107.579,-164.173,205.591,-258.455,85.1707,-135.655,178.781,134.986,121.658,199.098,-180.754,21.8803,-273.685,-45.8964,-69.9184,-311.846,-186.709,17.1412,-160.931,-152.779,213.939,-234.392,-69.3774,-158.53,93.4641,198.562,20.7838,-261.031,39.4633,-132.615,105.14,61.1513,-333.499,75.3361,-213.752,134.5,-281.206,43.7597,-14.2997,-119.277,188.053,-120.817,-130.804,85.2076,-465.757,48.4913,-53.0028,25.8214,-332.93,13.2119,93.7911,-295.692,-75.9639,7.56512,-365.815,-219.001,-128.494,211.566,143.331,37.3811,332.904,-247.183,10.6821,-247.548,-7.3559,-140.552,269.065,-11.1778,-217.432,223.145,-103.238,-18.0547,188.652
1.60903,-80.0239,-28.1828,60.9758,-88.4162,104.129,375.775,-66.9384,-214.323,100.387,33.1603,15.7051,17.5015,-111.619,-10.7821,45.7978,22.846,-99.6837,-150.296,-91.149,-10.8745,-131.308,-149.995,-24.1114,332.475,-200.419,-15.0892,22.1725,-262.327,215.199,-52.4122,-203.153,-89.0181,-82.9227,44.7938,-106.564,27.8192,-42.166,-162.223,-211.953,-234.503,136.546,55.0696,-10.2807,-256.043,24.4196,-218.191,-177.165,-2.98499,73.7347,-215.603,-119.952,-27.9048,55.8964,123.215,63.249,-259.623,-134.583,-117.622,-155.445,215.26,-226.102,86.2797,-163.78,172.13,131.417,147.26,181.378,-177.139,-4.74872,-277.693,-24.1567,-44.7621,-328.47,-196.573,-23.303,-138.519,-156.121,188.368,-210.69,-72.1321,-137.958,61.2383,186.307,14.9568,-227.772,11.7021,-118.409,119.956,55.4526,-377.143,95.9525,-197.773,118.116,-254.688,-2.66251,-36.3153,-99.9295,189.216,-149.175,-120.193,68.7139,-486.169,53.445,-63.7494,3.37314,-326.837,34.3942,77.9811,-321.366,-51.6364,1.6972,-352.295,-196.337,-161.658,216.301,124.15,20.3702,326.6,-221.659,-7.82593,-215.305,-4.65259,-111.777,244.909,-28.8608,-197.928,257.692,-114.557,-31.7926,189.4
1.61311,-70.4694,-39.589,50.8646,-46.9645,93.7574,349.493,-44.6012,-212.434,117.802,17.2394,1.0011,16.0367,-122.976,7.12146,67.6409,24.0692,-140.289,-148.573,-96.121,-11.0605,-110.816,-172.763,-33.382,325.739,-214.674,-35.2208,4.94067,-241.645,193.831,-52.216,-216.04,-70.7781,-107.683,62.3974,-90.5717,26.3391,-47.8168,-129.515,-210.053,-243.464,116.193,53.9849,-8.60095,-257.379,3.75449,-236.532,-200.803,-10.4028,74.6371,-210.69,-107.026,-9.52588,67.5249,103.362,46.5685,-264.29,-109.848,-127.665,-146.717,206.297,-191.232,87.3887,-182.558,170.541,119.101,163.424,163.657,-172.81,-9.42273,-287.447,-13.3813,-5.32068,-344.396,-206.438,-64.4295,-104.239,-145.861,162.094,-186.988,-74.8868,-117.385,25.8964,163.232,31.0263,-194.513,-24.827,-104.203,123.258,49.7538,-420.446,116.569,-192.681,91.2258,-236.052,-51.1057,-58.3309,-80.5819,189.71,-192.911,-109.583,61.6111,-493.606,58.3987,-74.496,-19.0751,-320.744,65.3708,62.1712,-340.389,-27.3089,-4.17065,-334.25,-162.895,-194.822,221.035,95.0002,5.65424,310.239,-198.536,-27.0194,-183.062,-1.94928,-83.0018,220.754,-46.5437,-172.512,282.002,-116.396,-51.3703,200.653
1.61718,-73.6266,-50.9952,30.2419,-5.51288,83.3863,323.211,-22.264,-203.62,135.217,1.31842,-13.7029,14.572,-134.332,25.025,83.8002,25.2924,-180.895,-146.85,-101.093,-11.2464,-90.3228,-195.531,-42.6526,319.003,-228.928,-55.3523,-12.2912,-220.962,172.463,-52.0198,-228.927,-62.0676,-132.444,80.001,-86.0393,24.8589,-53.4676,-96.8077,-208.152,-252.425,95.84,62.5095,-6.92126,-258.716,-16.9106,-254.873,-224.441,-17.8207,75.5394,-205.777,-94.1003,-2.68121,79.1534,83.5085,29.888,-268.957,-73.5857,-137.708,-137.988,197.333,-162.114,88.4977,-195.657,163.167,101.111,168.539,145.937,-168.481,-14.0968,-297.201,-2.60608,45.3615,-360.323,-216.303,-105.556,-64.5355,-124.343,135.82,-163.286,-77.6414,-96.8123,-3.90567,128.617,47.0958,-161.254,-61.3561,-89.9965,126.56,44.0551,-463.749,137.185,-187.589,64.3356,-211.932,-104.938,-80.3464,-61.2343,190.204,-236.647,-98.9723,65.2411,-490.117,63.3525,-85.2426,-41.5233,-314.651,107.155,46.3613,-350.237,-2.98145,-10.0385,-310.633,-129.453,-227.987,225.769,55.2164,-9.06171,283.15,-175.414,-46.2129,-150.82,0.754089,-54.2267,196.599,-64.2267,-157.608,306.311,-107.774,-60.566,211.905
1.62125,-82.875,-44.2173,8.08624,30.616,88.6916,291.3,-4.6662,-182.108,156.83,-12.2018,-32.2955,5.15491,-145.209,31.0215,82.9084,17.9496,-222.465,-150.411,-110.108,-17.631,-78.8687,-221.394,-53.3937,302.604,-233.357,-59.3579,-19.0921,-203.815,166.389,-36.2986,-223.598,-70.5101,-156.72,92.7115,-91.8922,25.004,-77.8656,-63.3799,-203.39,-256.72,77.0369,77.2802,-6.34851,-275.449,-31.7749,-280.136,-239.508,-25.2386,71.6293,-185.271,-93.3676,-4.24689,90.7819,56.693,15.2599,-274.992,-32.04,-150.615,-119.044,174.396,-142.341,106.249,-202.368,145.188,74.255,164.446,136.673,-146.063,-22.2013,-294.56,-2.33838,102.367,-371.836,-236.082,-146.683,-32.5166,-102.825,121.026,-127.06,-69.9904,-76.2396,-16.511,95.2029,66.3584,-124.613,-105.016,-84.2962,124.895,38.3563,-507.393,171.778,-172.29,44.3728,-180.273,-155.627,-83.2539,-33.9152,184.907,-275.257,-85.5864,71.3306,-477.295,76.2987,-103.971,-52.324,-292.546,156.482,20.3564,-346.667,4.40045,-33.1414,-281.099,-93.7651,-243.298,216.657,12.3311,-34.3783,247.903,-158.515,-60.3795,-117.899,-4.79706,-25.4516,169.745,-62.0172,-165.702,315.479,-94.3579,-50.5119,227.972
1.62532,-98.4792,-37.4393,-14.0695,66.7449,93.9968,267.577,12.9316,-160.597,178.444,-25.7221,-50.8881,-4.26221,-156.086,37.0179,70.6493,10.6068,-264.035,-153.972,-119.123,-24.0156,-67.4144,-247.258,-64.1348,286.205,-237.787,-63.3634,-25.8929,-186.667,160.316,-20.5775,-218.269,-84.6703,-180.996,105.422,-103.475,25.1492,-102.264,-35.7148,-198.628,-261.014,58.2338,92.0508,-5.77582,-292.182,-46.6393,-305.399,-254.575,-32.6565,67.7193,-164.764,-92.6348,-11.5797,102.41,29.8775,0.631958,-281.027,9.50562,-163.522,-100.1,151.459,-134.07,124.001,-209.078,115.64,37.9422,154.828,127.409,-123.644,-30.3058,-291.919,-2.07068,159.372,-372.199,-255.86,-187.809,-0.497742,-81.3076,106.233,-90.8332,-62.3394,-55.6669,-18.0367,61.7894,85.6211,-87.9726,-148.677,-78.5959,112.393,32.6575,-545.58,206.371,-156.992,33.6464,-148.613,-200.926,-86.1613,-6.59607,179.609,-313.868,-72.2004,77.4202,-459.01,89.2449,-122.7,-63.1246,-270.441,205.809,-5.64838,-330.254,11.7824,-56.2444,-257.135,-58.0775,-247.897,207.546,-30.5543,-59.6949,212.656,-141.617,-74.5462,-84.9784,-10.3481,3.32349,142.892,-59.8076,-173.795,324.646,-80.942,-40.4578,244.039
1.6294,-124.014,-30.6614,-21.4433,102.874,99.3021,251.532,30.5293,-138.653,200.057,-26.439,-72.2404,-13.6793,-178.472,43.0144,67.6261,3.26404,-293.304,-157.532,-128.138,-30.4003,-67.3773,-272.406,-74.8759,269.806,-241.515,-67.369,-32.6938,-169.52,154.243,-4.85638,-212.939,-96.2099,-191.696,118.133,-112.551,14.1498,-125.95,-10.5708,-193.866,-265.309,50.8781,107.062,6.60492,-320.647,-61.5037,-329.946,-269.642,-40.0744,63.8093,-144.257,-91.9021,-16.3893,114.039,3.75824,-7.47626,-287.062,34.481,-176.429,-81.1557,128.521,-127.956,141.753,-217.918,71.3895,-0.971252,147.627,118.145,-101.226,-38.0672,-289.278,-12.7675,211.459,-362.806,-275.639,-228.936,21.0106,-64.715,102.686,-54.6067,-48.9474,-35.0942,-9.52127,21.8839,104.884,-59.9617,-191.636,-72.8957,87.925,26.9588,-570.465,240.401,-141.694,31.3481,-116.611,-233.875,-89.0688,20.7231,174.311,-337.101,-58.8145,73.4478,-443.116,102.191,-141.428,-73.9253,-248.336,247.368,-31.6531,-305.239,19.1643,-79.3474,-246.052,-34.964,-239.553,198.435,-68.7873,-85.0115,174.391,-124.718,-88.7128,-46.6333,-18.3206,32.0986,116.039,-57.5981,-182.546,316.752,-66.8723,-29.7548,260.105
1.63347,-149.55,-23.8835,-18.3055,139.003,104.607,243.676,48.1271,-116.71,221.671,-27.1558,-87.5716,-23.0964,-200.859,49.0109,58.9192,-4.0788,-322.573,-161.093,-137.153,-36.7849,-67.3401,-297.555,-85.617,253.407,-245.243,-71.3745,-39.4948,-152.372,148.17,10.8647,-207.61,-107.75,-190.761,130.843,-121.627,3.15051,-149.636,3.04791,-189.104,-269.603,43.5223,122.073,18.9856,-349.111,-76.368,-354.493,-284.709,-47.4923,59.8992,-123.751,-91.1693,-21.199,125.667,-22.3611,-5.92554,-293.097,47.9293,-189.336,-62.2115,105.584,-127.593,159.505,-221.08,15.5698,-45.5588,140.426,108.881,-78.8074,-45.8287,-286.637,-23.4642,252.306,-342.262,-295.418,-270.062,42.519,-59.3795,99.1383,-18.3802,-35.5553,-14.5215,10.0739,-6.48053,124.146,-37.5485,-234.595,-67.1955,63.457,21.26,-584.435,274.43,-126.395,38.2862,-84.6085,-248.86,-91.9762,48.0422,169.013,-349.636,-45.4286,69.4755,-427.221,115.137,-160.157,-84.7259,-226.231,283.523,-57.658,-274.719,26.5462,-102.45,-246.11,-22.6284,-220.497,189.324,-96.3864,-110.328,141.491,-107.819,-102.879,-19.137,-21.0102,60.8737,89.1855,-55.3885,-191.296,308.857,-52.8025,-19.0517,276.172
1.63754,-169.937,-9.85284,-14.2645,158.535,107.129,249.927,53.4911,-100.519,229.692,-23.9883,-87.2697,-28.5072,-223.86,35.7872,39.4073,-19.3109,-340.339,-181.409,-140.817,-44.9825,-65.4596,-316.336,-74.8989,224.295,-240.96,-65.2569,-39.8059,-131.115,132.188,33.5635,-205.022,-113.05,-175.538,137.193,-130.464,-18.4164,-172.981,7.27234,-167.396,-251.63,45.0501,132.684,46.3723,-374.093,-87.4559,-375.922,-282.573,-31.4165,61.4332,-94.7018,-109.239,-35.4553,131.351,-27.289,8.21198,-291.679,56.4696,-208.449,-54.8617,82.6469,-142.296,176.522,-218,-47.8422,-89.4222,128.277,100.835,-67.8882,-59.7364,-274.291,-40.8425,282.804,-320.557,-302.748,-315.155,59.5774,-63.1612,91.7983,23.3408,-26.9774,-6.58716,30.347,-19.577,119.774,-19.2463,-272.293,-76.3661,38.7914,20.6034,-587.32,304.924,-102.748,57.3759,-67.5435,-250.527,-72.4629,64.5389,151.992,-359.178,-41.9592,50.9274,-413.432,102.719,-172.497,-98.1725,-210.572,314.696,-76.2049,-248.916,33.9282,-121.28,-249.432,-20.6497,-192.151,192.385,-118.018,-124.607,115.156,-93.4447,-123.972,-16.2482,-14.1521,81.1026,81.485,-56.1926,-206.412,291.232,-55.2814,-8.15942,279.889
1.64161,-190.325,4.1778,-4.96765,178.067,109.651,264.367,58.855,-84.3279,237.713,-20.8208,-76.9326,-33.918,-246.861,22.5634,19.8954,-34.543,-346.527,-201.726,-144.481,-53.1802,-63.579,-323.69,-64.1808,195.182,-225.448,-59.1393,-40.1171,-109.859,116.207,56.2624,-202.434,-118.351,-148.679,143.542,-139.301,-39.9833,-184.935,-0.0285034,-145.687,-233.657,46.5779,137.53,73.759,-399.074,-98.5437,-385.894,-280.438,-15.3407,62.9671,-65.6528,-127.309,-49.7117,137.034,-21.0774,28.1448,-290.261,53.4827,-227.561,-47.5118,59.7096,-156.999,193.54,-203.562,-117.039,-123.829,116.127,92.7898,-56.9691,-68.1553,-261.945,-58.2207,302.062,-298.852,-310.078,-360.247,76.6357,-78.2002,84.4584,65.0619,-18.3994,1.34717,50.6202,-21.1323,115.401,-10.2738,-298.768,-85.5367,14.1259,19.9468,-579.29,326.399,-79.1005,82.0074,-50.4784,-241.415,-52.9496,81.0355,134.971,-368.719,-38.4898,32.3793,-399.643,90.2996,-184.838,-111.619,-194.913,335.063,-94.7518,-223.113,41.3101,-140.109,-258.324,-29.4488,-163.806,195.446,-129.015,-138.886,99.5494,-79.0706,-145.065,-24.2083,1.51074,101.331,73.7845,-56.9967,-221.528,273.607,-57.7603,2.73285,283.605
1.64569,-210.713,18.2084,2.02979,197.008,112.173,274.713,64.2191,-68.1371,245.733,-30.4567,-63.2087,-27.7617,-264.107,9.33972,0.0283813,-49.7751,-346.203,-232.379,-148.145,-61.378,-61.6985,-316.879,-53.4627,166.07,-200.112,-53.0216,-40.4282,-88.6019,100.225,78.9612,-199.846,-123.652,-127.637,149.892,-148.138,-60.8537,-187.516,-14.2925,-123.979,-215.684,48.1057,131.806,107.05,-396.684,-109.632,-381.665,-278.302,0.735107,64.501,-36.6038,-145.379,-63.6075,142.718,-21.1318,45.4215,-288.843,45.4528,-246.674,-40.162,47.9516,-172.062,210.557,-179.423,-186.235,-148.069,103.977,84.7444,-46.0499,-62.5093,-249.599,-75.5989,311.367,-281.677,-317.408,-388.509,93.6942,-103.206,65.8723,106.783,-21.3036,9.28149,74.0096,-11.8679,111.028,-9.81458,-299.758,-94.7073,-10.5397,19.2902,-568.873,336.04,-55.4531,103.291,-33.4133,-226.465,-33.4363,97.5322,112.603,-366.894,-35.0205,13.8312,-407.706,77.8806,-197.178,-125.066,-179.254,345.297,-113.299,-215.314,59.5371,-158.939,-267.216,-50.8221,-135.461,198.507,-124.062,-153.165,96.6823,-64.6965,-166.158,-42.339,27.189,101.081,66.0841,-57.8008,-236.644,255.982,-60.2392,13.6251,276.818
1.64976,-231.1,32.2391,9.02722,215.949,114.695,285.059,69.5831,-51.9464,253.754,-40.0926,-43.4636,-21.6053,-269.844,-3.88397,-19.8387,-65.0072,-326.583,-263.033,-151.809,-69.5757,-59.8179,-298.641,-42.7446,136.957,-163.548,-46.904,-40.7393,-67.3452,84.2436,101.66,-197.259,-128.953,-106.596,156.241,-156.975,-81.724,-184.401,-40.0818,-102.27,-197.711,49.6335,116.472,140.341,-394.293,-120.719,-365.979,-276.167,16.8109,66.035,-7.55487,-163.449,-77.5034,148.401,-21.1862,62.6982,-287.425,37.4229,-265.786,-32.8122,36.1937,-187.125,227.575,-149.604,-249.647,-159.07,91.8268,76.699,-35.1308,-47.7154,-237.253,-92.9772,315.052,-275.652,-324.738,-405.855,110.753,-133.841,47.2862,148.504,-24.2078,17.2158,91.8591,8.93768,106.655,-18.6851,-289.525,-103.878,-35.2053,18.6336,-552.999,336.663,-31.8057,124.574,-16.3483,-211.515,-13.923,114.029,100.928,-365.069,-31.5511,-4.71695,-415.769,65.4616,-209.518,-138.512,-163.595,344.723,-131.846,-207.516,77.7642,-177.769,-270.538,-72.1953,-107.116,201.568,-119.108,-167.443,99.1793,-50.3224,-187.251,-71.3185,58.1501,100.831,58.3836,-58.6049,-251.76,238.357,-62.7181,24.5173,270.031
