,FA_20231109_2H_yeast_1.5.ser#1,FA_20231109_2H_yeast_1.5.ser#2,FA_20231109_2H_yeast_1.5.ser#3,FA_20231109_2H_yeast_1.5.ser#4,FA_20231109_2H_yeast_1.5.ser#5,FA_20231109_2H_yeast_1.5.ser#6,FA_20231109_2H_yeast_1.5.ser#7,FA_20231109_2H_yeast_1.5.ser#8,FA_20231109_2H_yeast_1.5.ser#9,FA_20231109_2H_yeast_1.5.ser#10,FA_20231109_2H_yeast_1.5.ser#11,FA_20231109_2H_yeast_1.5.ser#12,FA_20231109_2H_yeast_1.5.ser#13,FA_20231109_2H_yeast_1.5.ser#14,FA_20231109_2H_yeast_1.5.ser#15,FA_20231109_2H_yeast_1.5.ser#16,FA_20231109_2H_yeast_1.5.ser#17,FA_20231109_2H_yeast_1.5.ser#18,FA_20231109_2H_yeast_1.5.ser#19,FA_20231109_2H_yeast_1.5.ser#20,FA_20231109_2H_yeast_1.5.ser#21,FA_20231109_2H_yeast_1.5.ser#22,FA_20231109_2H_yeast_1.5.ser#23,FA_20231109_2H_yeast_1.5.ser#24,FA_20231109_2H_yeast_1.5.ser#25,FA_20231109_2H_yeast_1.5.ser#26,FA_20231109_2H_yeast_1.5.ser#27,FA_20231109_2H_yeast_1.5.ser#28,FA_20231109_2H_yeast_1.5.ser#29,FA_20231109_2H_yeast_1.5.ser#30,FA_20231109_2H_yeast_1.5.ser#31,FA_20231109_2H_yeast_1.5.ser#32,FA_20231109_2H_yeast_1.5.ser#33,FA_20231109_2H_yeast_1.5.ser#34,FA_20231109_2H_yeast_1.5.ser#35,FA_20231109_2H_yeast_1.5.ser#36,FA_20231109_2H_yeast_1.5.ser#37,FA_20231109_2H_yeast_1.5.ser#38,FA_20231109_2H_yeast_1.5.ser#39,FA_20231109_2H_yeast_1.5.ser#40,FA_20231109_2H_yeast_1.5.ser#41,FA_20231109_2H_yeast_1.5.ser#42,FA_20231109_2H_yeast_1.5.ser#43,FA_20231109_2H_yeast_1.5.ser#44,FA_20231109_2H_yeast_1.5.ser#45,FA_20231109_2H_yeast_1.5.ser#46,FA_20231109_2H_yeast_1.5.ser#47,FA_20231109_2H_yeast_1.5.ser#48,FA_20231109_2H_yeast_1.5.ser#49,FA_20231109_2H_yeast_1.5.ser#50,FA_20231109_2H_yeast_1.5.ser#51,FA_20231109_2H_yeast_1.5.ser#52,FA_20231109_2H_yeast_1.5.ser#53,FA_20231109_2H_yeast_1.5.ser#54,FA_20231109_2H_yeast_1.5.ser#55,FA_20231109_2H_yeast_1.5.ser#56,FA_20231109_2H_yeast_1.5.ser#57,FA_20231109_2H_yeast_1.5.ser#58,FA_20231109_2H_yeast_1.5.ser#59,FA_20231109_2H_yeast_1.5.ser#60,FA_20231109_2H_yeast_1.5.ser#61,FA_20231109_2H_yeast_1.5.ser#62,FA_20231109_2H_yeast_1.5.ser#63,FA_20231109_2H_yeast_1.5.ser#64,FA_20231109_2H_yeast_1.5.ser#65,FA_20231109_2H_yeast_1.5.ser#66,FA_20231109_2H_yeast_1.5.ser#67,FA_20231109_2H_yeast_1.5.ser#68,FA_20231109_2H_yeast_1.5.ser#69,FA_20231109_2H_yeast_1.5.ser#70
-1.10743,-211.488,23.1886,110.825,489.907,14.2435,-161.020,354.744,30.8595,-415.776,227.312,-410.424,11.1310,-237.379,-326.690,105.542,460.574,66.7002,151.963,-33.4175,423.698,-178.484,50.8064,13.6517,-689.485,-106.596,-348.510,-510.356,340.330,-64.0959,-181.749,-891.470,-575.281,67.8898,361.862,-662.465,603.884,-355.797,-4.63399,-96.1139,474.184,132.103,-31.2861,713.973,-160.010,-75.2224,285.350,73.6163,-279.984,624.108,-820.820,406.960,-766.777,530.519,143.568,-181.905,16.5723,155.779,-510.397,17.2763,-665.751,-179.671,401.598,-436.582,-94.1175,-638.626,-763.815,139.343,-182.353,-335.738,-171.969
-1.09928,-161.901,-71.5504,146.668,591.342,58.5927,-184.314,420.079,-46.7662,-338.692,137.842,-489.164,26.1741,-331.097,-354.904,-15.4987,316.338,33.6674,129.121,28.6936,469.380,-162.552,-14.9621,25.2156,-640.346,-149.131,-235.188,-510.391,396.477,-18.6649,-283.610,-779.580,-660.989,144.370,319.637,-644.752,503.960,-314.764,15.8781,-17.7981,546.697,1.08827,-81.8052,602.755,-156.206,-14.5291,209.274,234.197,-216.714,587.037,-798.010,278.344,-832.908,502.961,121.450,-72.9474,-138.929,92.7929,-382.231,146.481,-686.297,-269.000,458.288,-485.661,-146.854,-578.233,-788.500,109.142,-292.479,-330.537,-228.036
-1.09114,-113.683,-161.773,159.959,610.410,118.905,-169.180,558.166,-109.519,-248.580,92.5144,-557.409,84.5060,-392.035,-325.390,-91.3301,170.657,-3.18492,78.1425,91.8450,511.524,-168.749,-66.0406,38.9530,-575.629,-192.650,-167.553,-448.374,442.209,-10.4039,-372.218,-678.664,-757.720,184.009,252.997,-634.742,410.259,-211.182,40.5388,16.7108,619.244,-27.6024,-173.990,454.567,-157.783,65.8424,134.637,357.452,-192.165,504.603,-745.683,165.270,-853.979,414.232,53.1090,63.2226,-256.377,16.5679,-298.056,215.728,-653.561,-333.987,414.697,-500.521,-174.016,-496.750,-763.675,-7.96419,-411.153,-324.435,-282.542
-1.08299,-71.7804,-190.875,121.878,594.587,148.228,-131.674,705.552,-108.475,-139.628,124.360,-612.724,175.661,-375.290,-236.424,-96.3462,49.0940,-21.5045,17.7654,114.073,542.649,-212.030,-82.0515,12.2162,-515.988,-209.363,-197.425,-355.523,488.425,20.3139,-402.150,-604.369,-825.215,168.003,172.093,-599.478,299.794,-72.1341,90.7391,-5.85934,633.176,35.3030,-307.509,256.376,-193.265,161.529,80.0473,413.987,-191.618,420.498,-673.769,68.1612,-846.218,298.224,-16.7876,155.446,-311.018,-53.5462,-253.606,228.128,-586.937,-345.221,333.790,-468.741,-163.635,-416.924,-740.543,-156.282,-473.769,-321.517,-305.595
-1.07485,-18.2470,-144.541,66.9956,565.723,114.006,-134.762,783.998,-54.7411,-24.3270,214.727,-637.313,260.533,-298.283,-130.911,-69.9251,-16.2231,-13.7663,-52.4524,127.071,505.974,-284.082,-73.6277,-77.1075,-456.417,-183.573,-279.642,-266.078,525.188,105.599,-363.759,-552.625,-801.165,107.944,43.8085,-512.524,179.840,36.1822,131.691,-60.3148,549.193,126.903,-408.495,5.49244,-271.386,250.718,37.2242,423.048,-172.435,363.645,-605.545,-23.1641,-813.966,199.384,-54.4919,163.585,-359.356,-75.1837,-255.347,217.140,-528.882,-290.071,290.247,-418.458,-152.108,-318.104,-774.114,-271.348,-441.607,-332.797,-280.482
-1.06670,40.6608,-59.7144,36.3435,509.970,42.8953,-221.029,764.013,3.00213,35.4345,308.684,-627.359,309.132,-233.883,-39.4621,-66.6693,-14.8872,1.66752,-122.954,167.528,411.177,-340.377,-56.8702,-189.520,-383.842,-162.776,-329.498,-194.525,514.622,219.772,-296.854,-494.906,-673.575,29.3068,-127.810,-405.347,62.7363,61.8106,131.758,-117.802,381.479,209.107,-429.345,-264.201,-340.454,283.313,3.41567,413.146,-143.801,335.096,-541.331,-130.246,-733.105,139.177,-65.0886,110.653,-477.467,-51.0251,-285.979,205.516,-496.085,-175.684,308.368,-383.105,-164.099,-174.518,-864.807,-324.062,-324.990,-362.344,-217.399
-1.05856,106.848,28.4451,41.8275,435.115,-8.36841,-364.982,683.815,22.4213,5.35579,364.401,-613.655,315.908,-209.817,27.1619,-79.4679,30.1302,-16.7960,-174.949,220.576,340.337,-349.816,-39.8104,-283.005,-314.290,-216.631,-319.377,-163.777,444.434,303.098,-242.769,-403.385,-499.857,-22.6402,-288.534,-309.168,-30.6209,6.46595,97.8586,-165.898,192.070,280.574,-403.700,-482.988,-356.598,226.742,-8.33041,387.195,-133.680,333.207,-457.360,-276.306,-576.516,104.410,-76.6633,44.3445,-655.261,-10.9934,-324.661,183.759,-465.424,-29.7817,373.192,-366.408,-177.300,5.27553,-937.364,-314.707,-155.235,-381.515,-118.870
-1.05041,195.370,118.528,88.3558,374.009,-9.79170,-504.739,585.033,4.08634,-68.4176,358.388,-627.654,285.746,-177.410,38.9875,-45.6783,68.8723,-82.5963,-198.904,259.061,288.256,-323.350,-37.6186,-333.385,-250.906,-353.414,-299.953,-189.670,358.696,301.862,-204.510,-291.549,-341.865,-7.63513,-384.162,-231.225,-64.4835,-96.4364,72.6053,-176.041,46.3424,329.444,-380.302,-599.268,-331.593,101.299,6.47198,351.276,-128.700,373.460,-352.893,-434.159,-374.052,73.4665,-118.368,-3.94158,-817.499,27.1388,-358.144,128.142,-426.939,96.2222,459.983,-365.405,-179.723,179.004,-922.678,-256.972,15.1347,-370.216,13.3671
-1.04227,289.402,197.399,142.383,334.090,32.5482,-576.851,482.409,-24.6077,-139.051,283.882,-656.392,237.127,-90.0137,-33.1957,35.0833,59.7164,-155.301,-172.419,263.755,189.259,-287.563,-74.2459,-325.387,-192.919,-527.424,-336.869,-245.872,284.645,230.228,-166.396,-191.808,-216.946,61.8338,-393.912,-148.896,-42.7285,-193.215,81.2253,-143.301,-34.1689,339.299,-382.141,-623.300,-310.294,-36.5086,34.1194,328.396,-106.313,463.344,-263.474,-545.139,-211.323,53.4732,-197.874,-28.4553,-894.908,63.5363,-363.606,16.7275,-414.504,159.568,534.143,-403.634,-196.599,295.919,-831.712,-180.637,108.753,-341.482,153.834
-1.03412,371.251,252.954,150.724,313.326,93.8342,-567.861,420.090,-27.1390,-217.390,195.645,-673.542,155.219,20.3311,-162.215,99.8024,-14.6791,-191.554,-83.0993,218.833,49.4463,-252.444,-147.070,-275.041,-158.440,-651.434,-411.129,-289.596,209.234,172.196,-110.671,-106.465,-136.657,115.636,-341.570,-29.1728,-21.4935,-221.175,117.296,-113.108,-76.2050,316.659,-410.037,-589.456,-326.143,-138.465,65.8082,327.260,-72.3138,584.291,-199.426,-577.189,-148.339,60.9554,-273.915,-33.8778,-874.961,113.462,-334.505,-125.731,-444.567,166.712,564.790,-468.208,-232.518,354.191,-707.518,-129.058,71.0105,-313.215,256.282
-1.02598,442.595,311.100,97.0023,291.165,151.063,-505.582,423.347,37.6251,-295.226,164.381,-673.138,43.3546,91.6648,-261.275,123.787,-149.575,-192.250,29.1920,142.981,-69.8794,-223.807,-218.191,-216.579,-171.448,-641.102,-462.730,-295.954,133.956,168.384,-39.9349,-36.6036,-107.289,103.788,-281.937,123.654,-39.7497,-163.047,158.103,-136.661,-103.319,273.776,-425.808,-520.118,-388.307,-181.375,105.934,308.410,-43.3729,705.810,-145.215,-539.553,-185.744,82.8156,-311.486,-26.3664,-805.369,183.589,-307.518,-236.252,-472.037,153.927,540.672,-490.489,-257.498,386.525,-585.424,-104.518,-61.7617,-272.315,280.718
-1.01783,496.936,374.360,10.1731,219.964,188.007,-409.854,452.668,165.166,-339.480,186.286,-669.046,-31.8917,130.547,-286.045,135.151,-252.975,-175.991,102.698,93.5021,-135.330,-199.399,-256.703,-148.836,-230.808,-514.413,-492.000,-272.174,78.1654,174.963,8.69743,10.6078,-100.183,46.9762,-262.549,274.753,-91.4376,-70.6372,178.752,-213.869,-99.6303,231.430,-397.502,-415.519,-449.436,-164.967,149.020,264.715,-14.9832,780.018,-91.3668,-476.971,-280.905,116.372,-338.224,-37.2994,-732.663,247.919,-318.265,-274.934,-450.280,149.953,483.292,-454.402,-247.532,416.954,-487.369,-63.9437,-203.950,-192.399,224.738
-1.00969,502.836,400.214,-75.1631,89.7659,179.566,-295.017,443.529,295.670,-371.841,225.682,-674.468,-42.5279,190.672,-272.180,140.426,-236.713,-166.677,134.441,108.125,-145.030,-154.907,-263.523,-59.4315,-312.388,-372.006,-521.752,-212.237,43.6637,129.697,-2.42469,38.1937,-71.8949,-25.8717,-275.601,361.711,-164.236,-32.5974,189.004,-284.809,-83.1495,202.660,-344.931,-278.051,-444.331,-117.530,162.905,247.980,34.7247,761.639,-53.4281,-411.993,-370.036,198.684,-409.807,-93.3514,-644.895,277.288,-342.564,-245.007,-370.679,158.124,441.225,-419.617,-198.654,451.062,-435.825,8.19928,-310.610,-84.2884,140.272
-1.00154,447.948,353.443,-151.297,-65.5062,118.997,-204.460,356.331,385.370,-425.188,256.246,-671.680,-36.2950,282.425,-257.167,117.289,-130.647,-191.357,161.302,174.262,-108.050,-97.0931,-277.182,26.5021,-383.353,-299.223,-555.526,-96.5350,21.3950,35.2849,-53.9619,55.1037,-6.37615,-109.128,-278.149,339.940,-220.419,-74.7291,208.970,-315.367,-115.741,173.043,-300.843,-145.284,-394.383,-82.2805,105.932,266.751,100.212,668.725,-51.3597,-314.202,-404.327,317.821,-516.127,-169.557,-509.169,266.816,-330.718,-197.982,-243.402,158.380,437.219,-426.723,-117.772,489.491,-455.487,88.8513,-349.818,8.71829,78.9810
-0.993395,377.710,244.000,-205.239,-193.349,35.8026,-147.681,212.682,429.934,-465.050,251.722,-647.909,-40.6884,364.839,-254.423,46.2382,-8.47504,-253.100,198.154,253.754,-68.6746,-58.8767,-329.807,87.2998,-382.145,-320.268,-575.780,52.0889,7.58422,-56.3923,-82.7875,62.1075,69.4150,-174.338,-245.730,251.202,-199.555,-139.092,243.434,-327.020,-190.484,141.876,-295.817,-33.7278,-340.110,-90.4312,4.08143,298.709,139.045,569.616,-68.3082,-156.555,-395.275,413.284,-578.503,-238.172,-351.180,208.887,-276.608,-171.883,-122.540,154.821,447.920,-460.800,-17.0288,540.805,-520.371,176.640,-305.875,33.3517,24.7677
-0.985250,339.010,110.453,-202.504,-255.126,-8.02642,-71.4768,65.7866,432.906,-452.961,225.034,-620.696,-30.6305,410.437,-266.849,-63.5223,98.7610,-316.318,230.462,262.196,-80.7690,-55.6692,-400.002,114.054,-300.937,-403.545,-575.313,182.873,13.9240,-101.519,-47.4692,63.1898,134.406,-201.622,-186.313,164.594,-89.1330,-179.561,301.005,-320.739,-247.228,124.612,-307.557,75.0981,-280.411,-107.905,-52.9027,302.018,138.256,494.175,-77.5865,32.2712,-368.331,421.901,-558.901,-300.315,-242.702,86.9573,-216.123,-150.997,-73.4458,187.431,448.714,-497.652,68.2470,609.029,-569.109,302.395,-223.209,-31.6177,-62.6323
-0.977105,337.347,-8.43896,-148.216,-218.750,11.0247,68.4340,-27.0115,402.027,-411.791,201.932,-593.461,22.5105,430.704,-262.646,-182.209,207.016,-351.711,225.878,132.101,-157.477,-90.3582,-452.794,106.426,-228.329,-478.174,-584.617,257.245,46.9956,-94.8498,37.0696,67.7140,185.180,-216.417,-130.679,101.769,61.7704,-205.527,386.536,-291.685,-253.777,112.690,-262.014,177.649,-214.382,-85.1803,-37.9984,226.457,139.119,432.879,-73.2926,177.483,-300.327,325.296,-486.854,-362.951,-232.351,-79.4863,-178.645,-109.931,-82.9865,274.315,445.721,-514.462,124.964,671.443,-567.615,447.045,-136.883,-161.425,-170.606
-0.968960,367.572,-90.2671,-86.4171,-72.3567,33.8294,263.223,-35.4874,349.090,-369.668,152.786,-549.470,112.041,446.004,-220.003,-293.406,330.891,-375.234,181.841,-106.959,-277.121,-152.055,-488.667,56.7034,-230.827,-491.555,-623.057,264.799,71.9301,-73.6320,130.040,95.2614,188.491,-257.686,-111.200,67.0342,167.821,-232.048,466.493,-238.587,-222.324,87.6683,-127.848,246.683,-154.956,-52.7687,8.98034,98.0702,163.688,382.384,-57.4390,208.803,-196.990,155.300,-415.941,-429.729,-302.107,-228.221,-171.825,-29.5512,-83.3944,387.423,444.705,-510.824,182.582,688.608,-508.571,541.454,-26.9334,-306.912,-266.979
-0.960815,398.768,-148.369,-17.4847,127.033,8.63340,456.838,4.83153,276.190,-331.850,56.8939,-492.662,190.002,444.118,-157.701,-367.982,446.398,-404.785,137.675,-381.560,-392.147,-210.429,-532.936,-39.3984,-294.449,-441.921,-671.552,203.243,50.9759,-58.3837,203.047,146.724,124.968,-335.192,-115.500,60.8121,199.715,-230.639,499.563,-133.890,-180.446,56.7030,53.1920,264.672,-114.483,-47.3388,60.9248,-5.15304,199.587,339.113,-30.0794,124.711,-99.1956,-35.3736,-396.087,-493.067,-397.842,-309.679,-175.382,84.5451,-63.9727,487.077,426.597,-490.532,257.990,649.678,-404.634,546.813,99.9528,-418.421,-349.937
-0.952670,382.121,-216.562,89.4766,290.035,-35.1870,571.261,24.2113,193.601,-303.252,-60.5799,-449.238,221.155,416.900,-109.934,-374.824,546.744,-403.059,125.427,-629.777,-450.409,-265.729,-616.044,-138.650,-355.416,-349.369,-673.243,99.3166,-5.08122,-42.4545,261.472,186.019,24.0215,-439.996,-91.3437,69.7837,181.435,-175.966,474.935,14.7531,-147.284,44.9119,191.999,238.325,-67.7383,-41.3216,97.4892,-30.2337,234.721,300.481,21.8265,-10.9364,-26.8644,-198.226,-432.679,-544.874,-457.923,-338.028,-160.286,185.808,-62.7329,557.140,373.228,-433.189,335.982,575.477,-316.137,466.778,178.344,-480.654,-413.999
-0.944525,312.612,-298.255,202.189,357.667,-61.8761,547.751,-14.3567,134.235,-280.931,-191.558,-422.409,192.022,380.191,-89.7062,-350.501,654.182,-340.918,142.391,-800.568,-442.266,-318.241,-718.980,-200.338,-349.771,-227.459,-586.012,4.85127,-71.8343,-38.8075,314.501,206.848,-80.6803,-532.345,-25.9704,92.1297,134.817,-76.8774,400.516,161.857,-117.377,59.4354,229.615,200.902,-2.05621,12.4370,112.406,16.7721,252.644,271.747,120.080,-130.281,-1.94371,-325.739,-483.174,-593.300,-467.287,-350.669,-112.582,229.108,-74.9286,605.350,291.627,-345.739,386.599,478.098,-295.137,333.873,153.910,-503.470,-421.494
-0.936380,215.627,-378.808,245.199,312.722,-74.4860,377.165,-81.9424,125.737,-250.880,-344.676,-373.919,110.627,346.122,-70.6537,-332.337,753.408,-241.123,166.371,-850.299,-382.762,-333.843,-770.567,-228.908,-242.473,-104.545,-438.960,-72.0154,-157.681,-61.4815,350.759,243.049,-156.489,-578.896,28.8163,120.979,75.8799,71.1524,298.986,271.235,-79.8172,64.5229,188.587,176.821,36.7009,84.9477,120.556,76.1965,243.513,252.500,233.900,-203.762,-22.3378,-430.980,-495.590,-648.494,-471.132,-354.180,-43.1219,208.431,-52.5952,647.183,197.682,-295.839,395.697,363.117,-309.863,211.695,59.6382,-497.266,-354.801
-0.928235,121.640,-463.045,204.948,184.597,-76.8142,106.072,-104.519,163.255,-189.874,-492.122,-282.090,10.1478,321.206,-29.6656,-292.865,799.077,-133.325,191.831,-792.982,-293.031,-317.026,-726.475,-226.612,-49.8852,-12.8060,-280.774,-137.416,-276.540,-91.3295,350.592,300.868,-173.755,-613.484,26.2330,150.525,28.6973,247.160,213.925,343.934,-53.9421,20.9031,120.056,174.340,29.6695,115.443,137.931,85.8969,198.971,248.160,316.012,-234.842,-34.1222,-504.259,-460.020,-692.982,-493.151,-355.762,29.8736,138.969,38.3281,666.945,120.007,-322.847,366.241,246.248,-294.409,136.177,-33.0850,-464.083,-251.070
-0.920090,58.0715,-559.704,135.122,47.0564,-52.3129,-169.838,-40.6065,203.222,-83.4156,-576.211,-169.523,-62.8838,323.872,35.0791,-229.743,766.104,-33.9528,214.495,-658.856,-229.590,-285.348,-604.962,-200.761,145.792,56.4286,-141.676,-165.704,-400.663,-103.603,306.575,372.712,-126.013,-668.077,-29.8051,186.510,-0.435075,384.473,172.459,385.499,-42.5000,-80.4082,57.2618,201.913,5.00069,103.723,151.091,27.3158,137.417,286.425,362.048,-233.141,18.2590,-541.104,-410.034,-690.132,-506.460,-356.040,89.9282,38.8414,170.914,645.513,116.089,-386.525,314.147,141.662,-246.448,74.1552,-102.165,-384.975,-156.894
-0.911945,21.4238,-634.262,96.0183,-33.1430,20.3798,-365.918,64.5774,219.828,17.4716,-578.090,-70.6495,-82.0528,353.590,117.834,-196.946,666.348,47.2742,223.635,-463.920,-239.858,-235.096,-441.676,-178.821,260.510,123.210,-62.3874,-132.924,-487.623,-113.428,236.197,459.143,-35.2493,-702.708,-119.115,198.468,-37.3008,450.106,169.071,407.976,-43.3348,-213.011,10.9573,258.627,-8.84555,82.3633,140.226,-86.6967,116.211,388.108,370.865,-216.299,127.528,-590.330,-379.272,-624.024,-478.786,-343.646,120.658,-61.0074,282.970,596.800,192.818,-435.626,248.021,56.8371,-235.460,-11.9960,-159.403,-253.163,-96.0197
-0.903800,3.48649,-621.866,97.0258,-78.7422,109.593,-455.443,146.386,206.106,33.5432,-523.267,-14.5653,-54.9960,376.982,179.181,-222.219,527.046,116.229,202.497,-260.958,-323.930,-180.745,-280.561,-159.162,268.243,187.996,-49.8815,-66.9280,-530.823,-154.932,181.212,543.083,80.8239,-669.106,-212.256,151.311,-74.1442,445.919,171.537,433.988,-56.7635,-323.658,-33.5092,334.621,-2.54904,78.9326,130.637,-224.567,160.544,534.676,335.288,-194.247,221.681,-664.828,-366.152,-493.650,-390.930,-314.178,134.459,-123.206,349.891,533.563,282.449,-456.235,166.107,-9.23458,-290.076,-118.573,-213.249,-112.902,-77.2568
-0.895655,28.6945,-526.393,97.9868,-178.531,143.530,-459.696,201.350,144.427,-45.5652,-445.262,-17.0066,-24.2159,363.020,159.673,-262.906,394.082,179.892,141.975,-100.674,-455.264,-146.874,-174.625,-117.401,191.009,251.783,-48.9485,-35.0958,-546.879,-235.332,183.978,593.203,199.108,-567.031,-289.308,73.1342,-82.5962,372.255,154.165,478.544,-56.2553,-387.354,-98.6382,419.688,7.48381,104.818,164.874,-354.346,230.219,692.371,258.562,-135.853,236.201,-701.967,-339.638,-314.520,-244.198,-257.350,151.006,-139.574,381.364,468.073,367.660,-456.550,61.4532,-62.9491,-351.915,-237.707,-238.436,-29.2493,-90.5925
-0.887510,118.859,-430.482,66.1246,-376.318,91.3218,-435.375,231.467,15.7438,-155.801,-385.408,-67.5479,-32.0457,318.739,60.9409,-276.869,316.589,242.260,39.7457,-0.865247,-590.402,-119.106,-129.838,-67.1558,86.1149,314.868,0.561648,-54.3643,-539.935,-329.876,228.544,606.822,287.369,-424.640,-349.260,11.1081,-57.1815,240.477,119.302,523.364,-23.1131,-423.158,-162.555,488.823,10.5779,156.112,239.930,-471.149,282.253,841.502,154.955,-13.4736,194.025,-660.777,-309.929,-156.539,-67.0236,-168.181,173.172,-121.247,371.844,403.504,468.006,-458.475,-55.6142,-115.409,-372.353,-375.174,-214.336,-17.9831,-117.976
-0.879365,245.592,-386.317,32.1388,-628.096,-16.1823,-436.994,208.813,-148.695,-229.632,-346.817,-135.807,-95.4604,294.832,-65.6513,-269.809,298.324,306.866,-92.3712,27.1623,-688.507,-82.7475,-118.169,-50.7913,7.43119,363.193,94.8942,-73.6559,-490.508,-429.989,265.098,610.536,324.599,-283.364,-401.576,-17.1987,9.93816,92.8690,83.7966,535.724,26.1731,-463.805,-171.752,502.105,33.7667,211.029,335.341,-567.885,304.317,969.120,62.6301,135.120,174.727,-572.134,-314.769,-95.4760,100.705,-53.6725,192.180,-74.1591,299.919,340.204,540.129,-470.825,-130.989,-167.294,-356.958,-500.786,-134.382,-39.2538,-162.718
-0.871220,341.678,-361.380,41.0423,-864.585,-118.081,-475.489,130.315,-281.808,-257.374,-305.044,-196.631,-196.495,300.437,-165.866,-241.782,292.201,356.441,-187.437,10.8751,-729.604,-62.1916,-144.650,-67.9593,-57.8929,389.107,165.609,-42.4341,-389.062,-527.415,276.827,628.286,300.188,-156.208,-455.304,-27.0756,98.3562,-8.16417,73.0409,511.281,49.5645,-529.468,-112.033,460.101,85.0771,238.259,433.794,-618.561,315.345,1066.60,31.2510,241.720,218.418,-491.565,-357.746,-124.802,207.445,74.0384,189.718,-6.88522,181.205,311.650,552.432,-486.285,-125.331,-182.601,-311.471,-572.951,-23.8187,-59.7708,-240.890
-0.863075,386.260,-304.476,88.9003,-1022.23,-175.078,-521.928,30.8764,-358.785,-263.330,-293.894,-221.779,-269.464,299.860,-209.670,-171.762,256.844,350.051,-168.962,-17.6663,-725.957,-79.7558,-233.803,-81.7103,-155.744,410.047,171.861,24.9527,-266.788,-594.913,291.461,645.526,195.846,-27.3770,-487.413,-69.9579,131.483,-12.2756,96.8149,479.110,9.43993,-607.766,-3.63817,399.515,98.9206,213.721,489.551,-614.901,330.797,1115.98,73.6972,253.192,300.351,-444.944,-409.861,-175.019,224.159,195.026,168.137,77.6006,65.9410,337.896,530.955,-495.274,-78.1749,-137.625,-221.582,-590.655,59.1262,-81.6373,-348.760
-0.854930,436.575,-223.295,146.881,-1061.11,-203.492,-542.023,-56.4251,-388.937,-276.389,-350.248,-176.887,-258.120,282.715,-199.447,-85.1259,185.471,277.241,-28.9161,-62.8904,-690.080,-116.736,-373.172,-88.1748,-264.738,431.259,145.664,98.1818,-170.268,-636.763,333.456,632.892,22.1304,94.9499,-472.771,-169.386,53.2380,54.5207,112.603,446.075,-87.5655,-654.947,112.838,316.202,4.23851,144.765,447.409,-568.133,316.825,1062.95,144.666,166.714,360.332,-392.448,-445.336,-188.803,178.325,288.885,142.495,165.936,-14.1046,385.710,478.336,-484.109,-45.7150,-64.2351,-107.776,-559.232,68.8292,-101.675,-450.993
-0.846785,534.000,-159.896,159.713,-996.462,-231.471,-519.427,-116.607,-403.940,-328.327,-446.513,-107.847,-171.431,268.114,-141.966,-10.0415,103.446,180.554,156.998,-128.837,-602.460,-133.591,-506.433,-104.128,-290.584,427.984,155.239,187.919,-117.841,-692.145,376.837,592.137,-157.608,183.858,-425.949,-282.693,-83.4711,131.950,86.6118,387.132,-193.871,-642.196,188.068,212.264,-177.785,76.7809,312.559,-497.948,223.913,879.375,166.572,49.6802,343.096,-272.939,-466.554,-161.221,111.335,340.583,119.214,219.362,-43.2361,417.191,383.684,-450.083,-58.9106,3.70070,-17.5851,-471.657,-12.1456,-94.5510,-524.986
-0.838640,624.414,-117.564,78.3877,-849.360,-250.826,-452.273,-164.164,-436.362,-405.030,-545.008,-83.8576,-53.4228,272.433,-32.2453,82.2633,56.3455,120.152,294.794,-201.545,-459.305,-129.378,-587.909,-115.707,-191.165,418.701,218.081,299.599,-84.2449,-756.100,389.778,531.466,-274.039,216.821,-365.419,-362.030,-172.061,184.279,65.3824,313.479,-249.639,-580.248,199.446,136.356,-355.741,40.6768,160.534,-448.212,80.5693,653.900,133.784,-17.4439,241.520,-84.6752,-493.522,-95.8941,60.2028,333.189,98.7727,231.463,-11.6139,437.319,297.352,-414.278,-130.805,58.8042,33.4442,-339.847,-143.577,-50.6214,-548.985
-0.830494,623.014,-78.8769,-50.5297,-622.026,-258.215,-352.339,-216.166,-494.712,-436.108,-613.162,-92.4459,58.1759,286.848,116.140,204.908,63.1910,118.493,338.924,-259.213,-300.112,-118.530,-616.350,-77.6949,-16.3355,427.876,295.968,388.020,-42.5824,-770.577,378.494,452.641,-289.933,179.671,-303.911,-394.312,-156.588,194.641,76.7321,275.521,-255.478,-499.572,172.074,124.890,-461.236,3.50801,51.9796,-450.632,-8.51377,486.408,112.679,-30.1919,95.9540,114.657,-528.933,7.70463,35.0640,257.433,80.2868,236.739,52.7936,454.286,253.809,-388.569,-259.259,81.2459,64.0608,-207.726,-222.432,-1.91314,-518.327
-0.822349,506.540,-52.8319,-118.018,-338.336,-267.944,-248.232,-229.603,-556.026,-395.922,-626.921,-78.5659,125.466,263.978,257.949,323.489,98.3711,160.306,307.934,-301.709,-177.546,-96.8836,-606.792,14.1588,172.187,435.053,376.734,407.513,1.14804,-694.189,360.920,364.865,-226.777,74.8037,-246.280,-385.673,-46.2346,159.961,109.934,295.373,-270.921,-436.602,118.266,171.315,-479.066,-55.6203,-16.8715,-478.373,-6.93462,377.931,126.191,-2.81388,-23.3394,256.040,-554.447,104.094,14.3747,138.283,56.0503,239.752,130.119,446.755,230.222,-359.028,-398.850,56.9357,90.8356,-143.108,-204.166,5.87767,-482.886
