,FA_20240215_2H_yeast_1.3.ser#1,FA_20240215_2H_yeast_1.3.ser#2,FA_20240215_2H_yeast_1.3.ser#3,FA_20240215_2H_yeast_1.3.ser#4,FA_20240215_2H_yeast_1.3.ser#5,FA_20240215_2H_yeast_1.3.ser#6,FA_20240215_2H_yeast_1.3.ser#7,FA_20240215_2H_yeast_1.3.ser#8,FA_20240215_2H_yeast_1.3.ser#9,FA_20240215_2H_yeast_1.3.ser#10,FA_20240215_2H_yeast_1.3.ser#11,FA_20240215_2H_yeast_1.3.ser#12,FA_20240215_2H_yeast_1.3.ser#13,FA_20240215_2H_yeast_1.3.ser#14,FA_20240215_2H_yeast_1.3.ser#15,FA_20240215_2H_yeast_1.3.ser#16,FA_20240215_2H_yeast_1.3.ser#17,FA_20240215_2H_yeast_1.3.ser#18,FA_20240215_2H_yeast_1.3.ser#19,FA_20240215_2H_yeast_1.3.ser#20,FA_20240215_2H_yeast_1.3.ser#21,FA_20240215_2H_yeast_1.3.ser#22,FA_20240215_2H_yeast_1.3.ser#23,FA_20240215_2H_yeast_1.3.ser#24,FA_20240215_2H_yeast_1.3.ser#25,FA_20240215_2H_yeast_1.3.ser#26,FA_20240215_2H_yeast_1.3.ser#27,FA_20240215_2H_yeast_1.3.ser#28,FA_20240215_2H_yeast_1.3.ser#29,FA_20240215_2H_yeast_1.3.ser#30,FA_20240215_2H_yeast_1.3.ser#31,FA_20240215_2H_yeast_1.3.ser#32,FA_20240215_2H_yeast_1.3.ser#33,FA_20240215_2H_yeast_1.3.ser#34,FA_20240215_2H_yeast_1.3.ser#35,FA_20240215_2H_yeast_1.3.ser#36,FA_20240215_2H_yeast_1.3.ser#37,FA_20240215_2H_yeast_1.3.ser#38,FA_20240215_2H_yeast_1.3.ser#39,FA_20240215_2H_yeast_1.3.ser#40,FA_20240215_2H_yeast_1.3.ser#41,FA_20240215_2H_yeast_1.3.ser#42,FA_20240215_2H_yeast_1.3.ser#43,FA_20240215_2H_yeast_1.3.ser#44,FA_20240215_2H_yeast_1.3.ser#45,FA_20240215_2H_yeast_1.3.ser#46,FA_20240215_2H_yeast_1.3.ser#47,FA_20240215_2H_yeast_1.3.ser#48,FA_20240215_2H_yeast_1.3.ser#49,FA_20240215_2H_yeast_1.3.ser#50,FA_20240215_2H_yeast_1.3.ser#51,FA_20240215_2H_yeast_1.3.ser#52,FA_20240215_2H_yeast_1.3.ser#53,FA_20240215_2H_yeast_1.3.ser#54,FA_20240215_2H_yeast_1.3.ser#55,FA_20240215_2H_yeast_1.3.ser#56,FA_20240215_2H_yeast_1.3.ser#57,FA_20240215_2H_yeast_1.3.ser#58,FA_20240215_2H_yeast_1.3.ser#59,FA_20240215_2H_yeast_1.3.ser#60,FA_20240215_2H_yeast_1.3.ser#61,FA_20240215_2H_yeast_1.3.ser#62,FA_20240215_2H_yeast_1.3.ser#63,FA_20240215_2H_yeast_1.3.ser#64,FA_20240215_2H_yeast_1.3.ser#65,FA_20240215_2H_yeast_1.3.ser#66,FA_20240215_2H_yeast_1.3.ser#67,FA_20240215_2H_yeast_1.3.ser#68,FA_20240215_2H_yeast_1.3.ser#69,FA_20240215_2H_yeast_1.3.ser#70,FA_20240215_2H_yeast_1.3.ser#71,FA_20240215_2H_yeast_1.3.ser#72,FA_20240215_2H_yeast_1.3.ser#73,FA_20240215_2H_yeast_1.3.ser#74,FA_20240215_2H_yeast_1.3.ser#75,FA_20240215_2H_yeast_1.3.ser#76,FA_20240215_2H_yeast_1.3.ser#77,FA_20240215_2H_yeast_1.3.ser#78,FA_20240215_2H_yeast_1.3.ser#79,FA_20240215_2H_yeast_1.3.ser#80,FA_20240215_2H_yeast_1.3.ser#81,FA_20240215_2H_yeast_1.3.ser#82,FA_20240215_2H_yeast_1.3.ser#83,FA_20240215_2H_yeast_1.3.ser#84,FA_20240215_2H_yeast_1.3.ser#85,FA_20240215_2H_yeast_1.3.ser#86,FA_20240215_2H_yeast_1.3.ser#87,FA_20240215_2H_yeast_1.3.ser#88,FA_20240215_2H_yeast_1.3.ser#89,FA_20240215_2H_yeast_1.3.ser#90,FA_20240215_2H_yeast_1.3.ser#91,FA_20240215_2H_yeast_1.3.ser#92,FA_20240215_2H_yeast_1.3.ser#93,FA_20240215_2H_yeast_1.3.ser#94,FA_20240215_2H_yeast_1.3.ser#95,FA_20240215_2H_yeast_1.3.ser#96,FA_20240215_2H_yeast_1.3.ser#97,FA_20240215_2H_yeast_1.3.ser#98,FA_20240215_2H_yeast_1.3.ser#99,FA_20240215_2H_yeast_1.3.ser#100,FA_20240215_2H_yeast_1.3.ser#101,FA_20240215_2H_yeast_1.3.ser#102,FA_20240215_2H_yeast_1.3.ser#103,FA_20240215_2H_yeast_1.3.ser#104,FA_20240215_2H_yeast_1.3.ser#105,FA_20240215_2H_yeast_1.3.ser#106,FA_20240215_2H_yeast_1.3.ser#107,FA_20240215_2H_yeast_1.3.ser#108,FA_20240215_2H_yeast_1.3.ser#109,FA_20240215_2H_yeast_1.3.ser#110,FA_20240215_2H_yeast_1.3.ser#111,FA_20240215_2H_yeast_1.3.ser#112,FA_20240215_2H_yeast_1.3.ser#113,FA_20240215_2H_yeast_1.3.ser#114,FA_20240215_2H_yeast_1.3.ser#115,FA_20240215_2H_yeast_1.3.ser#116,FA_20240215_2H_yeast_1.3.ser#117,FA_20240215_2H_yeast_1.3.ser#118,FA_20240215_2H_yeast_1.3.ser#119,FA_20240215_2H_yeast_1.3.ser#120,FA_20240215_2H_yeast_1.3.ser#121,FA_20240215_2H_yeast_1.3.ser#122,FA_20240215_2H_yeast_1.3.ser#123,FA_20240215_2H_yeast_1.3.ser#124,FA_20240215_2H_yeast_1.3.ser#125,FA_20240215_2H_yeast_1.3.ser#126,FA_20240215_2H_yeast_1.3.ser#127,FA_20240215_2H_yeast_1.3.ser#128,FA_20240215_2H_yeast_1.3.ser#129,FA_20240215_2H_yeast_1.3.ser#130
0.656062,12.7001,77.6612,56.4794,74.8984,17.6311,-101.472,-232.764,71.8458,169.501,49.6668,50.1191,-56.8860,33.1254,-173.526,89.0638,321.745,-246.786,-186.688,-151.637,-65.5051,10.5326,-8.34851,82.7022,275.266,133.550,35.1237,120.171,-195.180,104.097,-71.8839,104.462,155.636,204.552,52.0046,82.5030,-31.5251,114.533,73.5730,401.835,-131.822,89.0372,26.2453,-24.6610,172.312,180.275,246.686,31.1371,95.3480,75.8017,134.016,180.577,88.3152,51.5594,126.668,237.384,-18.6297,250.119,152.322,-129.374,195.972,-130.270,279.495,143.637,-120.717,33.5076,-10.8939,44.0469,140.015,-74.4572,197.893,-239.207,162.494,147.498,318.514,87.4117,187.032,289.700,166.932,125.145,272.165,103.743,-91.1245,306.173,10.9313,-73.8397,37.5228,292.274,362.597,70.1452,120.096,122.678,162.989,89.9428,200.414,62.5366,310.339,340.514,86.0119,-25.5695,149.962,140.027,120.845,108.681,-122.961,150.492,81.3161,-48.2694,-145.221,-3.04950,60.4216,197.853,-15.7892,-59.1616,218.038,125.081,169.622,129.287,390.038,45.1680,248.417,163.940,-123.043,-186.669,-2.01367,154.646,279.811,81.2238,-101.998,404.422,192.671
0.660135,-6.50931,60.5576,45.6173,70.4240,17.9964,-91.0211,-255.275,79.0992,164.942,45.3639,27.2100,-43.3017,39.4943,-193.876,112.568,290.605,-247.383,-179.973,-132.173,-58.2445,27.5653,-8.62830,68.6316,272.555,130.520,69.3606,141.889,-190.918,127.370,-59.1139,114.495,146.083,211.348,66.6446,105.016,-20.3921,98.4310,75.5604,396.219,-112.860,133.031,4.84784,-17.3292,155.945,155.239,278.788,40.8115,129.345,72.8104,136.624,164.433,73.4046,75.9852,123.989,238.878,-14.4972,246.015,163.686,-141.763,198.948,-108.263,289.702,162.908,-109.055,25.6608,-8.31824,35.7811,127.839,-74.3685,215.329,-215.434,196.840,113.598,324.252,88.6725,147.806,281.552,161.397,99.1605,253.084,103.631,-70.0413,315.109,-0.473328,-46.9310,62.0123,308.514,407.177,84.4717,125.520,117.148,132.155,84.3771,188.873,67.3662,324.510,346.537,55.2264,-27.5623,150.185,143.416,114.794,112.289,-130.784,160.058,85.3381,-41.7134,-114.018,-23.8154,74.8538,193.627,-26.0719,-76.6011,226.363,131.918,189.278,132.722,405.524,61.5861,251.327,163.142,-100.697,-176.390,14.9167,155.069,269.095,85.4017,-97.7202,388.900,156.415
0.664208,-25.7187,49.5994,34.7552,65.9494,18.3617,-80.5703,-277.786,86.3527,160.383,41.0610,4.30078,-29.7174,45.8631,-202.595,136.072,259.466,-247.979,-173.258,-112.708,-50.9838,44.5980,-8.90808,54.5610,269.844,127.490,103.598,163.607,-186.657,150.644,-46.3439,124.529,136.531,218.143,81.2845,127.529,-9.25909,82.3293,77.5479,390.604,-93.8968,177.026,-16.5497,-9.99725,148.660,130.202,310.890,50.4858,163.342,69.8190,139.232,148.289,58.4940,100.411,121.311,240.372,-10.3647,241.911,175.050,-144.078,201.925,-86.2561,299.908,182.179,-97.3924,17.8140,-5.74268,37.5123,115.662,-74.2798,232.764,-191.662,231.186,79.6971,329.990,89.9333,108.580,273.404,155.862,73.1763,234.003,103.519,-48.9581,324.045,-11.8781,-20.0224,86.5018,324.754,451.757,98.7983,130.944,111.619,101.321,78.8115,177.333,72.1958,338.682,341.657,24.4410,-29.5552,150.408,146.805,108.743,115.898,-138.607,169.624,89.3600,-35.1574,-82.8163,-44.5812,89.2860,189.400,-36.3546,-83.6014,234.689,138.755,208.935,136.158,421.011,78.0042,254.237,162.345,-78.3506,-166.111,31.8472,155.492,258.378,89.5797,-93.4425,363.278,120.160
0.668280,-44.9281,50.5475,13.0685,61.4749,18.7270,-70.1195,-300.298,93.6061,155.276,36.7581,-2.11700,-31.3467,52.2320,-198.083,159.576,227.502,-235.669,-166.543,-93.2432,-43.7231,61.6307,-9.18787,24.6716,267.133,124.460,129.438,168.815,-165.906,165.335,-33.5739,134.563,126.978,215.998,95.9244,150.042,10.8669,66.2276,79.5352,384.988,-75.5011,225.720,-19.9603,-2.66534,149.890,105.166,329.925,60.1602,197.339,66.8276,141.840,149.531,35.0071,124.837,118.633,241.865,-26.4794,237.807,201.131,-137.579,204.901,-63.6193,310.115,191.243,-85.7299,9.96729,6.95087,48.3036,103.486,-74.1910,250.199,-145.559,265.532,64.8111,316.630,91.1942,89.4831,265.256,150.328,58.5035,233.017,103.407,-27.8749,332.982,-22.6216,6.88623,110.341,340.993,487.592,113.125,136.368,106.089,76.3998,73.2458,165.172,96.4704,338.396,326.556,-6.34442,-31.5480,150.632,150.194,102.692,119.506,-146.430,154.165,93.3820,-6.84015,-69.5541,-65.3471,103.718,185.173,-51.8863,-81.4673,243.015,140.531,228.591,139.593,420.667,94.4223,257.148,161.548,-56.0045,-155.833,48.7776,155.914,247.662,93.7576,-89.7909,332.606,83.2805
0.672353,-64.1375,61.7379,-8.61804,57.0004,19.0923,-59.6687,-322.809,100.860,150.170,32.4553,-8.53479,-32.9760,58.6008,-186.593,183.079,195.537,-223.359,-159.828,-73.7785,-36.4625,78.6635,-9.46765,-5.21771,264.421,121.430,155.279,174.023,-145.155,180.026,-20.8038,144.596,117.426,213.853,110.564,172.555,30.9929,50.1259,81.5226,379.372,-57.1054,265.390,-23.3708,4.66656,160.202,80.1303,339.870,69.8345,231.336,63.8362,144.448,150.773,11.5203,149.263,115.955,243.359,-42.5940,233.703,237.449,-121.006,207.878,-40.9825,320.321,200.307,-74.0675,2.12048,19.6444,69.0920,91.3090,-74.1024,267.635,-99.4568,299.878,49.9250,303.271,92.4550,70.3861,257.108,144.793,43.8307,232.031,103.295,-6.79169,341.918,-33.3652,33.7948,134.180,357.233,505.941,127.451,141.792,100.559,61.9906,67.6801,153.011,120.745,328.473,300.552,-37.1299,-33.5409,150.855,153.584,96.6407,123.115,-154.253,138.705,97.4039,21.4771,-56.2919,-86.1130,118.150,180.947,-56.9200,-68.8940,251.341,132.185,248.248,143.028,409.770,110.840,260.058,160.751,-33.6583,-145.554,65.7080,156.337,236.946,97.9356,-86.1392,301.933,46.4009
0.676425,-83.3470,83.5544,-26.6965,29.8161,23.8275,-43.9218,-323.575,102.786,145.611,21.8539,-10.1426,-29.8511,71.1084,-166.524,206.583,163.848,-200.024,-145.797,-51.4840,-29.2018,99.4654,-21.2584,-30.1637,254.919,122.508,166.952,173.383,-111.351,184.345,-14.2213,159.575,110.070,211.150,125.204,198.382,40.8144,38.8164,75.4905,385.423,-40.4108,283.813,-14.4155,3.61572,179.597,62.8267,341.672,71.3130,265.333,53.7817,153.674,151.653,-18.0414,162.778,110.828,235.505,-63.3485,227.063,270.355,-98.1378,211.494,-36.4079,319.452,196.399,-68.9100,-4.46448,30.4408,91.7548,75.0189,-58.6038,279.303,-47.1736,313.956,46.7250,280.164,120.146,69.3213,248.513,132.953,40.2474,249.592,116.645,-8.24878,333.703,-29.3432,50.6003,151.512,365.729,511.173,127.384,147.215,108.847,61.3781,70.4529,131.752,149.476,304.695,261.148,-43.6588,-46.9294,143.167,157.417,79.0228,104.729,-173.703,113.638,93.4443,53.6479,-48.8602,-98.7558,145.889,174.066,-50.5809,-57.4081,258.557,114.560,267.904,146.464,390.079,137.159,249.973,159.954,-29.2799,-128.005,79.5633,177.157,228.892,98.0219,-90.8342,275.680,27.0034
0.680498,-102.556,115.613,-33.2288,2.63190,28.5627,-28.1749,-324.341,104.712,141.051,11.2525,-11.7504,-26.7261,83.6159,-146.456,230.087,132.159,-176.689,-131.766,-29.1895,-21.9412,120.267,-33.0493,-55.1097,245.416,123.586,178.625,172.744,-77.5469,188.665,-7.63861,174.554,102.714,208.446,139.844,224.208,50.6359,27.5069,69.4583,391.474,-23.7161,287.195,-5.46008,2.56494,198.992,45.5230,343.474,72.7915,299.331,43.7273,162.899,152.534,-47.6030,176.294,105.702,227.650,-84.1031,220.423,303.261,-75.2695,215.110,-31.8333,318.584,192.492,-63.7526,-11.0494,41.2372,114.418,58.7288,-43.1052,290.972,5.10956,328.033,43.5250,257.057,147.836,68.2565,239.917,121.113,47.3101,267.154,129.995,-9.70593,325.488,-14.7430,67.4057,158.435,374.226,498.918,127.316,152.639,117.135,81.7892,73.2257,110.493,178.206,271.278,221.743,-50.1877,-60.3180,135.478,161.249,61.4050,86.3433,-193.154,88.5712,89.4847,85.8187,-41.4285,-111.399,173.627,167.185,-33.7438,-45.9223,265.774,86.8126,287.560,149.899,359.835,163.478,239.888,159.156,-24.9016,-110.455,93.4186,197.977,220.837,98.1082,-105.545,249.427,7.60590
0.684570,-121.766,148.696,-33.5069,-24.5524,33.2979,-12.4279,-306.130,106.639,140.869,0.651062,-13.3582,-23.6012,110.856,-125.951,253.591,100.470,-153.354,-130.742,-6.89496,-14.6805,141.069,-44.8401,-80.0557,235.913,124.663,173.506,172.104,-43.7427,192.984,-1.05597,198.325,95.3575,214.683,154.484,250.034,42.4713,16.1974,54.4741,397.525,-20.0630,276.851,12.4888,1.51410,218.955,46.3245,344.708,74.2700,333.328,33.6728,172.125,153.414,-68.5884,189.809,100.575,219.796,-84.6106,213.783,341.925,-41.6984,218.725,-27.2586,317.715,188.585,-58.5952,-17.6344,31.7978,127.708,42.4387,-27.6066,302.641,47.8227,325.895,40.3250,243.498,175.527,67.1918,252.807,109.274,67.2365,295.572,143.344,-11.1630,296.164,15.0635,63.1263,156.250,382.722,470.925,127.248,158.063,136.120,106.142,75.9985,89.8541,197.215,233.043,182.338,-38.4099,-73.7065,127.790,143.790,43.7871,67.9576,-211.934,74.2292,85.5251,107.109,-33.9967,-124.042,201.365,160.304,-1.15973,-28.5643,272.990,47.8887,307.217,153.335,324.314,189.797,229.804,158.359,-20.5233,-92.9053,107.274,218.797,212.783,98.1946,-124.638,218.123,8.18799
0.688643,-140.975,181.779,-22.2389,-51.7366,38.0331,3.31903,-287.918,108.565,131.933,-9.95032,-14.9660,-20.4763,138.097,-105.446,277.095,68.7803,-130.020,-129.717,15.3995,-7.41980,161.871,-56.6309,-105.002,226.410,125.741,168.387,171.464,-9.93842,197.304,5.52667,222.095,88.0014,220.920,169.124,275.860,34.3068,4.88788,39.4899,403.576,-25.4822,251.465,30.4376,0.463318,238.917,47.1260,345.942,75.7485,367.325,23.6183,181.351,154.294,-89.5739,203.325,95.4484,211.941,-85.1181,207.143,370.352,-8.12717,222.341,-22.6840,316.847,184.677,-53.4377,-24.2194,22.3583,140.999,26.1486,-12.1080,314.309,90.5359,323.758,37.1249,229.940,203.218,66.1270,265.697,97.4338,97.8089,323.991,156.694,-12.6201,266.840,44.8700,58.8469,143.654,391.218,442.931,127.180,163.487,155.106,141.007,78.7714,69.2155,216.223,194.807,142.933,-26.6321,-87.0951,120.102,126.331,26.1692,49.5719,-230.714,59.8872,81.5656,128.399,-26.5649,-136.684,229.103,153.423,31.4244,-21.6456,280.207,8.96472,326.873,156.770,288.793,216.115,219.719,157.562,-16.1450,-75.3556,121.129,239.617,204.729,98.2809,-143.731,196.920,8.77008
0.692715,-148.209,207.820,-5.79919,-68.8150,38.9446,19.4896,-257.944,105.545,102.822,-25.6255,-21.2979,-8.47668,178.228,-83.9241,302.168,39.9432,-110.113,-139.057,41.7029,1.84644,170.227,-58.1897,-109.762,213.257,126.733,154.260,177.274,3.08307,194.560,1.28137,241.791,85.8621,228.228,172.527,314.663,7.64087,21.6866,20.4026,405.957,-35.6265,214.892,42.2034,-11.3517,259.920,61.9308,335.908,76.2025,374.726,8.35947,197.194,150.012,-87.4215,206.567,92.4133,197.235,-63.5858,214.872,378.357,22.5060,229.420,-18.8445,298.860,180.345,-57.1984,-8.88074,9.44086,152.779,31.5573,3.79608,328.759,115.729,315.894,29.2703,217.724,230.809,70.1993,286.196,90.4354,125.720,344.945,162.977,-10.9835,225.532,71.3708,38.4243,120.649,398.424,420.839,128.026,171.266,173.423,184.303,90.0964,49.9208,216.900,155.568,113.522,-7.98920,-88.6496,118.073,89.5754,22.8987,35.5850,-226.406,67.1630,71.8415,136.768,-20.0302,-147.296,233.445,159.316,60.5091,-27.0692,281.711,-27.5341,337.155,141.784,261.847,227.206,205.086,168.443,-5.02863,-67.9551,106.924,251.846,176.268,113.915,-163.867,193.234,16.9486
0.696788,-155.443,233.862,10.6406,-85.8935,39.8562,35.6603,-227.970,102.524,64.9564,-41.3007,-27.6298,3.52289,218.360,-62.4017,327.240,11.1061,-90.2069,-148.397,68.0063,11.1127,178.582,-59.7485,-114.523,200.104,127.726,140.133,183.084,16.1045,191.817,-2.96393,261.486,83.7228,235.537,175.930,353.465,-19.0250,38.4852,1.31543,408.339,-45.7709,178.318,53.9692,-23.1667,280.924,76.7356,325.874,76.6566,382.127,-6.89941,213.038,145.731,-85.2690,209.808,89.3781,182.528,-42.0535,222.602,376.124,53.1391,236.498,-15.0050,280.873,176.012,-60.9591,6.45789,-3.47668,164.560,36.9658,19.7002,343.208,140.922,308.030,21.4156,205.509,258.399,74.2717,306.695,83.4371,153.631,365.900,169.259,-9.34680,184.224,97.8716,18.0018,97.6436,405.630,398.747,128.872,179.044,191.740,227.599,101.422,40.5514,217.577,116.329,95.0142,10.6537,-90.2042,116.043,52.8201,19.6281,21.5982,-211.365,74.4387,62.1174,145.138,-13.4955,-157.909,237.787,165.208,89.5939,-42.9319,283.215,-53.9106,347.436,126.798,234.901,238.297,190.452,179.324,6.08765,-60.5547,92.7184,264.075,147.807,129.550,-184.004,199.649,25.1271
0.700860,-162.677,247.613,30.3276,-102.972,40.7677,51.8309,-197.996,99.5040,31.4683,-56.9759,-33.9617,15.5225,261.868,-33.9005,352.312,-17.7310,-70.3005,-156.924,79.2175,20.3790,186.938,-61.3073,-119.283,186.951,128.718,126.006,188.894,12.6371,180.490,-7.20923,263.598,81.5835,233.904,179.332,392.268,-63.6769,72.9781,0.132324,392.656,-52.5131,136.292,47.7482,-34.4101,288.871,100.593,315.841,77.1106,389.528,-4.31464,228.881,141.449,-65.9642,213.050,86.3429,167.822,-20.5212,230.331,379.010,83.7723,243.577,-11.1654,262.886,192.093,-74.7921,41.9852,-16.3942,176.340,42.3745,16.1392,357.657,166.115,309.896,13.5610,193.293,285.990,78.3440,327.194,76.4388,171.561,368.759,175.541,13.5043,142.917,124.372,-2.42078,73.9877,412.835,394.143,141.828,186.823,199.359,261.041,123.009,42.6579,198.810,77.6918,82.6388,29.2966,-91.7588,114.014,16.0648,16.3575,7.61133,-202.361,81.7144,52.3934,153.507,-6.96075,-168.521,242.129,171.101,97.6826,-53.5750,266.973,-68.0561,357.717,111.812,207.954,228.726,175.819,190.205,17.2039,-53.1542,78.5131,276.304,119.346,145.185,-189.116,201.013,33.3055
0.704933,-169.910,261.363,44.2416,-120.050,41.6793,68.0015,-168.022,96.4837,-2.01978,-72.6511,-40.2936,27.5220,298.009,-5.39929,377.385,-46.5682,-50.3941,-165.451,90.4286,29.6452,195.294,-62.8660,-124.044,173.797,129.710,111.879,194.704,9.16974,169.163,-11.4545,265.710,79.4442,232.271,182.735,431.071,-108.329,107.471,-1.05078,376.973,-50.1830,103.292,41.5272,-45.6535,287.735,124.450,305.807,77.5646,396.929,-1.72989,244.725,137.168,-46.6594,216.292,83.3077,153.115,1.01105,238.061,381.896,114.405,250.655,-7.32590,244.899,208.175,-88.6251,77.5125,-29.3116,188.121,47.7831,12.5782,372.106,191.308,311.761,5.70642,181.078,313.581,82.4163,347.693,69.4404,189.492,371.618,181.824,36.3553,101.609,150.873,-22.8433,50.3317,420.041,389.539,165.751,194.601,206.978,294.482,144.597,49.7270,180.042,39.0549,88.4343,47.9395,-93.3134,111.984,-20.6906,13.0870,-6.37555,-193.357,88.9902,42.6693,161.877,-0.425964,-179.133,246.471,176.993,105.771,-64.2181,250.730,-72.0793,367.998,96.8260,181.008,219.155,161.186,201.086,28.3202,-45.7538,64.3077,288.533,90.8853,160.819,-184.212,202.378,41.4841
0.709005,-167.176,268.457,44.0838,-119.869,66.1884,95.6118,-147.142,97.2685,-40.0672,-77.8287,-23.7781,29.0623,323.868,30.3715,392.598,-66.3334,-20.8076,-160.701,78.6869,27.8035,201.765,-52.9138,-114.304,178.302,115.640,103.174,182.627,14.9774,162.485,-20.0674,261.411,95.2431,222.256,180.634,464.351,-148.484,152.286,13.2457,336.264,-37.2686,87.9649,27.2495,-49.6573,284.519,144.347,282.517,54.9213,403.244,12.3789,242.185,146.650,-16.0983,208.442,80.2725,151.156,19.5906,231.421,386.062,131.398,272.650,5.75476,225.635,237.440,-97.2121,123.134,-29.1602,199.276,49.0782,-5.58167,399.118,219.093,324.166,-11.2593,162.297,322.150,95.7144,359.687,77.7547,191.675,351.858,190.798,58.7645,61.6199,167.236,-35.3591,14.0974,419.503,390.181,192.415,206.865,206.128,314.346,159.130,59.1740,162.692,17.6862,116.035,50.3351,-79.5276,109.955,-40.8113,17.1570,-1.88739,-173.843,108.555,17.8690,165.033,-7.34613,-199.673,236.397,173.817,113.860,-62.4647,229.386,-55.8580,374.225,80.5416,168.352,182.035,154.783,223.759,34.7306,-38.3533,63.2816,281.694,73.9586,172.362,-172.214,222.470,63.3985
0.713078,-164.442,275.550,32.3798,-119.688,90.6974,123.222,-126.261,98.0533,-78.1147,-83.0064,-7.26251,30.6024,337.450,66.1422,407.811,-86.0987,8.77893,-142.944,66.9452,25.9619,208.236,-42.9615,-104.564,182.807,101.571,94.4691,170.551,20.7849,155.808,-28.6802,257.113,111.042,212.241,178.532,497.632,-188.640,197.100,27.5422,295.554,-24.3541,81.6632,12.9718,-44.5164,281.302,164.244,259.227,32.2780,409.560,26.4877,239.646,156.133,14.4628,200.592,77.2373,149.198,38.1702,224.781,390.228,148.390,294.644,18.8354,206.370,266.705,-105.799,168.756,-29.0086,210.432,50.3733,-23.7415,426.130,246.878,336.571,-28.2251,143.517,330.719,109.013,371.682,86.0690,193.858,332.098,199.773,81.1735,21.6313,183.600,-47.8748,-22.1371,418.965,390.823,219.080,219.128,205.279,334.209,173.662,68.6210,145.342,5.95544,154.538,52.7307,-65.7419,107.926,-60.9322,21.2269,2.60077,-154.329,128.120,-6.93127,168.188,-14.2664,-220.213,226.324,170.641,121.949,-60.7112,208.041,-39.6367,380.452,64.2572,155.697,144.914,148.380,246.431,41.1411,-30.9528,62.2554,274.856,57.0319,183.905,-150.200,242.562,85.3129
0.717150,-161.708,276.499,6.36340,-119.507,115.206,150.197,-105.381,98.8381,-115.615,-88.1841,9.25305,32.1426,337.066,94.9341,408.684,-92.6685,38.3655,-110.825,55.2035,24.1202,214.707,-33.0093,-94.8240,187.311,87.5013,102.556,158.474,26.5925,166.296,-37.2931,252.814,135.627,193.285,158.819,513.243,-219.802,241.915,41.8387,245.813,-10.8725,88.8992,-1.30591,-31.3737,277.518,184.141,236.505,9.63477,415.875,40.5965,237.107,165.616,45.0239,196.560,74.2021,147.239,56.7498,218.141,389.275,165.382,316.639,31.9160,187.105,295.970,-99.9072,214.377,-28.8571,221.588,51.6684,-41.9013,452.525,265.092,358.705,-45.1908,124.737,339.288,122.311,383.676,94.3832,196.041,301.482,208.748,103.583,2.75189,199.963,-60.3905,-58.3716,418.428,391.466,241.632,231.391,193.731,343.561,167.668,78.3782,127.992,2.65802,198.947,55.1263,-52.6136,105.896,-59.7608,35.9739,7.08893,-134.816,147.685,-31.7316,171.344,-21.1865,-240.753,216.251,167.465,130.038,-58.9577,186.697,-22.7827,386.679,47.9727,143.041,107.794,162.770,268.424,27.0167,-23.5523,61.2292,268.017,40.1051,195.448,-123.177,262.654,107.227
0.721223,-158.973,277.447,-31.1992,-119.326,139.716,177.172,-84.5003,99.6229,-153.115,-93.3618,25.7686,33.6828,329.316,123.726,409.557,-99.2383,67.9520,-78.7069,43.4618,22.2785,221.178,-23.0571,-85.0840,191.816,73.4319,110.643,146.398,32.4001,176.785,-45.9060,248.516,160.212,174.329,139.105,528.854,-250.964,286.730,56.1351,196.071,2.60901,96.1351,-15.5836,-9.08630,273.733,204.038,213.783,-13.0085,422.190,54.7053,234.568,175.098,75.5850,183.800,71.1669,145.280,75.3294,211.501,398.559,182.374,338.633,44.9967,167.841,325.235,-83.9431,259.999,-28.7056,232.744,52.9635,-60.0611,478.919,283.307,380.840,-62.1566,105.956,347.857,135.609,395.671,102.697,198.224,270.865,217.723,125.992,-16.1275,216.326,-72.9062,-94.6060,417.890,392.108,253.217,243.655,182.184,352.913,161.675,88.1353,110.643,8.99872,243.356,57.5220,-39.4853,103.867,-58.5895,50.7209,11.5771,-115.302,167.250,-56.5319,174.500,-28.1067,-261.294,206.178,164.289,138.127,-57.2043,165.352,-5.92871,392.906,31.6883,130.386,70.6729,177.159,290.416,12.8925,-16.1519,60.2030,261.179,23.1783,206.991,-96.1552,282.746,129.142
